Año	Residencia continente código	Residencia continente nombre	Residencia área código	Residencia área nombre	Residencia país código	Residencia país nombre	Inscripción provincia nombre	Inscripción provincia código	Sexo	Personas
2009	2	África	04	Resto de África	216	Gambia	Zaragoza	50	Hombre	1,0
2009	2	África	04	Resto de África	217	Ghana	Zaragoza	50	Mujer	2,0
2009	2	África	04	Resto de África	220	Guinea Ecuatorial	Huesca	22	Hombre	6,0
2009	2	África	04	Resto de África	220	Guinea Ecuatorial	Huesca	22	Mujer	1,0
2009	2	África	04	Resto de África	220	Guinea Ecuatorial	Teruel	44	Hombre	2,0
2009	2	África	04	Resto de África	220	Guinea Ecuatorial	Teruel	44	Mujer	2,0
2009	2	África	04	Resto de África	220	Guinea Ecuatorial	Zaragoza	50	Hombre	10,0
2009	2	África	04	Resto de África	220	Guinea Ecuatorial	Zaragoza	50	Mujer	18,0
2009	2	África	04	Resto de África	221	Kenia	Zaragoza	50	Mujer	1,0
2009	2	África	04	Resto de África	225	Madagascar	Teruel	44	Mujer	1,0
2009	2	África	04	Resto de África	226	Malawi	Zaragoza	50	Hombre	1,0
2009	2	África	04	Resto de África	227	Mali	Zaragoza	50	Hombre	1,0
2009	2	África	04	Resto de África	231	Mozambique	Huesca	22	Mujer	1,0
2009	2	África	04	Resto de África	231	Mozambique	Teruel	44	Mujer	1,0
2009	2	África	04	Resto de África	231	Mozambique	Zaragoza	50	Hombre	2,0
2009	2	África	04	Resto de África	231	Mozambique	Zaragoza	50	Mujer	1,0
2009	2	África	04	Resto de África	232	Namibia	Huesca	22	Hombre	2,0
2009	2	África	04	Resto de África	234	Nigeria	Huesca	22	Hombre	2,0
2009	2	África	04	Resto de África	234	Nigeria	Zaragoza	50	Hombre	1,0
2009	2	África	04	Resto de África	236	Sudáfrica	Huesca	22	Hombre	1,0
2009	2	África	04	Resto de África	236	Sudáfrica	Huesca	22	Mujer	2,0
2009	2	África	04	Resto de África	236	Sudáfrica	Teruel	44	Hombre	3,0
2009	2	África	04	Resto de África	236	Sudáfrica	Teruel	44	Mujer	1,0
2009	2	África	04	Resto de África	236	Sudáfrica	Zaragoza	50	Hombre	14,0
