Año	Nº Accidentes	Grupo	Descripción Ocupación	Sexo	Código	Municipio
2019,0	6	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Hombres	22158	Monzón
2019,0	5	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Hombres	44013	Alcañiz
2019,0	25	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Hombres	44216	Teruel
2019,0	1	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Hombres	50008	Alagón
2019,0	3	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Hombres	50025	Almunia de Doña Godina (La)
2019,0	2	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Hombres	50067	Calatayud
2019,0	8	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Hombres	50074	Caspe
2019,0	1	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Hombres	50089	Cuarte de Huerva
2019,0	14	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Hombres	50095	Ejea de los Caballeros
2019,0	2	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Hombres	50163	María de Huerva
2019,0	2	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Hombres	50251	Tarazona
2019,0	19	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Hombres	50252	Tauste
2019,0	49	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Hombres	50297	Zaragoza
2019,0	3	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Hombres	50298	Zuera
2019,0	1	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Mujeres	22061	Binéfar
2019,0	1	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Mujeres	22112	Fraga
2019,0	3	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Mujeres	22125	Huesca
2019,0	2	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Mujeres	22130	Jaca
2019,0	3	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Mujeres	22158	Monzón
2019,0	1	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Mujeres	44216	Teruel
2019,0	1	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Mujeres	50025	Almunia de Doña Godina (La)
2019,0	2	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Mujeres	50067	Calatayud
2019,0	1	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Mujeres	50074	Caspe
2019,0	4	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Mujeres	50095	Ejea de los Caballeros
2019,0	12	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Mujeres	50297	Zaragoza
2019,0	39	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Hombres	22048	Barbastro
2019,0	135	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Hombres	22061	Binéfar
2019,0	61	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Hombres	22112	Fraga
2019,0	209	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Hombres	22125	Huesca
2019,0	30	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Hombres	22130	Jaca
2019,0	130	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Hombres	22158	Monzón
2019,0	34	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Hombres	22199	Sabiñánigo
2019,0	41	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Hombres	44013	Alcañiz
2019,0	7	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Hombres	44025	Andorra
2019,0	124	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Hombres	44216	Teruel
2019,0	10	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Hombres	50008	Alagón
2019,0	28	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Hombres	50025	Almunia de Doña Godina (La)
2019,0	27	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Hombres	50067	Calatayud
2019,0	17	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Hombres	50074	Caspe
2019,0	73	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Hombres	50089	Cuarte de Huerva
2019,0	106	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Hombres	50095	Ejea de los Caballeros
2019,0	13	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Hombres	50163	María de Huerva
2019,0	57	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Hombres	50182	Muela (La)
2019,0	107	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Hombres	50219	Puebla de Alfindén (La)
2019,0	32	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Hombres	50251	Tarazona
2019,0	43	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Hombres	50252	Tauste
2019,0	101	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Hombres	50272	Utebo
2019,0	1360	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Hombres	50297	Zaragoza
2019,0	111	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Hombres	50298	Zuera
2019,0	20	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Mujeres	22061	Binéfar
2019,0	8	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Mujeres	22112	Fraga
2019,0	6	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Mujeres	22125	Huesca
2019,0	3	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Mujeres	22130	Jaca
2019,0	1	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Mujeres	22158	Monzón
2019,0	1	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Mujeres	22199	Sabiñánigo
2019,0	2	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Mujeres	44013	Alcañiz
2019,0	5	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Mujeres	44216	Teruel
2019,0	2	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Mujeres	50008	Alagón
2019,0	12	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Mujeres	50025	Almunia de Doña Godina (La)
2019,0	4	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Mujeres	50067	Calatayud
2019,0	1	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Mujeres	50074	Caspe
2019,0	1	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Mujeres	50089	Cuarte de Huerva
2019,0	14	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Mujeres	50095	Ejea de los Caballeros
2019,0	4	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Mujeres	50182	Muela (La)
2019,0	3	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Mujeres	50252	Tauste
2019,0	2	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Mujeres	50272	Utebo
2019,0	80	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Mujeres	50297	Zaragoza
2019,0	34	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Mujeres	50298	Zuera
2019,0	26	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	22048	Barbastro
2019,0	38	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	22061	Binéfar
2019,0	38	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	22112	Fraga
2019,0	92	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	22125	Huesca
2019,0	5	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	22130	Jaca
2019,0	51	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	22158	Monzón
2019,0	13	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	22199	Sabiñánigo
2019,0	27	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	44013	Alcañiz
2019,0	8	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	44025	Andorra
2019,0	67	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	44216	Teruel
2019,0	11	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	50008	Alagón
2019,0	20	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	50025	Almunia de Doña Godina (La)
2019,0	46	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	50067	Calatayud
2019,0	8	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	50074	Caspe
2019,0	47	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	50089	Cuarte de Huerva
2019,0	38	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	50095	Ejea de los Caballeros
2019,0	4	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	50163	María de Huerva
2019,0	61	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	50182	Muela (La)
2019,0	57	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	50219	Puebla de Alfindén (La)
2019,0	32	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	50251	Tarazona
2019,0	23	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	50252	Tauste
2019,0	42	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	50272	Utebo
2019,0	922	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	50297	Zaragoza
2019,0	33	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	50298	Zuera
2019,0	3	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres	22061	Binéfar
2019,0	6	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres	22112	Fraga
2019,0	5	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres	22125	Huesca
2019,0	5	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres	22158	Monzón
2019,0	4	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres	22199	Sabiñánigo
2019,0	4	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres	44013	Alcañiz
2019,0	3	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres	44216	Teruel
2019,0	5	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres	50025	Almunia de Doña Godina (La)
2019,0	11	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres	50067	Calatayud
2019,0	4	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres	50089	Cuarte de Huerva
2019,0	1	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres	50095	Ejea de los Caballeros
