Mes y año	Mes (código)	Mes nombre	Año	Comarca código	Comarca nombre	Sexo	Temporalidad	Modalidad	orden_modalidad	Grupo de tipo de contrato	Grupo de tipo de contrato	Días duración contrato	Número de contratos	Duración contrato	Duración contrato * 1.00 / Número de contratos
Septiembre 2021	202109	Septiembre	2021	07	Somontano de Barbastro	Hombres	Temporal	Obra o servicio	1	Obra o servicio	Obra o servicio	1	7	374	53,42857142857142857142857142857142857143
Septiembre 2021	202109	Septiembre	2021	07	Somontano de Barbastro	Mujeres	Temporal	Obra o servicio	1	Obra o servicio	Obra o servicio	0	52	0	0
Septiembre 2021	202109	Septiembre	2021	07	Somontano de Barbastro	Mujeres	Temporal	Obra o servicio	1	Obra o servicio	Obra o servicio	1	13	1851	142,384615384615384615384615384615384615
Septiembre 2021	202109	Septiembre	2021	07	Somontano de Barbastro	Hombres	Temporal	Eventual por circunstancias de la producción	2	Eventual producción	Eventual producción	1	196	9685	49,41326530612244897959183673469387755102
Septiembre 2021	202109	Septiembre	2021	07	Somontano de Barbastro	Mujeres	Temporal	Eventual por circunstancias de la producción	2	Eventual producción	Eventual producción	1	172	5668	32,95348837209302325581395348837209302326
Septiembre 2021	202109	Septiembre	2021	07	Somontano de Barbastro	Hombres	Temporal	Interinidad	3	Interinidad	Interinidad	0	12	0	0
Septiembre 2021	202109	Septiembre	2021	07	Somontano de Barbastro	Hombres	Temporal	Interinidad	3	Interinidad	Interinidad	1	1	39	39
Septiembre 2021	202109	Septiembre	2021	07	Somontano de Barbastro	Mujeres	Temporal	Interinidad	3	Interinidad	Interinidad	0	21	0	0
Septiembre 2021	202109	Septiembre	2021	07	Somontano de Barbastro	Mujeres	Temporal	Interinidad	3	Interinidad	Interinidad	1	4	477	119,25
Septiembre 2021	202109	Septiembre	2021	07	Somontano de Barbastro	Mujeres	Temporal	Discapacitados	4	Temp. Minusv	Temp. Minusv	1	3	1080	360
Septiembre 2021	202109	Septiembre	2021	07	Somontano de Barbastro	Hombres	Temporal	Ligados a la jubilación	6	Jubilación parcial	Jubilación parcial	1	1	707	707
Septiembre 2021	202109	Septiembre	2021	07	Somontano de Barbastro	Mujeres	Temporal	Ligados a la jubilación	6	Jubilación parcial	Jubilación parcial	1	1	1074	1074
Septiembre 2021	202109	Septiembre	2021	07	Somontano de Barbastro	Mujeres	Temporal	Ligados a la jubilación	6	Relevo	Relevo	1	1	1074	1074
Septiembre 2021	202109	Septiembre	2021	08	Cinca Medio	Hombres	Temporal	Obra o servicio	1	Obra o servicio	Obra o servicio	0	199	0	0
Septiembre 2021	202109	Septiembre	2021	08	Cinca Medio	Hombres	Temporal	Obra o servicio	1	Obra o servicio	Obra o servicio	1	5	1083	216,6
Septiembre 2021	202109	Septiembre	2021	08	Cinca Medio	Mujeres	Temporal	Obra o servicio	1	Obra o servicio	Obra o servicio	0	110	0	0
Septiembre 2021	202109	Septiembre	2021	08	Cinca Medio	Mujeres	Temporal	Obra o servicio	1	Obra o servicio	Obra o servicio	1	6	1182	197
Septiembre 2021	202109	Septiembre	2021	08	Cinca Medio	Hombres	Temporal	Eventual por circunstancias de la producción	2	Eventual producción	Eventual producción	1	251	13918	55,45019920318725099601593625498007968127
Septiembre 2021	202109	Septiembre	2021	08	Cinca Medio	Mujeres	Temporal	Eventual por circunstancias de la producción	2	Eventual producción	Eventual producción	1	299	8935	29,88294314381270903010033444816053511706
Septiembre 2021	202109	Septiembre	2021	08	Cinca Medio	Hombres	Temporal	Interinidad	3	Interinidad	Interinidad	0	11	0	0
Septiembre 2021	202109	Septiembre	2021	08	Cinca Medio	Hombres	Temporal	Interinidad	3	Interinidad	Interinidad	1	3	268	89,33333333333333333333333333333333333333
Septiembre 2021	202109	Septiembre	2021	08	Cinca Medio	Mujeres	Temporal	Interinidad	3	Interinidad	Interinidad	0	33	0	0
Septiembre 2021	202109	Septiembre	2021	08	Cinca Medio	Mujeres	Temporal	Interinidad	3	Interinidad	Interinidad	1	8	327	40,875
Septiembre 2021	202109	Septiembre	2021	08	Cinca Medio	Mujeres	Temporal	Discapacitados	4	Temp. Minusv	Temp. Minusv	1	1	360	360
Septiembre 2021	202109	Septiembre	2021	08	Cinca Medio	Hombres	Temporal	Ligados a la jubilación	6	Jubilación parcial	Jubilación parcial	1	3	2795	931,666666666666666666666666666666666667
Septiembre 2021	202109	Septiembre	2021	08	Cinca Medio	Hombres	Temporal	Ligados a la jubilación	6	Relevo	Relevo	1	2	1346	673
Septiembre 2021	202109	Septiembre	2021	08	Cinca Medio	Hombres	Temporal	Ligados a la formación	7	Formación	Formación	1	3	1080	360
Septiembre 2021	202109	Septiembre	2021	08	Cinca Medio	Hombres	Temporal	Ligados a la formación	7	Prácticas	Prácticas	1	2	360	180
Septiembre 2021	202109	Septiembre	2021	08	Cinca Medio	Mujeres	Temporal	Ligados a la formación	7	Formación	Formación	1	1	360	360
