Municipio código	Municipio nombre	Municipio montaña	Municipio zona desfavorecida	Municipio superficie, medida
44101	Ferreruela de Huerva	Sistema Ibérico	No es zona desfavorecida	20,44
44102	Fonfría	Sistema Ibérico	No es zona desfavorecida	20,58
44103	Formiche Alto	Sistema Ibérico	No es zona desfavorecida	78,17
44105	Fórnoles	Sistema Ibérico	No es zona desfavorecida	32,63
44106	Fortanete	Sistema Ibérico	No es zona desfavorecida	168,21
44107	Foz-Calanda	Sistema Ibérico	No es zona desfavorecida	37,87
44108	Fresneda (La)	No es zona montañosa	Zona desfavorecida	39,48
44109	Frías de Albarracín	Sistema Ibérico	No es zona desfavorecida	50,79
44110	Fuenferrada	Sistema Ibérico	No es zona desfavorecida	24,53
44111	Fuentes Calientes	Sistema Ibérico	No es zona desfavorecida	25,01
44112	Fuentes Claras	No es zona montañosa	Zona desfavorecida	36,91
44113	Fuentes de Rubielos	Sistema Ibérico	No es zona desfavorecida	38,91
44114	Fuentespalda	Sistema Ibérico	No es zona desfavorecida	39,0
44115	Galve	Sistema Ibérico	No es zona desfavorecida	61,88
44116	Gargallo	Sistema Ibérico	No es zona desfavorecida	30,08
44117	Gea de Albarracín	Sistema Ibérico	No es zona desfavorecida	57,5
44118	Ginebrosa (La)	No es zona montañosa	Zona desfavorecida	80,1
44119	Griegos	Sistema Ibérico	No es zona desfavorecida	31,77
44120	Guadalaviar	Sistema Ibérico	No es zona desfavorecida	28,08
44121	Gúdar	Sistema Ibérico	No es zona desfavorecida	60,77
44122	Híjar	No es zona montañosa	Zona desfavorecida	165,36
44123	Hinojosa de Jarque	Sistema Ibérico	No es zona desfavorecida	36,47
44124	Hoz de la Vieja (La)	Sistema Ibérico	No es zona desfavorecida	43,73
44125	Huesa del Común	No es zona montañosa	Zona desfavorecida	61,69
44126	Iglesuela del Cid (La)	Sistema Ibérico	No es zona desfavorecida	40,29
44127	Jabaloyas	Sistema Ibérico	No es zona desfavorecida	61,73
44128	Jarque de la Val	Sistema Ibérico	No es zona desfavorecida	29,23
44129	Jatiel	No es zona montañosa	Zona desfavorecida	10,84
44130	Jorcas	Sistema Ibérico	No es zona desfavorecida	26,2
44131	Josa	Sistema Ibérico	No es zona desfavorecida	28,23
44132	Lagueruela	Sistema Ibérico	No es zona desfavorecida	26,32
44133	Lanzuela	No es zona montañosa	Zona desfavorecida	14,22
44135	Libros	Sistema Ibérico	No es zona desfavorecida	37,91
44136	Lidón	Sistema Ibérico	No es zona desfavorecida	40,4
44137	Linares de Mora	Sistema Ibérico	No es zona desfavorecida	116,28
44138	Loscos	Sistema Ibérico	No es zona desfavorecida	71,78
44141	Lledó	No es zona montañosa	Zona desfavorecida	15,61
44142	Maicas	Sistema Ibérico	No es zona desfavorecida	24,74
44143	Manzanera	Sistema Ibérico	No es zona desfavorecida	168,66
44144	Martín del Río	Sistema Ibérico	No es zona desfavorecida	54,88
44145	Mas de las Matas	No es zona montañosa	Zona desfavorecida	29,99
44146	Mata de los Olmos (La)	No es zona montañosa	Zona desfavorecida	23,73
44147	Mazaleón	No es zona montañosa	Zona desfavorecida	86,25
44148	Mezquita de Jarque	Sistema Ibérico	No es zona desfavorecida	31,14
44149	Mirambel	Sistema Ibérico	No es zona desfavorecida	45,47
44150	Miravete de la Sierra	Sistema Ibérico	No es zona desfavorecida	36,51
44151	Molinos	Sistema Ibérico	No es zona desfavorecida	79,61
44152	Monforte de Moyuela	Sistema Ibérico	No es zona desfavorecida	47,74
44153	Monreal del Campo	No es zona montañosa	Zona desfavorecida	89,05
44154	Monroyo	Sistema Ibérico	No es zona desfavorecida	79,23
44155	Montalbán	Sistema Ibérico	No es zona desfavorecida	82,04
44156	Monteagudo del Castillo	Sistema Ibérico	No es zona desfavorecida	44,36
44157	Monterde de Albarracín	Sistema Ibérico	No es zona desfavorecida	45,21
44158	Mora de Rubielos	Sistema Ibérico	No es zona desfavorecida	166,23
44159	Moscardón	Sistema Ibérico	No es zona desfavorecida	26,93
44160	Mosqueruela	Sistema Ibérico	No es zona desfavorecida	265,03
44161	Muniesa	No es zona montañosa	Zona desfavorecida	129,8
44163	Noguera de Albarracín	Sistema Ibérico	No es zona desfavorecida	47,44
44164	Nogueras	Sistema Ibérico	No es zona desfavorecida	18,85
44165	Nogueruelas	Sistema Ibérico	No es zona desfavorecida	99,49
44167	Obón	Sistema Ibérico	No es zona desfavorecida	68,38
44168	Odón	Sistema Ibérico	No es zona desfavorecida	74,24
44169	Ojos Negros	Sistema Ibérico	No es zona desfavorecida	90,92
44171	Olba	Sistema Ibérico	No es zona desfavorecida	20,99
44172	Oliete	No es zona montañosa	Zona desfavorecida	85,48
44173	Olmos (Los)	Sistema Ibérico	No es zona desfavorecida	43,97
44174	Orihuela del Tremedal	Sistema Ibérico	No es zona desfavorecida	71,52
44175	Orrios	Sistema Ibérico	No es zona desfavorecida	44,23
44176	Palomar de Arroyos	Sistema Ibérico	No es zona desfavorecida	33,62
44177	Pancrudo	Sistema Ibérico	No es zona desfavorecida	100,12
44178	Parras de Castellote (Las)	Sistema Ibérico	No es zona desfavorecida	42,13
44179	Peñarroya de Tastavins	Sistema Ibérico	No es zona desfavorecida	83,28
44180	Peracense	Sistema Ibérico	No es zona desfavorecida	28,66
44181	Peralejos	Sistema Ibérico	No es zona desfavorecida	36,1
44182	Perales del Alfambra	Sistema Ibérico	No es zona desfavorecida	104,24
