Mes y año	Municipio código	Municipio nombre	Temporalidad	Sexo	Afiliaciones en alta
Diciembre 2016	50216	Pozuelo de Aragón	Temporal	Mujeres	4
Diciembre 2016	50217	Pradilla de Ebro	Temporal	Hombres	26
Diciembre 2016	50217	Pradilla de Ebro	Temporal	Mujeres	21
Diciembre 2016	50218	Puebla de Albortón	Temporal	Hombres	5
Diciembre 2016	50218	Puebla de Albortón	Temporal	Mujeres	2
Diciembre 2016	50219	Puebla de Alfindén (La)	Temporal	Hombres	543
Diciembre 2016	50219	Puebla de Alfindén (La)	Temporal	Mujeres	200
Diciembre 2016	50220	Puendeluna	Temporal	Mujeres	5
Diciembre 2016	50221	Purujosa	Temporal	Hombres	1
Diciembre 2016	50222	Quinto	Temporal	Hombres	65
Diciembre 2016	50222	Quinto	Temporal	Mujeres	94
Diciembre 2016	50223	Remolinos	Temporal	Hombres	23
Diciembre 2016	50223	Remolinos	Temporal	Mujeres	12
Diciembre 2016	50225	Ricla	Temporal	Hombres	144
Diciembre 2016	50225	Ricla	Temporal	Mujeres	47
Diciembre 2016	50227	Romanos	Temporal	Hombres	1
Diciembre 2016	50227	Romanos	Temporal	Mujeres	2
Diciembre 2016	50228	Rueda de Jalón	Temporal	Hombres	17
Diciembre 2016	50228	Rueda de Jalón	Temporal	Mujeres	3
Diciembre 2016	50229	Ruesca	Temporal	Hombres	1
Diciembre 2016	50229	Ruesca	Temporal	Mujeres	2
Diciembre 2016	50230	Sádaba	Temporal	Hombres	37
Diciembre 2016	50230	Sádaba	Temporal	Mujeres	59
Diciembre 2016	50231	Salillas de Jalón	Temporal	Hombres	10
Diciembre 2016	50231	Salillas de Jalón	Temporal	Mujeres	9
Diciembre 2016	50232	Salvatierra de Esca	Temporal	Hombres	7
Diciembre 2016	50232	Salvatierra de Esca	Temporal	Mujeres	5
Diciembre 2016	50233	Samper del Salz	Temporal	Mujeres	1
Diciembre 2016	50234	San Martín de la Virgen de Moncayo	Temporal	Hombres	3
Diciembre 2016	50234	San Martín de la Virgen de Moncayo	Temporal	Mujeres	2
Diciembre 2016	50235	San Mateo de Gállego	Temporal	Hombres	107
Diciembre 2016	50235	San Mateo de Gállego	Temporal	Mujeres	71
Diciembre 2016	50236	Santa Cruz de Grío	Temporal	Hombres	3
Diciembre 2016	50236	Santa Cruz de Grío	Temporal	Mujeres	2
Diciembre 2016	50237	Santa Cruz de Moncayo	Temporal	Hombres	1
Diciembre 2016	50238	Santa Eulalia de Gállego	Temporal	Hombres	1
Diciembre 2016	50239	Santed	Temporal	Mujeres	1
Diciembre 2016	50240	Sástago	Temporal	Hombres	46
Diciembre 2016	50240	Sástago	Temporal	Mujeres	20
Diciembre 2016	50241	Saviñán	Temporal	Hombres	20
Diciembre 2016	50241	Saviñán	Temporal	Mujeres	28
Diciembre 2016	50242	Sediles	Temporal	Hombres	2
Diciembre 2016	50243	Sestrica	Temporal	Hombres	11
Diciembre 2016	50243	Sestrica	Temporal	Mujeres	7
Diciembre 2016	50244	Sierra de Luna	Temporal	Hombres	13
Diciembre 2016	50244	Sierra de Luna	Temporal	Mujeres	2
Diciembre 2016	50245	Sigüés	Temporal	Hombres	1
Diciembre 2016	50245	Sigüés	Temporal	Mujeres	1
Diciembre 2016	50246	Sisamón	Temporal	Hombres	1
Diciembre 2016	50247	Sobradiel	Temporal	Hombres	58
Diciembre 2016	50247	Sobradiel	Temporal	Mujeres	47
Diciembre 2016	50248	Sos del Rey Católico	Temporal	Hombres	18
Diciembre 2016	50248	Sos del Rey Católico	Temporal	Mujeres	23
Diciembre 2016	50249	Tabuenca	Temporal	Hombres	2
Diciembre 2016	50249	Tabuenca	Temporal	Mujeres	2
Diciembre 2016	50250	Talamantes	Temporal	Hombres	2
Diciembre 2016	50250	Talamantes	Temporal	Mujeres	1
Diciembre 2016	50251	Tarazona	Temporal	Hombres	420
Diciembre 2016	50251	Tarazona	Temporal	Mujeres	294
Diciembre 2016	50252	Tauste	Temporal	Hombres	364
Diciembre 2016	50252	Tauste	Temporal	Mujeres	150
Diciembre 2016	50253	Terrer	Temporal	Hombres	5
Diciembre 2016	50253	Terrer	Temporal	Mujeres	1
