Año	Comarca código	Comarca nombre	Rústica   Número de recibos	Rústica   Base imponible (miles de euros)	Rústica   Base liquidable (miles de euros)	Rústica   Cuota íntegra (euros)	Rústica   Cuota líquida (euros)
2011	11	Bajo Cinca / Baix Cinca	8607,0	184630,0	184630,0	1187651,0	1137171,0
2011	12	Tarazona y el Moncayo	9730,0	34788,0	33136,0	223957,0	219296,0
2011	13	Campo de Borja	11514,0	50339,0	48574,0	359168,0	348252,0
2011	14	Aranda	6187,0	14994,0	12443,0	59803,0	55339,0
2011	15	Ribera Alta del Ebro	7639,0	82043,0	79215,0	512431,0	499393,0
2011	16	Valdejalón	9891,0	168856,0	148373,0	988826,0	957331,0
2011	17	D.C. Zaragoza	23907,0	173214,0	169899,0	1080098,0	1043650,0
2011	18	Ribera Baja del Ebro	6234,0	91025,0	78829,0	496484,0	463338,0
2011	19	Bajo Aragón-Caspe / Baix Aragó-Casp	6034,0	76464,0	69536,0	520038,0	509236,0
2011	20	Comunidad de Calatayud	32911,0	116772,0	104203,0	594850,0	569134,0
2011	21	Campo de Cariñena	6607,0	49863,0	48199,0	355429,0	349469,0
2011	22	Campo de Belchite	7560,0	42423,0	37132,0	253963,0	242469,0
2011	23	Bajo Martín	7944,0	34032,0	34032,0	241105,0	230205,0
2011	24	Campo de Daroca	10546,0	53861,0	45042,0	223234,0	213318,0
2011	25	Jiloca	23338,0	64002,0	64002,0	400365,0	383310,0
2011	26	Cuencas Mineras	13716,0	34031,0	34031,0	227836,0	201456,0
2011	27	Andorra-Sierra de Arcos	8406,0	28882,0	24432,0	169963,0	161308,0
2011	28	Bajo Aragón	17027,0	66262,0	66262,0	555949,0	543819,0
2011	29	Comunidad de Teruel	26815,0	82518,0	82518,0	505022,0	457179,0
2011	30	Maestrazgo	7658,0	26847,0	24436,0	161131,0	128892,0
2011	31	Sierra de Albarracín	11508,0	50031,0	50031,0	290630,0	68864,0
2011	32	Gúdar-Javalambre	18801,0	52721,0	52211,0	339427,0	179264,0
2011	33	Matarraña / Matarranya	13253,0	32892,0	32892,0	168510,0	130695,0
2012	01	La Jacetania	4750,0	74430,0	63290,0	361648,0	328677,0
2012	02	Alto Gállego	2637,0	31318,0	24981,0	163588,0	144632,0
2012	03	Sobrarbe	4614,0	41466,0	33582,0	243754,0	229592,0
2012	04	La Ribagorza	8522,0	53845,0	48106,0	302020,0	274834,0
2012	05	Cinco Villas	13450,0	294759,0	281267,0	1887491,0	1830597,0
2012	06	Hoya de Huesca / Plana de Uesca	13982,0	166593,0	163892,0	1076615,0	1034693,0
2012	07	Somontano de Barbastro	10303,0	78354,0	77846,0	575150,0	559055,0
2012	08	Cinca Medio	7174,0	112565,0	112091,0	840364,0	827531,0
2012	09	La Litera / La Llitera	8675,0	138290,0	137779,0	1130145,0	1107524,0
2012	10	Los Monegros	12512,0	249185,0	248698,0	1843562,0	1784159,0
2012	11	Bajo Cinca / Baix Cinca	9951,0	184512,0	183637,0	1250981,0	1206056,0
2012	12	Tarazona y el Moncayo	9748,0	33820,0	32577,0	235617,0	229371,0
2012	13	Campo de Borja	11536,0	46952,0	46372,0	353109,0	353030,0
2012	14	Aranda	6137,0	12552,0	11145,0	51676,0	50989,0
2012	15	Ribera Alta del Ebro	7583,0	79378,0	77336,0	501908,0	501751,0
