Año	Residencia provincia código	Residencia municipio código	Residencia municipio nombre	Tipo de nacionalidad	Nacionalidad área código	Nacionalidad área nombre	Nacionalidad continente nombre	Sexo	Personas
2020	50	50108	Fombuena	Extranjeros	03	Magreb	África	Hombres	5
2020	50	50109	Frago (El)	Españoles	01	UE-28	Europa	Hombres	62
2020	50	50110	Frasno (El)	Españoles	01	UE-28	Europa	Hombres	194
2020	50	50110	Frasno (El)	Extranjeros	01	UE-28	Europa	Hombres	16
2020	50	50110	Frasno (El)	Extranjeros	03	Magreb	África	Hombres	4
2020	50	50110	Frasno (El)	Extranjeros	05	América del Norte	América	Hombres	1
2020	50	50111	Fréscano	Españoles	01	UE-28	Europa	Hombres	108
2020	50	50111	Fréscano	Extranjeros	01	UE-28	Europa	Hombres	2
2020	50	50111	Fréscano	Extranjeros	03	Magreb	África	Hombres	2
2020	50	50113	Fuendejalón	Españoles	01	UE-28	Europa	Hombres	352
2020	50	50113	Fuendejalón	Extranjeros	01	UE-28	Europa	Hombres	63
2020	50	50113	Fuendejalón	Extranjeros	03	Magreb	África	Hombres	3
2020	50	50113	Fuendejalón	Extranjeros	04	Resto de África	África	Hombres	2
2020	50	50113	Fuendejalón	Extranjeros	06	Resto de América	América	Hombres	1
2020	50	50114	Fuendetodos	Españoles	01	UE-28	Europa	Hombres	74
2020	50	50114	Fuendetodos	Extranjeros	01	UE-28	Europa	Hombres	4
2020	50	50114	Fuendetodos	Extranjeros	04	Resto de África	África	Hombres	6
2020	50	50114	Fuendetodos	Extranjeros	06	Resto de América	América	Hombres	1
2020	50	50115	Fuentes de Ebro	Españoles	01	UE-28	Europa	Hombres	2049
2020	50	50115	Fuentes de Ebro	Extranjeros	01	UE-28	Europa	Hombres	143
2020	50	50115	Fuentes de Ebro	Extranjeros	02	Resto de Europa	Europa	Hombres	7
2020	50	50115	Fuentes de Ebro	Extranjeros	03	Magreb	África	Hombres	111
2020	50	50115	Fuentes de Ebro	Extranjeros	04	Resto de África	África	Hombres	13
2020	50	50115	Fuentes de Ebro	Extranjeros	05	América del Norte	América	Hombres	1
2020	50	50115	Fuentes de Ebro	Extranjeros	06	Resto de América	América	Hombres	12
2020	50	50115	Fuentes de Ebro	Extranjeros	07	Asia	Asia	Hombres	9
2020	50	50116	Fuentes de Jiloca	Españoles	01	UE-28	Europa	Hombres	93
2020	50	50116	Fuentes de Jiloca	Extranjeros	01	UE-28	Europa	Hombres	27
2020	50	50116	Fuentes de Jiloca	Extranjeros	03	Magreb	África	Hombres	2
2020	50	50116	Fuentes de Jiloca	Extranjeros	06	Resto de América	América	Hombres	3
2020	50	50117	Gallocanta	Españoles	01	UE-28	Europa	Hombres	71
2020	50	50117	Gallocanta	Extranjeros	03	Magreb	África	Hombres	3
2020	50	50117	Gallocanta	Extranjeros	07	Asia	Asia	Hombres	1
2020	50	50118	Gallur	Españoles	01	UE-28	Europa	Hombres	1212
2020	50	50118	Gallur	Extranjeros	01	UE-28	Europa	Hombres	44
2020	50	50118	Gallur	Extranjeros	03	Magreb	África	Hombres	32
2020	50	50118	Gallur	Extranjeros	04	Resto de África	África	Hombres	2
2020	50	50118	Gallur	Extranjeros	06	Resto de América	América	Hombres	5
2020	50	50118	Gallur	Extranjeros	07	Asia	Asia	Hombres	3
2020	50	50119	Gelsa	Españoles	01	UE-28	Europa	Hombres	496
2020	50	50119	Gelsa	Extranjeros	01	UE-28	Europa	Hombres	2
2020	50	50119	Gelsa	Extranjeros	03	Magreb	África	Hombres	18
2020	50	50119	Gelsa	Extranjeros	06	Resto de América	América	Hombres	6
2020	50	50119	Gelsa	Extranjeros	07	Asia	Asia	Hombres	3
2020	50	50120	Godojos	Españoles	01	UE-28	Europa	Hombres	28
2020	50	50121	Gotor	Españoles	01	UE-28	Europa	Hombres	144
2020	50	50121	Gotor	Extranjeros	03	Magreb	África	Hombres	13
2020	50	50122	Grisel	Españoles	01	UE-28	Europa	Hombres	43
2020	50	50123	Grisén	Españoles	01	UE-28	Europa	Hombres	262
2020	50	50123	Grisén	Extranjeros	01	UE-28	Europa	Hombres	32
2020	50	50123	Grisén	Extranjeros	03	Magreb	África	Hombres	9
2020	50	50123	Grisén	Extranjeros	06	Resto de América	América	Hombres	3
2020	50	50124	Herrera de los Navarros	Españoles	01	UE-28	Europa	Hombres	236
2020	50	50124	Herrera de los Navarros	Extranjeros	01	UE-28	Europa	Hombres	18
2020	50	50124	Herrera de los Navarros	Extranjeros	03	Magreb	África	Hombres	13
2020	50	50124	Herrera de los Navarros	Extranjeros	06	Resto de América	América	Hombres	1
2020	50	50125	Ibdes	Españoles	01	UE-28	Europa	Hombres	187
