Municipio código	Municipio nombre	Salario Percepciones	Salario Retribución	Salario medio por percepción	Pensión Percepciones	Pensión Retribución	Pensión media por percepción	Desempleo Perceptores	Desempleo Retribución	Desempleo prestación media anual	Año
22016	Alcampell	235,0	1651209,49	7026,42336170213	351,0	1809105,37	5154,14635327635	16,0	32136,68	2008,5425	2000
22016	Alcampell	215,0	1728490,46	8039,49051162791	349,0	1872061,33	5364,07257879656	19,0	54159,96	2850,52421052632	2001
22016	Alcampell	247,0	2017462,99	8167,8663562753	329,0	1852055,39	5629,3476899696	19,0	51930,07	2733,16157894737	2002
22016	Alcampell	278,0	2240500,69	8059,355	312,0	1863696,89	5973,38746794872	16,0	37779,27	2361,204375	2003
22016	Alcampell	237,0	2180432,26	9200,13611814346	312,0	1904954,44	6105,62320512821	25,0	60603,79	2424,1516	2004
22016	Alcampell	223,0	2138330,61	9588,92650224215	317,0	1993957,5	6290,08675078864	23,0	86593,64	3764,94086956522	2005
22016	Alcampell	243,0	2384608,18	9813,20238683128	307,0	2054929,78	6693,58234527687	27,0	77501,74	2870,43481481481	2006
22016	Alcampell	244,0	2686458,85	11010,0772540984	308,0	2114749,04	6866,06831168831	20,0	86854,76	4342,738	2007
22016	Alcampell	233,0	2841545,65	12195,4748927039	352,0	2566663,94	7291,65892045455	27,0	84366,8	3124,6962962963	2008
22016	Alcampell	199,0	2585048,27	12990,1923115578	334,0	2602978,96	7793,35017964072	35,0	139895,71	3997,02028571429	2009
22016	Alcampell	183,0	2337867,32	12775,2312568306	334,0	2800519,6	8384,78922155689	46,0	249379,22	5421,28739130435	2010
22017	Alcolea de Cinca	403,0	3397437,23	8430,3653349876	298,0	1502045,54	5040,42127516779	15,0	42020,95	2801,39666666667	1999
22017	Alcolea de Cinca	482,0	3959372,07	8214,46487551867	292,0	1603095,9	5490,05445205479	25,0	53877,12	2155,0848	2000
22017	Alcolea de Cinca	476,0	4352935,21	9144,8218697479	309,0	1765766,65	5714,45517799353	31,0	95239,72	3072,24903225806	2001
22017	Alcolea de Cinca	546,0	4654791,25	8525,2586996337	301,0	1784852,92	5929,74392026578	39,0	104204,31	2671,90538461538	2002
22017	Alcolea de Cinca	574,0	4986927,65	8688,02726480836	307,0	1943589,23	6330,90954397394	41,0	118012,93	2878,36414634146	2003
22017	Alcolea de Cinca	565,0	5315294,99	9407,60175221239	316,0	2126903,82	6730,70829113924	50,0	125534,22	2510,6844	2004
22017	Alcolea de Cinca	589,0	5605781,58	9517,45599320883	317,0	2257613,14	7121,8080126183	40,0	93969,91	2349,24775	2005
22017	Alcolea de Cinca	536,0	5670334,45	10578,9821828358	313,0	2403860,15	7680,06437699681	51,0	111324,62	2182,83568627451	2006
22017	Alcolea de Cinca	547,0	6401616,02	11703,1371480804	321,0	2431759,13	7575,57361370717	38,0	110672,29	2912,42868421053	2007
22017	Alcolea de Cinca	546,0	6679541,45	12233,5923992674	348,0	3003186,67	8629,84675287356	42,0	140049,85	3334,52023809524	2008
22017	Alcolea de Cinca	552,0	6448200,2	11681,5221014493	346,0	3125475,81	9033,16708092486	86,0	317109,3	3687,31744186047	2009
22017	Alcolea de Cinca	503,0	6319715,64	12564,0469980119	362,0	3267161,72	9025,30861878453	94,0	364392,02	3876,51085106383	2010
22018	Alcubierre	109,0	730915,7	6705,64862385321	142,0	701576,75	4940,68133802817	14,0	37146,01	2653,28642857143	1999
22018	Alcubierre	100,0	831244,37	8312,4437	145,0	744321,44	5133,25131034483	10,0	20418,24	2041,824	2000
22018	Alcubierre	102,0	1014245,65	9943,58480392157	144,0	799229,73	5550,20645833333	7,0	7451,11	1064,44428571429	2001
22018	Alcubierre	102,0	1070240,3	10492,5519607843	141,0	818099,67	5802,12531914894				2002
22018	Alcubierre	118,0	1124103,84	9526,30372881356	135,0	839020,41	6214,966				2003
22018	Alcubierre	119,0	1215455,45	10213,9113445378	138,0	875789,96	6346,30405797101				2004
22018	Alcubierre	140,0	1481206,75	10580,0482142857	142,0	999570,11	7039,22612676056				2005
22018	Alcubierre	137,0	1558346,44	11374,7915328467	135,0	991984,06	7348,03007407408	11,0	31621,35	2874,66818181818	2006
22018	Alcubierre	151,0	1620436,38	10731,3667549669	131,0	1023405,26	7812,25389312977	11,0	29480,4	2680,03636363636	2007
22018	Alcubierre	150,0	1758955,36	11726,3690666667	149,0	1192114,82	8000,77060402685	13,0	40414,02	3108,77076923077	2008
22018	Alcubierre	129,0	1614902,02	12518,6203100775	138,0	1358184,34	9841,91550724638	19,0	97769,96	5145,78736842105	2009
22018	Alcubierre	125,0	1581954,4	12655,6352	135,0	1277064,86	9459,7397037037	21,0	71472,65	3403,45952380952	2010
22019	Alerre	85,0	1286145,87	15131,1278823529	39,0	228949,94	5870,51128205128				1999
22019	Alerre	84,0	1274566,15	15173,406547619	39,0	243032,32	6231,59794871795				2000
22019	Alerre	84,0	1431975,12	17047,3228571429	35,0	240341,18	6866,89085714286				2001
22019	Alerre	104,0	1651076,37	15875,7343269231	33,0	275213,29	8339,79666666667				2002
22019	Alerre	96,0	1661690,32	17309,2741666667	49,0	466533,29	9521,08755102041	7,0	17646,52	2520,93142857143	2003
22019	Alerre	102,0	1654823,22	16223,7570588235	47,0	399399,96	8497,8714893617	10,0	31622,76	3162,276	2004
22019	Alerre	125,0	2088325,08	16706,60064	48,0	468511,7	9760,66041666667	10,0	27860,25	2786,025	2005
22019	Alerre	113,0	2190382,44	19383,9153982301	46,0	417766,94	9081,89				2006
22019	Alerre	130,0	2518080,76	19369,852	42,0	382443,88	9105,80666666667				2007
22019	Alerre	123,0	2804302,66	22799,2086178862	53,0	746905,23	14092,551509434				2008
22019	Alerre	124,0	2808918,84	22652,5712903226	50,0	563020,71	11260,4142	7,0	27587,86	3941,12285714286	2009
22019	Alerre	120,0	2787307,92	23227,566	47,0	606403,15	12902,1946808511	15,0	37228,41	2481,894	2010
22020	Alfántega	52,0	364812,75	7015,62980769231	44,0	198958,16	4521,77636363636	7,0	14454,43	2064,91857142857	1999
22020	Alfántega	33,0	316488,27	9590,55363636364	41,0	212423,15	5181,05243902439	7,0	9537,67	1362,52428571429	2000
22020	Alfántega	39,0	382557,18	9809,15846153846	49,0	244299,75	4985,70918367347				2001
22020	Alfántega	51,0	443224,11	8690,66882352941	46,0	201960,91	4390,45456521739				2002
22020	Alfántega	56,0	468574,59	8367,40339285714	38,0	214406,72	5642,28210526316	10,0	13747,09	1374,709	2003
22020	Alfántega	52,0	449411,41	8642,52711538462	41,0	237928,92	5803,1443902439	7,0	19511,4	2787,34285714286	2004
22020	Alfántega	42,0	447920,86	10664,7823809524	45,0	287852,26	6396,71688888889				2005
22020	Alfántega	45,0	464158,62	10314,636	36,0	280995,93	7805,4425				2006
22020	Alfántega	50,0	649545,46	12990,9092	36,0	291083,15	8085,64305555556				2007
22020	Alfántega	60,0	785805,8	13096,7633333333	45,0	393414,74	8742,54977777778	8,0	31179,6	3897,45	2008
22020	Alfántega	57,0	643450,59	11288,6068421053	43,0	372376,39	8659,91604651163	9,0	30889,63	3432,18111111111	2009
22020	Alfántega	56,0	669487,71	11955,1376785714	43,0	385604,01	8967,53511627907	12,0	53329,61	4444,13416666667	2010
22021	Almudévar	896,0	8082686,12	9020,85504464286	688,0	3447054,12	5010,25308139535	67,0	95728,67	1428,78611940299	1999
22021	Almudévar	955,0	9120733,48	9550,5062617801	671,0	3602159,85	5368,3455290611	74,0	144789,39	1956,61337837838	2000
22021	Almudévar	939,0	9833679,48	10472,5021086262	663,0	3793713,17	5722,04098039216	63,0	169948,71	2697,59857142857	2001
22021	Almudévar	972,0	10573440,24	10878,0249382716	649,0	3985043,1	6140,28212634823	65,0	177203,23	2726,20353846154	2002
22021	Almudévar	970,0	11701290,72	12063,1863092784	632,0	4257089,62	6735,90129746836	73,0	149418,27	2046,82561643836	2003
22021	Almudévar	973,0	12529928,16	12877,624008222	659,0	4636220,85	7035,23649468892	77,0	186222,99	2418,48038961039	2004
22021	Almudévar	1040,0	13084861,14	12581,59725	650,0	4792438,95	7372,983	73,0	214511,28	2938,51068493151	2005
22021	Almudévar	1074,0	14214390,91	13235,0008472998	659,0	5173870,73	7851,09367223065	95,0	307511,63	3236,96452631579	2006
22021	Almudévar	1094,0	15211413,11	13904,3995521024	649,0	5528916,15	8519,131201849	95,0	298347,82	3140,50336842105	2007
22021	Almudévar	1143,0	17397858,06	15221,2231496063	747,0	6513115,63	8719,03029451138	122,0	406415,33	3331,27319672131	2008
22021	Almudévar	1152,0	16923689,01	14690,702265625	739,0	6940092,6	9391,19431664411	206,0	854668,13	4148,87441747573	2009
22021	Almudévar	1113,0	16964047,72	15241,7320035939	754,0	7051269,13	9351,81582228117	211,0	826226,62	3915,76597156398	2010
22022	Almunia de San Juan	242,0	2337599,44	9659,50181818182	208,0	1157739,76	5566,05653846154	25,0	42625,82	1705,0328	1999
22022	Almunia de San Juan	292,0	2760124,31	9452,48051369863	221,0	1268721,42	5740,82090497738	28,0	55066,18	1966,64928571429	2000
22022	Almunia de San Juan	286,0	4379296,75	15312,2263986014	200,0	1330861,65	6654,30825	28,0	56930,81	2033,24321428571	2001
22022	Almunia de San Juan	288,0	3105872,85	10784,2807291667	199,0	1407849,39	7074,62005025126	32,0	69115,83	2159,8696875	2002
22022	Almunia de San Juan	308,0	3379559,18	10972,5947402597	214,0	1517436,46	7090,82457943925	27,0	61685,93	2284,66407407407	2003
22022	Almunia de San Juan	293,0	3502087,25	11952,5162116041	210,0	1533272,06	7301,29552380952	21,0	47994,57	2285,45571428571	2004
22022	Almunia de San Juan	335,0	3709605,92	11073,4505074627	210,0	1590656,11	7574,55290476191	25,0	71870,61	2874,8244	2005
