Año	Municipio código	Municipio nombre	Tipo de presupuesto	Estado de la información	Área gastos, total	Área gastos, deuda pública	Área gastos, servicios públicos básicos	Área gastos, actuaciones protección y promoción social	Área gastos, producción bienes públicos carácter preferente	Área gastos, actuaciones carácter económico	Área gastos, actuaciones carácter general
2010	22232	Torralba de Aragón	Presupuestos	Consolidada	289800,0	0,0	0,0	9100,0	47500,0	0,0	233200,0
2010	22233	Torre la Ribera	Presupuestos	Consolidada	368180,6	10183,47	210545,96	5629,75	104136,84	617,0	37067,58
2010	22234	Torrente de Cinca	Presupuestos	Consolidada	822493,86	46120,59	267465,87	75300,0	116080,44	0,0	317526,96
2010	22235	Torres de Alcanadre	Presupuestos	Consolidada	167789,63	2600,0	128614,63	6100,0	7300,0	0,0	23175,0
2010	22236	Torres de Barbués	Presupuestos	Consolidada	396548,86	270,0	83600,0	9820,86	21320,0	209084,26	72453,74
2010	22239	Tramaced	Presupuestos	Consolidada	355707,82	21852,18	0,0	6203,66	302035,67	1182,86	24433,45
2010	22242	Valfarta	Presupuestos	Consolidada	220689,1	0,0	0,0	5800,0	184429,28	100,0	30359,82
2010	22243	Valle de Bardají	Presupuestos	Sin información							
2010	22244	Valle de Lierp	Presupuestos	Consolidada	318231,55	0,0	84218,51	0,0	150000,0	40263,04	43750,0
2010	22245	Velilla de Cinca	Presupuestos	Consolidada	320485,0	8100,0	119085,0	15000,0	108000,0	0,0	70300,0
2010	22246	Beranuy	Presupuestos	Consolidada	144805,81	0,0	99154,0	5629,75	3221,49	2040,0	34760,57
2010	22247	Viacamp y Litera	Presupuestos	Consolidada	498619,64	0,0	45000,0	11000,0	25844,3	155141,93	261633,41
2010	22248	Vicién	Presupuestos	Consolidada	290403,24	19042,34	0,0	13570,54	202448,4	21363,21	33978,75
2010	22249	Villanova	Presupuestos	Consolidada	207000,0	950,0	6000,0	20300,0	8000,0	52600,0	119150,0
2010	22250	Villanúa	Presupuestos	Consolidada	1547817,52	0,0	78200,0	99000,0	652471,82	509350,0	208795,7
2010	22251	Villanueva de Sigena	Presupuestos	Consolidada	619306,0	16000,0	0,0	0,0	175000,0	246406,0	181900,0
2010	22252	Yebra de Basa	Presupuestos	Consolidada	182032,0	0,0	119366,0	0,0	6000,0	2000,0	54666,0
2010	22253	Yésero	Presupuestos	Consolidada	230442,15	0,0	197219,15	1600,0	5000,0	0,0	26623,0
2010	22254	Zaidín	Presupuestos	Consolidada	1633158,36	128632,16	0,0	89000,0	239900,0	260018,0	915608,2
2010	22901	Valle de Hecho	Presupuestos	Sin información							
2010	22902	Puente la Reina de Jaca	Presupuestos	Consolidada	353000,0	17075,0	30482,94	42517,22	17803,25	88000,0	157121,59
2010	22903	San Miguel del Cinca	Presupuestos	Consolidada	1025090,92	45137,32	357757,21	0,0	401733,1	20000,0	200463,29
2010	22904	Sotonera (La)	Presupuestos	Consolidada	946483,0	44493,0	381282,0	45474,0	60475,0	129000,0	285759,0
2010	22905	Lupiñén-Ortilla	Presupuestos	Consolidada	838000,0	46365,0	278100,0	0,0	397300,0	0,0	116235,0
2010	22906	Santa María de Dulcis	Presupuestos	Consolidada	187535,36	6000,0	58843,92	13475,33	9400,0	12366,11	87450,0
2010	22907	Aínsa-Sobrarbe	Presupuestos	Sin información							
2010	22908	Hoz y Costeán	Presupuestos	Consolidada	596500,0	2000,0	83600,0	52400,0	399050,0	0,0	59450,0
2010	22909	Vencillón	Presupuestos	Consolidada	342290,81	4600,0	70747,12	0,0	166893,69	0,0	100050,0
2010	44001	Ababuj	Presupuestos	Consolidada	271498,62	44900,0	77120,0	4900,0	0,0	80396,0	64182,62
2010	44002	Abejuela	Presupuestos	Sin información							
2010	44003	Aguatón	Presupuestos	Sin información							
2010	44004	Aguaviva	Presupuestos	Sin información							
2010	44005	Aguilar del Alfambra	Presupuestos	Consolidada	513320,0	109900,0	114570,0	0,0	23117,0	212270,0	53463,0
2010	44006	Alacón	Presupuestos	Consolidada	637250,0	14250,0	218000,0	8000,0	194000,0	57000,0	146000,0
2010	44007	Alba	Presupuestos	Sin información							
2010	44008	Albalate del Arzobispo	Presupuestos	Consolidada	6546421,0	18850,0	915707,0	189570,0	1491750,0	3614455,0	316089,0
2010	44009	Albarracín	Presupuestos	Consolidada	1789429,0	30950,0	884980,0	21720,0	418286,0	42607,5	390885,5
2010	44010	Albentosa	Presupuestos	Consolidada	564400,0	15000,0	342400,0	0,0	104000,0	0,0	103000,0
2010	44011	Alcaine	Presupuestos	Consolidada	326532,0	0,0	0,0	3502,0	34395,0	8000,0	280635,0
2010	44012	Alcalá de la Selva	Presupuestos	Sin información							
2010	44013	Alcañiz	Presupuestos	Consolidada	18429731,36	1773269,72	8535134,97	857762,77	4544781,21	857261,16	1861521,53
2010	44014	Alcorisa	Presupuestos	Consolidada	5901137,49	0,0	772988,57	338520,87	1021886,69	1550189,51	2217551,85
2010	44016	Alfambra	Presupuestos	Consolidada	674000,0	60000,0	44500,0	0,0	267500,0	7000,0	295000,0
2010	44017	Aliaga	Presupuestos	Consolidada	600900,0	5000,0	249200,0	35000,0	95300,0	50200,0	166200,0
2010	44018	Almohaja	Presupuestos	Sin información							
2010	44019	Alobras	Presupuestos	Consolidada	378502,64	2250,0	308300,0	5800,0	0,0	0,0	62152,64
2010	44020	Alpeñés	Presupuestos	Sin información							
2010	44021	Allepuz	Presupuestos	Sin información							
2010	44022	Alloza	Presupuestos	Consolidada	1084580,0	97878,0	848042,0	0,0	50960,0	77800,0	9900,0
2010	44023	Allueva	Presupuestos	Consolidada	118250,0	800,0	98458,0	0,0	2000,0	0,0	16992,0
2010	44024	Anadón	Presupuestos	Consolidada	124550,0	0,0	0,0	4650,0	82000,0	12600,0	25300,0
2010	44025	Andorra	Presupuestos	Consolidada	12061142,81	176400,0	2232898,43	655218,3	2785380,37	4954662,79	1256582,92
2010	44026	Arcos de las Salinas	Presupuestos	Consolidada	727300,0	20500,0	253200,0	0,0	151300,0	0,0	302300,0
2010	44027	Arens de Lledó	Presupuestos	Sin información							
2010	44028	Argente	Presupuestos	Sin información							
2010	44029	Ariño	Presupuestos	Consolidada	3014760,0	7850,0	463900,0	2500,0	358500,0	1602700,0	579310,0
2010	44031	Azaila	Presupuestos	Consolidada	228397,4	5808,0	35762,99	0,0	19092,0	104969,66	62764,75
2010	44032	Bádenas	Presupuestos	Sin información							
2010	44033	Báguena	Presupuestos	Consolidada	502560,0	7000,0	248000,0	20280,0	0,0	0,0	227280,0
2010	44034	Bañón	Presupuestos	Consolidada	420913,7	39800,0	207985,43	5106,39	12100,0	101650,0	54271,88
2010	44035	Barrachina	Presupuestos	Consolidada	301113,0	5400,0	135413,0	6100,0	103450,0	9400,0	41350,0
2010	44036	Bea	Presupuestos	Sin información							
2010	44037	Beceite	Presupuestos	Consolidada	1912800,0	57000,0	529300,0	60000,0	400100,0	600000,0	266400,0
2010	44038	Belmonte de San José	Presupuestos	Sin información							
2010	44039	Bello	Presupuestos	Consolidada	635000,0	74160,0	241040,0	18200,0	97000,0	18000,0	186600,0
2010	44040	Berge	Presupuestos	Sin información							
2010	44041	Bezas	Presupuestos	Consolidada	182480,0	9638,14	4500,0	0,0	73000,0	18300,0	77041,86
2010	44042	Blancas	Presupuestos	Consolidada	223170,0	2000,0	152580,0	360,0	28500,0	2700,0	37030,0
2010	44043	Blesa	Presupuestos	Sin información							
2010	44044	Bordón	Presupuestos	Sin información							
2010	44045	Bronchales	Presupuestos	Sin información							
2010	44046	Bueña	Presupuestos	Sin información							
2010	44047	Burbáguena	Presupuestos	Sin información							
2010	44048	Cabra de Mora	Presupuestos	Consolidada	366420,0	5500,0	241940,0	9400,0	4100,0	0,0	105480,0
2010	44049	Calaceite	Presupuestos	Consolidada	2852950,0	316500,0	31500,0	95500,0	115500,0	2226650,0	67300,0
