Año	Comarca Código	Comarca Nombre	Nº Accidentes	Grupo Grado Código	Grupo Grado Código	Régimen Código (2 dígitos)	Régimen (2 dígitos)
2014,0	02	Alto Gállego	101	Leves	1	01	General
2014,0	02	Alto Gállego	3	Leves	1	05	Trabajadores Autónomos
2014,0	03	Sobrarbe	44	Leves	1	01	General
2014,0	03	Sobrarbe	2	Leves	1	05	Trabajadores Autónomos
2014,0	04	La Ribagorza	102	Leves	1	01	General
2014,0	04	La Ribagorza	5	Leves	1	05	Trabajadores Autónomos
2014,0	05	Cinco Villas	266	Leves	1	01	General
2014,0	05	Cinco Villas	12	Leves	1	05	Trabajadores Autónomos
2014,0	06	Hoya de Huesca / Plana de Uesca	623	Leves	1	01	General
2014,0	06	Hoya de Huesca / Plana de Uesca	15	Leves	1	05	Trabajadores Autónomos
2014,0	07	Somontano de Barbastro	192	Leves	1	01	General
2014,0	07	Somontano de Barbastro	7	Leves	1	05	Trabajadores Autónomos
2014,0	08	Cinca Medio	256	Leves	1	01	General
2014,0	08	Cinca Medio	9	Leves	1	05	Trabajadores Autónomos
2014,0	09	La Litera / La Llitera	195	Leves	1	01	General
2014,0	09	La Litera / La Llitera	7	Leves	1	05	Trabajadores Autónomos
2014,0	10	Los Monegros	117	Leves	1	01	General
2014,0	10	Los Monegros	3	Leves	1	05	Trabajadores Autónomos
2014,0	11	Bajo Cinca / Baix Cinca	307	Leves	1	01	General
2014,0	11	Bajo Cinca / Baix Cinca	12	Leves	1	05	Trabajadores Autónomos
2014,0	12	Tarazona y el Moncayo	64	Leves	1	01	General
2014,0	12	Tarazona y el Moncayo	1	Leves	1	05	Trabajadores Autónomos
2014,0	13	Campo de Borja	120	Leves	1	01	General
2014,0	13	Campo de Borja	3	Leves	1	05	Trabajadores Autónomos
2014,0	14	Aranda	47	Leves	1	01	General
2014,0	15	Ribera Alta del Ebro	428	Leves	1	01	General
2014,0	15	Ribera Alta del Ebro	4	Leves	1	05	Trabajadores Autónomos
2014,0	16	Valdejalón	440	Leves	1	01	General
2014,0	16	Valdejalón	9	Leves	1	05	Trabajadores Autónomos
2014,0	17	D.C. Zaragoza	5826	Leves	1	01	General
2014,0	17	D.C. Zaragoza	104	Leves	1	05	Trabajadores Autónomos
2014,0	18	Ribera Baja del Ebro	76	Leves	1	01	General
2014,0	19	Bajo Aragón-Caspe / Baix Aragó-Casp	92	Leves	1	01	General
2014,0	19	Bajo Aragón-Caspe / Baix Aragó-Casp	4	Leves	1	05	Trabajadores Autónomos
2014,0	20	Comunidad de Calatayud	219	Leves	1	01	General
2014,0	20	Comunidad de Calatayud	16	Leves	1	05	Trabajadores Autónomos
2014,0	21	Campo de Cariñena	95	Leves	1	01	General
2014,0	21	Campo de Cariñena	9	Leves	1	05	Trabajadores Autónomos
2014,0	22	Campo de Belchite	14	Leves	1	01	General
2014,0	22	Campo de Belchite	2	Leves	1	05	Trabajadores Autónomos
2014,0	23	Bajo Martín	60	Leves	1	01	General
2014,0	23	Bajo Martín	7	Leves	1	05	Trabajadores Autónomos
2014,0	24	Campo de Daroca	57	Leves	1	01	General
2014,0	24	Campo de Daroca	3	Leves	1	05	Trabajadores Autónomos
2014,0	25	Jiloca	81	Leves	1	01	General
2014,0	25	Jiloca	11	Leves	1	05	Trabajadores Autónomos
2014,0	26	Cuencas Mineras	99	Leves	1	01	General
2014,0	26	Cuencas Mineras	3	Leves	1	05	Trabajadores Autónomos
2014,0	27	Andorra-Sierra de Arcos	67	Leves	1	01	General
2014,0	27	Andorra-Sierra de Arcos	1	Leves	1	05	Trabajadores Autónomos
2014,0	27	Andorra-Sierra de Arcos	55	Leves	1	09	Especial Minería del Carbón
2014,0	28	Bajo Aragón	181	Leves	1	01	General
2014,0	28	Bajo Aragón	11	Leves	1	05	Trabajadores Autónomos
2014,0	29	Comunidad de Teruel	369	Leves	1	01	General
2014,0	29	Comunidad de Teruel	39	Leves	1	05	Trabajadores Autónomos
2014,0	30	Maestrazgo	7	Leves	1	01	General
2014,0	30	Maestrazgo	1	Leves	1	05	Trabajadores Autónomos
2014,0	31	Sierra de Albarracín	16	Leves	1	01	General
2014,0	32	Gúdar-Javalambre	55	Leves	1	01	General
2014,0	32	Gúdar-Javalambre	1	Leves	1	05	Trabajadores Autónomos
2014,0	33	Matarraña / Matarranya	35	Leves	1	01	General
2014,0	33	Matarraña / Matarranya	2	Leves	1	05	Trabajadores Autónomos
2014,0	NC	Municipio del centro de trabajo fuera de Aragón	87	Leves	1	01	General
2013,0	01	La Jacetania	147	Leves	1	01	General
2013,0	01	La Jacetania	7	Leves	1	05	Trabajadores Autónomos
2013,0	02	Alto Gállego	86	Leves	1	01	General
2013,0	03	Sobrarbe	32	Leves	1	01	General
2013,0	03	Sobrarbe	2	Leves	1	05	Trabajadores Autónomos
2013,0	04	La Ribagorza	105	Leves	1	01	General
2013,0	04	La Ribagorza	5	Leves	1	05	Trabajadores Autónomos
2013,0	05	Cinco Villas	246	Leves	1	01	General
2013,0	05	Cinco Villas	5	Leves	1	05	Trabajadores Autónomos
2013,0	06	Hoya de Huesca / Plana de Uesca	558	Leves	1	01	General
2013,0	06	Hoya de Huesca / Plana de Uesca	11	Leves	1	05	Trabajadores Autónomos
2013,0	07	Somontano de Barbastro	191	Leves	1	01	General
2013,0	07	Somontano de Barbastro	9	Leves	1	05	Trabajadores Autónomos
2013,0	08	Cinca Medio	245	Leves	1	01	General
2013,0	08	Cinca Medio	3	Leves	1	05	Trabajadores Autónomos
2013,0	09	La Litera / La Llitera	189	Leves	1	01	General
2013,0	09	La Litera / La Llitera	9	Leves	1	05	Trabajadores Autónomos
2013,0	10	Los Monegros	127	Leves	1	01	General
2013,0	10	Los Monegros	3	Leves	1	05	Trabajadores Autónomos
2013,0	11	Bajo Cinca / Baix Cinca	258	Leves	1	01	General
2013,0	11	Bajo Cinca / Baix Cinca	8	Leves	1	05	Trabajadores Autónomos
