Mes y año	Comarca código	Comarca nombre	UE25-UE27-UE28	UE25	UE27	UE28	Sexo	Nº parados
Julio 2021	11	Bajo Cinca / Baix Cinca	Españoles	ESPAÑA	Españoles	Españoles	Hombres	201
Julio 2021	11	Bajo Cinca / Baix Cinca	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	78
Julio 2021	11	Bajo Cinca / Baix Cinca	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	11
Julio 2021	11	Bajo Cinca / Baix Cinca	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros no comunitarios	Extranjeros comunitarios (UE-28)	Hombres	1
Julio 2021	11	Bajo Cinca / Baix Cinca	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Hombres	47
Julio 2021	11	Bajo Cinca / Baix Cinca	Españoles	ESPAÑA	Españoles	Españoles	Mujeres	298
Julio 2021	11	Bajo Cinca / Baix Cinca	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	102
Julio 2021	11	Bajo Cinca / Baix Cinca	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	5
Julio 2021	11	Bajo Cinca / Baix Cinca	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Mujeres	47
Julio 2021	12	Tarazona y el Moncayo	Españoles	ESPAÑA	Españoles	Españoles	Hombres	229
Julio 2021	12	Tarazona y el Moncayo	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	12
Julio 2021	12	Tarazona y el Moncayo	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	4
Julio 2021	12	Tarazona y el Moncayo	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Hombres	17
Julio 2021	12	Tarazona y el Moncayo	Españoles	ESPAÑA	Españoles	Españoles	Mujeres	359
Julio 2021	12	Tarazona y el Moncayo	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	21
Julio 2021	12	Tarazona y el Moncayo	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	3
Julio 2021	12	Tarazona y el Moncayo	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Mujeres	32
Julio 2021	13	Campo de Borja	Españoles	ESPAÑA	Españoles	Españoles	Hombres	210
Julio 2021	13	Campo de Borja	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	40
Julio 2021	13	Campo de Borja	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	2
Julio 2021	13	Campo de Borja	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Hombres	17
Julio 2021	13	Campo de Borja	Españoles	ESPAÑA	Españoles	Españoles	Mujeres	276
Julio 2021	13	Campo de Borja	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	64
Julio 2021	13	Campo de Borja	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	4
Julio 2021	13	Campo de Borja	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Mujeres	32
Julio 2021	14	Aranda	Españoles	ESPAÑA	Españoles	Españoles	Hombres	99
Julio 2021	14	Aranda	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	12
Julio 2021	14	Aranda	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Hombres	8
Julio 2021	14	Aranda	Españoles	ESPAÑA	Españoles	Españoles	Mujeres	219
Julio 2021	14	Aranda	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	25
Julio 2021	14	Aranda	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Mujeres	12
Julio 2021	15	Ribera Alta del Ebro	Españoles	ESPAÑA	Españoles	Españoles	Hombres	570
Julio 2021	15	Ribera Alta del Ebro	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	59
