Año	Residencia provincia código	Residencia municipio código	Residencia municipio nombre	Edad (grandes grupos)	Sexo	Personas
1998	22	22078	Canfranc	16 a 64	Mujeres	158
1998	22	22078	Canfranc	65 y más	Mujeres	41
1998	22	22079	Capdesaso	0 a 15	Mujeres	11
1998	22	22079	Capdesaso	16 a 64	Mujeres	46
1998	22	22079	Capdesaso	65 y más	Mujeres	39
1998	22	22080	Capella	0 a 15	Mujeres	18
1998	22	22080	Capella	16 a 64	Mujeres	105
1998	22	22080	Capella	65 y más	Mujeres	75
1998	22	22081	Casbas de Huesca	0 a 15	Mujeres	9
1998	22	22081	Casbas de Huesca	16 a 64	Mujeres	71
1998	22	22081	Casbas de Huesca	65 y más	Mujeres	64
1998	22	22082	Castejón del Puente	0 a 15	Mujeres	27
1998	22	22082	Castejón del Puente	16 a 64	Mujeres	116
1998	22	22082	Castejón del Puente	65 y más	Mujeres	47
1998	22	22083	Castejón de Monegros	0 a 15	Mujeres	32
1998	22	22083	Castejón de Monegros	16 a 64	Mujeres	219
1998	22	22083	Castejón de Monegros	65 y más	Mujeres	112
1998	22	22084	Castejón de Sos	0 a 15	Mujeres	25
1998	22	22084	Castejón de Sos	16 a 64	Mujeres	165
1998	22	22084	Castejón de Sos	65 y más	Mujeres	67
1998	22	22085	Castelflorite	0 a 15	Mujeres	7
1998	22	22085	Castelflorite	16 a 64	Mujeres	50
1998	22	22085	Castelflorite	65 y más	Mujeres	16
1998	22	22086	Castiello de Jaca	0 a 15	Mujeres	4
1998	22	22086	Castiello de Jaca	16 a 64	Mujeres	50
1998	22	22086	Castiello de Jaca	65 y más	Mujeres	24
1998	22	22087	Castigaleu	0 a 15	Mujeres	6
1998	22	22087	Castigaleu	16 a 64	Mujeres	24
1998	22	22087	Castigaleu	65 y más	Mujeres	15
1998	22	22088	Castillazuelo	0 a 15	Mujeres	6
1998	22	22088	Castillazuelo	16 a 64	Mujeres	55
1998	22	22088	Castillazuelo	65 y más	Mujeres	62
1998	22	22089	Castillonroy	0 a 15	Mujeres	26
1998	22	22089	Castillonroy	16 a 64	Mujeres	121
1998	22	22089	Castillonroy	65 y más	Mujeres	69
1998	22	22090	Colungo	0 a 15	Mujeres	2
1998	22	22090	Colungo	16 a 64	Mujeres	28
1998	22	22090	Colungo	65 y más	Mujeres	29
1998	22	22094	Chalamera	0 a 15	Mujeres	5
1998	22	22094	Chalamera	16 a 64	Mujeres	37
1998	22	22094	Chalamera	65 y más	Mujeres	30
1998	22	22095	Chía	0 a 15	Mujeres	2
1998	22	22095	Chía	16 a 64	Mujeres	24
1998	22	22095	Chía	65 y más	Mujeres	25
1998	22	22096	Chimillas	0 a 15	Mujeres	16
1998	22	22096	Chimillas	16 a 64	Mujeres	48
1998	22	22096	Chimillas	65 y más	Mujeres	17
1998	22	22099	Esplús	0 a 15	Mujeres	42
1998	22	22099	Esplús	16 a 64	Mujeres	246
1998	22	22099	Esplús	65 y más	Mujeres	129
1998	22	22102	Estada	0 a 15	Mujeres	12
1998	22	22102	Estada	16 a 64	Mujeres	44
1998	22	22102	Estada	65 y más	Mujeres	33
1998	22	22103	Estadilla	0 a 15	Mujeres	51
1998	22	22103	Estadilla	16 a 64	Mujeres	273
1998	22	22103	Estadilla	65 y más	Mujeres	127
1998	22	22106	Fago	16 a 64	Mujeres	9
1998	22	22106	Fago	65 y más	Mujeres	6
1998	22	22107	Fanlo	0 a 15	Mujeres	2
1998	22	22107	Fanlo	16 a 64	Mujeres	32
1998	22	22107	Fanlo	65 y más	Mujeres	14
1998	22	22109	Fiscal	0 a 15	Mujeres	13
1998	22	22109	Fiscal	16 a 64	Mujeres	54
1998	22	22109	Fiscal	65 y más	Mujeres	38
1998	22	22110	Fonz	0 a 15	Mujeres	49
1998	22	22110	Fonz	16 a 64	Mujeres	290
1998	22	22110	Fonz	65 y más	Mujeres	212
1998	22	22111	Foradada del Toscar	0 a 15	Mujeres	10
1998	22	22111	Foradada del Toscar	16 a 64	Mujeres	85
1998	22	22111	Foradada del Toscar	65 y más	Mujeres	36
1998	22	22112	Fraga	0 a 15	Mujeres	996
1998	22	22112	Fraga	16 a 64	Mujeres	3730
1998	22	22112	Fraga	65 y más	Mujeres	1178
1998	22	22113	Fueva (La)	0 a 15	Mujeres	45
1998	22	22113	Fueva (La)	16 a 64	Mujeres	157
1998	22	22113	Fueva (La)	65 y más	Mujeres	93
1998	22	22114	Gistaín	0 a 15	Mujeres	4
1998	22	22114	Gistaín	16 a 64	Mujeres	44
1998	22	22114	Gistaín	65 y más	Mujeres	27
1998	22	22115	Grado (El)	0 a 15	Mujeres	29
1998	22	22115	Grado (El)	16 a 64	Mujeres	160
1998	22	22115	Grado (El)	65 y más	Mujeres	86
1998	22	22116	Grañén	0 a 15	Mujeres	126
1998	22	22116	Grañén	16 a 64	Mujeres	587
1998	22	22116	Grañén	65 y más	Mujeres	248
1998	22	22117	Graus	0 a 15	Mujeres	203
1998	22	22117	Graus	16 a 64	Mujeres	854
1998	22	22117	Graus	65 y más	Mujeres	542
1998	22	22119	Gurrea de Gállego	0 a 15	Mujeres	102
1998	22	22119	Gurrea de Gállego	16 a 64	Mujeres	570
1998	22	22119	Gurrea de Gállego	65 y más	Mujeres	243
1998	22	22122	Hoz de Jaca	0 a 15	Mujeres	2
1998	22	22122	Hoz de Jaca	16 a 64	Mujeres	29
1998	22	22122	Hoz de Jaca	65 y más	Mujeres	12
1998	22	22124	Huerto	0 a 15	Mujeres	10
1998	22	22124	Huerto	16 a 64	Mujeres	69
1998	22	22124	Huerto	65 y más	Mujeres	42
1998	22	22125	Huesca	0 a 15	Mujeres	3492
1998	22	22125	Huesca	16 a 64	Mujeres	15145
1998	22	22125	Huesca	65 y más	Mujeres	4944
1998	22	22126	Ibieca	0 a 15	Mujeres	4
1998	22	22126	Ibieca	16 a 64	Mujeres	26
1998	22	22126	Ibieca	65 y más	Mujeres	22
1998	22	22127	Igriés	0 a 15	Mujeres	11
1998	22	22127	Igriés	16 a 64	Mujeres	39
1998	22	22127	Igriés	65 y más	Mujeres	41
1998	22	22128	Ilche	0 a 15	Mujeres	10
1998	22	22128	Ilche	16 a 64	Mujeres	82
1998	22	22128	Ilche	65 y más	Mujeres	42
1998	22	22129	Isábena	0 a 15	Mujeres	11
1998	22	22129	Isábena	16 a 64	Mujeres	70
1998	22	22129	Isábena	65 y más	Mujeres	44
1998	22	22130	Jaca	0 a 15	Mujeres	775
1998	22	22130	Jaca	16 a 64	Mujeres	3545
1998	22	22130	Jaca	65 y más	Mujeres	1340
1998	22	22131	Jasa	0 a 15	Mujeres	8
1998	22	22131	Jasa	16 a 64	Mujeres	31
