Año	Inscripción provincia código	Inscripción provincia nombre	Edad (grandes grupos)	Sexo	Personas	Nivel de estudios Código	Nivel de estudios Nombre
2011	44	Teruel	0-15	Mujer	25,0	2	Inferior a graduado escolar o ESO
2011	44	Teruel	0-15	Mujer	3,0	3	Graduado escolar o ESO
2011	44	Teruel	16-64	Hombre	348,0	0	Sin clasificar
2011	44	Teruel	16-64	Hombre	56,0	2	Inferior a graduado escolar o ESO
2011	44	Teruel	16-64	Hombre	231,0	3	Graduado escolar o ESO
2011	44	Teruel	16-64	Hombre	444,0	4	BUP, Bachiller, LOGSE ó superior
2011	44	Teruel	16-64	Mujer	313,0	0	Sin clasificar
2011	44	Teruel	16-64	Mujer	3,0	1	No sabe leer ni escribir
2011	44	Teruel	16-64	Mujer	60,0	2	Inferior a graduado escolar o ESO
2011	44	Teruel	16-64	Mujer	228,0	3	Graduado escolar o ESO
2011	44	Teruel	16-64	Mujer	468,0	4	BUP, Bachiller, LOGSE ó superior
2011	44	Teruel	65 y más	Hombre	319,0	0	Sin clasificar
2011	44	Teruel	65 y más	Hombre	3,0	1	No sabe leer ni escribir
2011	44	Teruel	65 y más	Hombre	117,0	2	Inferior a graduado escolar o ESO
2011	44	Teruel	65 y más	Hombre	214,0	3	Graduado escolar o ESO
2011	44	Teruel	65 y más	Hombre	133,0	4	BUP, Bachiller, LOGSE ó superior
2011	44	Teruel	65 y más	Mujer	351,0	0	Sin clasificar
2011	44	Teruel	65 y más	Mujer	1,0	1	No sabe leer ni escribir
2011	44	Teruel	65 y más	Mujer	142,0	2	Inferior a graduado escolar o ESO
2011	44	Teruel	65 y más	Mujer	224,0	3	Graduado escolar o ESO
2011	44	Teruel	65 y más	Mujer	110,0	4	BUP, Bachiller, LOGSE ó superior
2011	50	Zaragoza	0-15	Hombre	1341,0	0	Sin clasificar
2011	50	Zaragoza	0-15	Hombre	20,0	1	No sabe leer ni escribir
2011	50	Zaragoza	0-15	Hombre	190,0	2	Inferior a graduado escolar o ESO
2011	50	Zaragoza	0-15	Hombre	31,0	3	Graduado escolar o ESO
2011	50	Zaragoza	0-15	Hombre	6,0	4	BUP, Bachiller, LOGSE ó superior
2011	50	Zaragoza	0-15	Mujer	1246,0	0	Sin clasificar
2011	50	Zaragoza	0-15	Mujer	23,0	1	No sabe leer ni escribir
2011	50	Zaragoza	0-15	Mujer	188,0	2	Inferior a graduado escolar o ESO
2011	50	Zaragoza	0-15	Mujer	35,0	3	Graduado escolar o ESO
2011	50	Zaragoza	0-15	Mujer	9,0	4	BUP, Bachiller, LOGSE ó superior
2011	50	Zaragoza	16-64	Hombre	1504,0	0	Sin clasificar
2011	50	Zaragoza	16-64	Hombre	3,0	1	No sabe leer ni escribir
2011	50	Zaragoza	16-64	Hombre	228,0	2	Inferior a graduado escolar o ESO
2011	50	Zaragoza	16-64	Hombre	1113,0	3	Graduado escolar o ESO
2011	50	Zaragoza	16-64	Hombre	2664,0	4	BUP, Bachiller, LOGSE ó superior
2011	50	Zaragoza	16-64	Mujer	1687,0	0	Sin clasificar
2011	50	Zaragoza	16-64	Mujer	2,0	1	No sabe leer ni escribir
2011	50	Zaragoza	16-64	Mujer	172,0	2	Inferior a graduado escolar o ESO
2011	50	Zaragoza	16-64	Mujer	1205,0	3	Graduado escolar o ESO
2011	50	Zaragoza	16-64	Mujer	3073,0	4	BUP, Bachiller, LOGSE ó superior
2011	50	Zaragoza	65 y más	Hombre	744,0	0	Sin clasificar
2011	50	Zaragoza	65 y más	Hombre	178,0	2	Inferior a graduado escolar o ESO
2011	50	Zaragoza	65 y más	Hombre	544,0	3	Graduado escolar o ESO
2011	50	Zaragoza	65 y más	Hombre	421,0	4	BUP, Bachiller, LOGSE ó superior
2011	50	Zaragoza	65 y más	Mujer	938,0	0	Sin clasificar
2011	50	Zaragoza	65 y más	Mujer	5,0	1	No sabe leer ni escribir
2011	50	Zaragoza	65 y más	Mujer	256,0	2	Inferior a graduado escolar o ESO
2011	50	Zaragoza	65 y más	Mujer	741,0	3	Graduado escolar o ESO
2011	50	Zaragoza	65 y más	Mujer	394,0	4	BUP, Bachiller, LOGSE ó superior
2012	22	Huesca	0-15	Hombre	289,0	0	Sin clasificar
2012	22	Huesca	0-15	Hombre	7,0	1	No sabe leer ni escribir
2012	22	Huesca	0-15	Hombre	62,0	2	Inferior a graduado escolar o ESO
2012	22	Huesca	0-15	Hombre	12,0	3	Graduado escolar o ESO
2012	22	Huesca	0-15	Hombre	3,0	4	BUP, Bachiller, LOGSE ó superior
2012	22	Huesca	0-15	Mujer	309,0	0	Sin clasificar
2012	22	Huesca	0-15	Mujer	4,0	1	No sabe leer ni escribir
2012	22	Huesca	0-15	Mujer	47,0	2	Inferior a graduado escolar o ESO
2012	22	Huesca	0-15	Mujer	9,0	3	Graduado escolar o ESO
2012	22	Huesca	0-15	Mujer	2,0	4	BUP, Bachiller, LOGSE ó superior
2012	22	Huesca	16-64	Hombre	476,0	0	Sin clasificar
2012	22	Huesca	16-64	Hombre	1,0	1	No sabe leer ni escribir
2012	22	Huesca	16-64	Hombre	62,0	2	Inferior a graduado escolar o ESO
2012	22	Huesca	16-64	Hombre	320,0	3	Graduado escolar o ESO
2012	22	Huesca	16-64	Hombre	846,0	4	BUP, Bachiller, LOGSE ó superior
2012	22	Huesca	16-64	Mujer	481,0	0	Sin clasificar
2012	22	Huesca	16-64	Mujer	52,0	2	Inferior a graduado escolar o ESO
2012	22	Huesca	16-64	Mujer	282,0	3	Graduado escolar o ESO
2012	22	Huesca	16-64	Mujer	978,0	4	BUP, Bachiller, LOGSE ó superior
2012	22	Huesca	65 y más	Hombre	447,0	0	Sin clasificar
2012	22	Huesca	65 y más	Hombre	2,0	1	No sabe leer ni escribir
2012	22	Huesca	65 y más	Hombre	130,0	2	Inferior a graduado escolar o ESO
2012	22	Huesca	65 y más	Hombre	248,0	3	Graduado escolar o ESO
2012	22	Huesca	65 y más	Hombre	197,0	4	BUP, Bachiller, LOGSE ó superior
2012	22	Huesca	65 y más	Mujer	407,0	0	Sin clasificar
2012	22	Huesca	65 y más	Mujer	1,0	1	No sabe leer ni escribir
2012	22	Huesca	65 y más	Mujer	162,0	2	Inferior a graduado escolar o ESO
2012	22	Huesca	65 y más	Mujer	329,0	3	Graduado escolar o ESO
2012	22	Huesca	65 y más	Mujer	206,0	4	BUP, Bachiller, LOGSE ó superior
2012	44	Teruel	0-15	Hombre	133,0	0	Sin clasificar
2012	44	Teruel	0-15	Hombre	3,0	1	No sabe leer ni escribir
2012	44	Teruel	0-15	Hombre	24,0	2	Inferior a graduado escolar o ESO
2012	44	Teruel	0-15	Hombre	8,0	3	Graduado escolar o ESO
2012	44	Teruel	0-15	Hombre	2,0	4	BUP, Bachiller, LOGSE ó superior
2012	44	Teruel	0-15	Mujer	148,0	0	Sin clasificar
2012	44	Teruel	0-15	Mujer	2,0	1	No sabe leer ni escribir
2012	44	Teruel	0-15	Mujer	30,0	2	Inferior a graduado escolar o ESO
2012	44	Teruel	0-15	Mujer	5,0	3	Graduado escolar o ESO
2012	44	Teruel	0-15	Mujer	1,0	4	BUP, Bachiller, LOGSE ó superior
2012	44	Teruel	16-64	Hombre	368,0	0	Sin clasificar
2012	44	Teruel	16-64	Hombre	57,0	2	Inferior a graduado escolar o ESO
2012	44	Teruel	16-64	Hombre	250,0	3	Graduado escolar o ESO
2012	44	Teruel	16-64	Hombre	507,0	4	BUP, Bachiller, LOGSE ó superior
