Año	Residencia CCAA código	Residencia CCAA nombre	Edad (grupos quinquenales)	Sexo	Personas	Porcentaje
2001	02	Aragón	55 a 59	Hombres	-33321	-0,1392151617306164686008832377065566994597
2002	02	Aragón	55 a 59	Hombres	-34551	-0,1443541026066003303210923065333945716824
2003	02	Aragón	55 a 59	Hombres	-35378	-0,1478093091955748454776881601267237752013
2004	02	Aragón	55 a 59	Hombres	-36432	-0,15221292194621467495175349227590029335I5
2005	02	Aragón	55 a 59	Hombres	-36866	-0,1540261742553016635587215702196788596465
2006	02	Aragón	55 a 59	Hombres	-36912	-0,1542183622880620356230545923058858044613
2007	02	Aragón	55 a 59	Hombres	-37182	-0,1553464224803511760006614610727526544614
2008	02	Aragón	55 a 59	Hombres	-38000	-0,158764027062916053144670419040519629647
2009	02	Aragón	55 a 59	Hombres	-38210	-0,1596414072124742734383646503036382907582
2010	02	Aragón	55 a 59	Hombres	-38494	-0,1608279594147339618355511344880463848324
2011	02	Aragón	55 a 59	Hombres	-39460	-0,1648639081027017751865445982983922259439
2012	02	Aragón	55 a 59	Hombres	-74994	-0,3133249854093770128824056159348612922565
2013	02	Aragón	55 a 59	Hombres	-41742	-0,1743981057279011023780219113576150100191
2014	02	Aragón	55 a 59	Hombres	-42614	-0,1780413223489238075975522430787553552046
2015	02	Aragón	55 a 59	Hombres	-44127	-0,1843626374264551757135492521316055183535
1998	02	Aragón	50 a 54	Mujeres	35026	0,146338652944886780985400686771401067053
1999	02	Aragón	50 a 54	Mujeres	36142	0,1510013017396818945461757443411173803869
