Año	Mes y año	Mes (código)	Mes nombre	AÑO-CNO	Comarca código	Comarca nombre	 CASE  WHEN Ocupación (1 dígito) código = '0' THEN '99' ELSE Ocupación (1 dígito) código END	Ocupación (1 dígito) descripción	Sexo	Número de contratos
2021	Octubre 2021	202110	Octubre	CNO - 2011	06	Hoya de Huesca / Plana de Uesca	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres	505
2021	Octubre 2021	202110	Octubre	CNO - 2011	06	Hoya de Huesca / Plana de Uesca	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Hombres	12
2021	Octubre 2021	202110	Octubre	CNO - 2011	06	Hoya de Huesca / Plana de Uesca	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Mujeres	1
2021	Octubre 2021	202110	Octubre	CNO - 2011	06	Hoya de Huesca / Plana de Uesca	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Hombres	163
2021	Octubre 2021	202110	Octubre	CNO - 2011	06	Hoya de Huesca / Plana de Uesca	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Mujeres	18
2021	Octubre 2021	202110	Octubre	CNO - 2011	06	Hoya de Huesca / Plana de Uesca	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	99
2021	Octubre 2021	202110	Octubre	CNO - 2011	06	Hoya de Huesca / Plana de Uesca	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres	11
2021	Octubre 2021	202110	Octubre	CNO - 2011	06	Hoya de Huesca / Plana de Uesca	9	Ocupaciones elementales	Hombres	187
2021	Octubre 2021	202110	Octubre	CNO - 2011	06	Hoya de Huesca / Plana de Uesca	9	Ocupaciones elementales	Mujeres	328
2021	Octubre 2021	202110	Octubre	CNO - 2011	07	Somontano de Barbastro	1	Directores y gerentes	Mujeres	1
2021	Octubre 2021	202110	Octubre	CNO - 2011	07	Somontano de Barbastro	2	Técnicos y profesionales científicos e intelectuales	Hombres	16
2021	Octubre 2021	202110	Octubre	CNO - 2011	07	Somontano de Barbastro	2	Técnicos y profesionales científicos e intelectuales	Mujeres	14
2021	Octubre 2021	202110	Octubre	CNO - 2011	07	Somontano de Barbastro	3	Técnicos; profesionales de apoyo	Hombres	19
2021	Octubre 2021	202110	Octubre	CNO - 2011	07	Somontano de Barbastro	3	Técnicos; profesionales de apoyo	Mujeres	30
2021	Octubre 2021	202110	Octubre	CNO - 2011	07	Somontano de Barbastro	4	Empleados contables, administrativos y otros empleados de oficina	Hombres	35
2021	Octubre 2021	202110	Octubre	CNO - 2011	07	Somontano de Barbastro	4	Empleados contables, administrativos y otros empleados de oficina	Mujeres	34
2021	Octubre 2021	202110	Octubre	CNO - 2011	07	Somontano de Barbastro	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Hombres	79
2021	Octubre 2021	202110	Octubre	CNO - 2011	07	Somontano de Barbastro	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres	126
2021	Octubre 2021	202110	Octubre	CNO - 2011	07	Somontano de Barbastro	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Hombres	8
2021	Octubre 2021	202110	Octubre	CNO - 2011	07	Somontano de Barbastro	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Hombres	37
2021	Octubre 2021	202110	Octubre	CNO - 2011	07	Somontano de Barbastro	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Mujeres	7
2021	Octubre 2021	202110	Octubre	CNO - 2011	07	Somontano de Barbastro	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	36
2021	Octubre 2021	202110	Octubre	CNO - 2011	07	Somontano de Barbastro	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres	4
2021	Octubre 2021	202110	Octubre	CNO - 2011	07	Somontano de Barbastro	9	Ocupaciones elementales	Hombres	112
