Año	Residencia continente código	Residencia continente nombre	Residencia área código	Residencia área nombre	Residencia país código	Residencia país nombre	Inscripción comarca código	Inscripción comarca nombre	Sexo	Personas
2009	1	Europa	01	UE-27_2007	121	Países Bajos	03	Sobrarbe	Hombre	2,0
2009	1	Europa	01	UE-27_2007	121	Países Bajos	05	Cinco Villas	Hombre	3,0
2009	1	Europa	01	UE-27_2007	121	Países Bajos	06	Hoya de Huesca / Plana de Uesca	Hombre	8,0
2009	1	Europa	01	UE-27_2007	121	Países Bajos	09	La Litera / La Llitera	Hombre	1,0
2009	1	Europa	01	UE-27_2007	121	Países Bajos	11	Bajo Cinca / Baix Cinca	Hombre	2,0
2009	1	Europa	01	UE-27_2007	121	Países Bajos	12	Tarazona y el Moncayo	Hombre	1,0
2009	1	Europa	01	UE-27_2007	121	Países Bajos	13	Campo de Borja	Hombre	1,0
2009	1	Europa	01	UE-27_2007	121	Países Bajos	15	Ribera Alta del Ebro	Hombre	1,0
2009	1	Europa	01	UE-27_2007	121	Países Bajos	17	D.C. Zaragoza	Hombre	76,0
2009	1	Europa	01	UE-27_2007	121	Países Bajos	20	Comunidad de Calatayud	Hombre	2,0
2009	1	Europa	01	UE-27_2007	121	Países Bajos	23	Bajo Martín	Hombre	1,0
2009	1	Europa	01	UE-27_2007	121	Países Bajos	26	Cuencas Mineras	Hombre	5,0
2009	1	Europa	01	UE-27_2007	121	Países Bajos	28	Bajo Aragón	Hombre	1,0
2009	1	Europa	01	UE-27_2007	121	Países Bajos	29	Comunidad de Teruel	Hombre	3,0
2009	1	Europa	01	UE-27_2007	121	Países Bajos	32	Gúdar-Javalambre	Hombre	1,0
2009	1	Europa	01	UE-27_2007	122	Polonia	02	Alto Gállego	Hombre	3,0
2009	1	Europa	01	UE-27_2007	122	Polonia	06	Hoya de Huesca / Plana de Uesca	Hombre	3,0
2009	1	Europa	01	UE-27_2007	122	Polonia	17	D.C. Zaragoza	Hombre	6,0
2009	1	Europa	01	UE-27_2007	122	Polonia	30	Maestrazgo	Hombre	1,0
2009	1	Europa	01	UE-27_2007	123	Portugal	03	Sobrarbe	Hombre	1,0
2009	1	Europa	01	UE-27_2007	123	Portugal	05	Cinco Villas	Hombre	1,0
2009	1	Europa	01	UE-27_2007	123	Portugal	06	Hoya de Huesca / Plana de Uesca	Hombre	1,0
2009	1	Europa	01	UE-27_2007	123	Portugal	11	Bajo Cinca / Baix Cinca	Hombre	3,0
2009	1	Europa	01	UE-27_2007	123	Portugal	17	D.C. Zaragoza	Hombre	53,0
2009	1	Europa	01	UE-27_2007	123	Portugal	23	Bajo Martín	Hombre	1,0
2009	1	Europa	01	UE-27_2007	123	Portugal	24	Campo de Daroca	Hombre	2,0
2009	1	Europa	01	UE-27_2007	123	Portugal	28	Bajo Aragón	Hombre	1,0
2009	1	Europa	01	UE-27_2007	126	Alemania	01	La Jacetania	Hombre	17,0
2009	1	Europa	01	UE-27_2007	126	Alemania	02	Alto Gállego	Hombre	4,0
2009	1	Europa	01	UE-27_2007	126	Alemania	03	Sobrarbe	Hombre	2,0
2009	1	Europa	01	UE-27_2007	126	Alemania	04	La Ribagorza	Hombre	7,0
2009	1	Europa	01	UE-27_2007	126	Alemania	05	Cinco Villas	Hombre	22,0
2009	1	Europa	01	UE-27_2007	126	Alemania	06	Hoya de Huesca / Plana de Uesca	Hombre	23,0
2009	1	Europa	01	UE-27_2007	126	Alemania	07	Somontano de Barbastro	Hombre	9,0
2009	1	Europa	01	UE-27_2007	126	Alemania	08	Cinca Medio	Hombre	13,0
2009	1	Europa	01	UE-27_2007	126	Alemania	09	La Litera / La Llitera	Hombre	2,0
2009	1	Europa	01	UE-27_2007	126	Alemania	10	Los Monegros	Hombre	11,0
2009	1	Europa	01	UE-27_2007	126	Alemania	11	Bajo Cinca / Baix Cinca	Hombre	7,0
2009	1	Europa	01	UE-27_2007	126	Alemania	12	Tarazona y el Moncayo	Hombre	12,0
2009	1	Europa	01	UE-27_2007	126	Alemania	13	Campo de Borja	Hombre	10,0
2009	1	Europa	01	UE-27_2007	126	Alemania	14	Aranda	Hombre	4,0
2009	1	Europa	01	UE-27_2007	126	Alemania	15	Ribera Alta del Ebro	Hombre	15,0
2009	1	Europa	01	UE-27_2007	126	Alemania	16	Valdejalón	Hombre	6,0
2009	1	Europa	01	UE-27_2007	126	Alemania	17	D.C. Zaragoza	Hombre	564,0
2009	1	Europa	01	UE-27_2007	126	Alemania	18	Ribera Baja del Ebro	Hombre	8,0
2009	1	Europa	01	UE-27_2007	126	Alemania	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Hombre	3,0
2009	1	Europa	01	UE-27_2007	126	Alemania	20	Comunidad de Calatayud	Hombre	31,0
2009	1	Europa	01	UE-27_2007	126	Alemania	21	Campo de Cariñena	Hombre	6,0
2009	1	Europa	01	UE-27_2007	126	Alemania	22	Campo de Belchite	Hombre	2,0
2009	1	Europa	01	UE-27_2007	126	Alemania	23	Bajo Martín	Hombre	2,0
2009	1	Europa	01	UE-27_2007	126	Alemania	24	Campo de Daroca	Hombre	13,0
2009	1	Europa	01	UE-27_2007	126	Alemania	25	Jiloca	Hombre	8,0
2009	1	Europa	01	UE-27_2007	126	Alemania	26	Cuencas Mineras	Hombre	1,0
2009	1	Europa	01	UE-27_2007	126	Alemania	27	Andorra-Sierra de Arcos	Hombre	5,0
2009	1	Europa	01	UE-27_2007	126	Alemania	28	Bajo Aragón	Hombre	9,0
2009	1	Europa	01	UE-27_2007	126	Alemania	29	Comunidad de Teruel	Hombre	18,0
2009	1	Europa	01	UE-27_2007	126	Alemania	30	Maestrazgo	Hombre	2,0
2009	1	Europa	01	UE-27_2007	126	Alemania	31	Sierra de Albarracín	Hombre	1,0
