Año	Sexo	Edad	Residencia CCAA código	Residencia CCAA nombre	Personas	Porcentaje
2002	Mujeres	89	02	Aragón	2061	0,0086108594678071048823990982537502883343
2003	Hombres	89	02	Aragón	-932	-0,0038938966637536253034429692248885340746
2003	Mujeres	89	02	Aragón	2031	0,0084855194464416448404427795018761938898
2004	Hombres	89	02	Aragón	-972	-0,0040610166922409053593847275607206600004
2004	Mujeres	89	02	Aragón	2149	0,0089785235304791210054709665925809653714
2005	Hombres	89	02	Aragón	-1005	-0,0041988907157429114055366781877821638893
2005	Mujeres	89	02	Aragón	2092	0,0087403774898847469257539609640201859269
2006	Hombres	89	02	Aragón	-924	-0,0038604726580561692922546175577221088893
2006	Mujeres	89	02	Aragón	2056	0,0085899694642461948754063784617712725935
2007	Hombres	89	02	Aragón	-964	-0,0040275926865434493481963758935542348153
2007	Mujeres	89	02	Aragón	2081	0,0086944194820507449103699774216663512972
2008	Hombres	89	02	Aragón	-1006	-0,0042030687164550934069352221461779670375
2008	Mujeres	89	02	Aragón	2287	0,0095550876287602371984700328512017998159
2009	Hombres	89	02	Aragón	-1033	-0,0043158747356840074446959090228646520375
2009	Mujeres	89	02	Aragón	2293	0,0095801556330333292068612966015766187048
2010	Hombres	89	02	Aragón	-1333	-0,0055692749493386078642590965416055964821
2010	Mujeres	89	02	Aragón	2738	0,0114393659499543198292133580877090196309
2011	Hombres	89	02	Aragón	-1503	-0,0062795350704095481020115694688921316674
2011	Mujeres	89	02	Aragón	2815	0,0117610720047923339369012428841858620383
2012	Hombres	89	02	Aragón	-3074	-0,0128431741892474722991241281086988774088
2012	Mujeres	89	02	Aragón	6004	0,0250847162759407363968579262084021014842
2013	Hombres	89	02	Aragón	-1645	-0,0068728111715393923006048115610961787045
2013	Mujeres	89	02	Aragón	3087	0,0128974881985058383173051995678443183347
2014	Hombres	89	02	Aragón	-1678	-0,0070106851950413983467567621881576825934
2014	Mujeres	89	02	Aragón	3188	0,0133194662704362204585581393658204362978
