Año	Comarca código	Comarca nombre	Superficie total agricultura ecológica	Superficie calificada agricultura ecológica	Superficie calificada en reconversión	Superficie calificada primer año prácticas	Superficie certificaciones privadas	Superficie sin clasificar
2016	30	Maestrazgo	643,23	4,31	597,56	41,36	0	0
2016	31	Sierra de Albarracín	2014,65	1561,45	453,15	0,05	0	0
2016	32	Gúdar-Javalambre	6053816,7	3919056,7	192496,42	10,57	0	0
2016	33	Matarraña / Matarranya	17151636,77	9858158,54	399,78	828733,51	40,76	0
2017	01	La Jacetania	28,75	14,44	1,91	12,4	0	0
2017	02	Alto Gállego	203851,42	198786,79	49,65	0	0	0
2017	03	Sobrarbe	683,85	490,47	27,21	166,17	0	0
2017	04	La Ribagorza	12379,1909	63791,16	21266,1809	18293,76	0	0
2017	05	Cinco Villas	1541381,43	217179,2	119,5	81,5	533,59	0
2017	06	Hoya de Huesca / Plana de Uesca	2595506,1	573781,74	82064,59	123,65	230,07	0
2017	07	Somontano de Barbastro	1147441,22	821537,42	21007,21	49,49	0	0
2017	08	Cinca Medio	1168855,81	540,8662	48268,97	165840,04	39,36	0
2017	09	La Litera / La Llitera	855627,93	471095,97	15,5	54,91	0	0
2017	10	Los Monegros	2217748,33	1390070,3	134999,91	199,17	1948,01	0
2017	11	Bajo Cinca / Baix Cinca	142,43	133,55	1,11	7,77	0	0
2017	12	Tarazona y el Moncayo	278950,58	169858	18346	1,04	54,61	0
2017	13	Campo de Borja	281624,19	261,24	64,4	2605,81	189741,78	0
2017	14	Aranda	38,36	38,36	0	0	0	0
2017	15	Ribera Alta del Ebro	15466,42	15078,11	0	84,55	303,76	0
2017	16	Valdejalón	53189370,31	18087,47	6046420,91	352650,95	2924,11	0
2017	17	Central	24055967,37	12500594,99	2645420,12	289118,515	2130,58	0
2017	18	Ribera Baja del Ebro	1949,3	1210,89	241,6	37,09	459,72	0
2017	19	Bajo Aragón-Caspe / Baix Aragó-Casp	21270628,82	16744083,82	223959,01	963015,23	152,17	0
2017	20	Comunidad de Calatayud	1370821,1	554457,36	304048,92	31,76	734,22	0
2017	21	Campo de Cariñena	139426,92	971,71	6,69	138199,33	249,19	0
2017	22	Campo de Belchite	665360,07	6170,81	309,37	208980,22	769,25	0
2017	23	Bajo Martín	2499,88	2260,56	161,94	55,58	21,8	0
2017	24	Campo de Daroca	146499,8496	342,41	24,93	20,5096	146112	0
2017	25	Jiloca	694360,5	1617,31	10093,77	156,55	61,12	0
2017	26	Cuencas Mineras	295,21	245,08	9,48	40,65	0	0
2017	27	Andorra-Sierra de Arcos	240,06	206,79	32,09	1,18	0	0
2017	28	Bajo Aragón	8703792,81	5816936,43	1219825,82	37275,17	330,32	0
2017	29	Comunidad de Teruel	17761,76	1610,1374	11,05	197,95	670,15	0
2017	30	Maestrazgo	1226,26	774,25	146,2	305,81	0	0
2017	31	Sierra de Albarracín	2127,81	1442,09	2,22	0	683,5	0
2017	32	Gúdar-Javalambre	6042799,32	6042789,1	0	10,22	0	0
2017	33	Matarraña / Matarranya	13387925,72	2313915,37	13729,54	1780709,18	40,45	0
2018	01	La Jacetania	54,8	14,76	21,86	18,18	0	0
2018	02	Alto Gállego	256113,28	252438,82	14,66	0	3,46	0
