Año	Comarca código	Comarca nombre	Incendios	Superficie forestal afectada
2017	10	Los Monegros	10	10,36
2017	11	Bajo Cinca / Baix Cinca	12	4,4
2017	12	Tarazona y el Moncayo	8	14,13
2017	13	Campo de Borja	26	18,9
2017	14	Aranda	7	1,08
2017	15	Ribera Alta del Ebro	10	32,41
2017	16	Valdejalón	6	7,87
2017	17	Central	30	17,4
2017	18	Ribera Baja del Ebro	14	13,74
2017	19	Bajo Aragón-Caspe / Baix Aragó-Casp	18	51,55
2017	20	Comunidad de Calatayud	54	45,61
2017	21	Campo de Cariñena	5	1,59
2017	22	Campo de Belchite	7	15,52
2017	23	Bajo Martín	5	3,95
2017	24	Campo de Daroca	3	17,31
2017	25	Jiloca	8	3,5
2017	26	Cuencas Mineras	8	1,67
2017	27	Andorra-Sierra de Arcos	8	0,55
2017	28	Bajo Aragón	20	47,43
2017	29	Comunidad de Teruel	14	46,72
2017	30	Maestrazgo	6	0,2
2017	31	Sierra de Albarracín	11	46,02
2017	32	Gúdar-Javalambre	16	0,39
2017	33	Matarraña / Matarranya	25	26,67
2018	01	La Jacetania	7	2,51
2018	02	Alto Gállego	2	0,06
2018	03	Sobrarbe	6	0,35
2018	04	La Ribagorza	5	6,31
2018	05	Cinco Villas	24	25,38
2018	06	Hoya de Huesca / Plana de Uesca	17	15,6
2018	07	Somontano de Barbastro	6	1,03
2018	08	Cinca Medio	8	4,19
2018	09	La Litera / La Llitera	2	0,8
2018	10	Los Monegros	18	39,84
2018	11	Bajo Cinca / Baix Cinca	5	2,88
2018	12	Tarazona y el Moncayo	2	1,82
2018	13	Campo de Borja	9	22,23
2018	14	Aranda	5	1,32
2018	15	Ribera Alta del Ebro	6	5,04
2018	16	Valdejalón	4	3,14
2018	17	Central	12	10,92
2018	18	Ribera Baja del Ebro	4	2,03
2018	19	Bajo Aragón-Caspe / Baix Aragó-Casp	7	4,01
2018	20	Comunidad de Calatayud	11	7,88
2018	21	Campo de Cariñena	3	1,42
2018	22	Campo de Belchite	7	17,11
2018	23	Bajo Martín	7	3,67
2018	24	Campo de Daroca	1	0,01
2018	25	Jiloca	5	1,58
2018	26	Cuencas Mineras	5	3,28
2018	27	Andorra-Sierra de Arcos	3	0,04
2018	28	Bajo Aragón	7	4,08
2018	29	Comunidad de Teruel	9	11,61
2018	30	Maestrazgo	2	0,03
2018	31	Sierra de Albarracín	3	0,03
2018	32	Gúdar-Javalambre	10	11,5
2018	33	Matarraña / Matarranya	6	0,92
2019	01	La Jacetania	7	9,39
2019	02	Alto Gállego	5	0,52
2019	03	Sobrarbe	6	15,48
2019	04	La Ribagorza	16	59,36
2019	05	Cinco Villas	22	35,86
2019	06	Hoya de Huesca / Plana de Uesca	30	53,91
2019	07	Somontano de Barbastro	14	4,45
2019	08	Cinca Medio	8	3,1
2019	09	La Litera / La Llitera	9	87,69
2019	10	Los Monegros	16	623,29
2019	11	Bajo Cinca / Baix Cinca	11	6,32
2019	12	Tarazona y el Moncayo	9	3,3
2019	13	Campo de Borja	22	15,22
2019	14	Aranda	9	18,95
2019	15	Ribera Alta del Ebro	10	7,5
2019	16	Valdejalón	9	2,15
2019	17	Central	25	33,99
2019	18	Ribera Baja del Ebro	7	9,99
2019	19	Bajo Aragón-Caspe / Baix Aragó-Casp	14	13,07
2019	20	Comunidad de Calatayud	31	86,35
2019	21	Campo de Cariñena	8	211,75
2019	22	Campo de Belchite	11	16,15
2019	23	Bajo Martín	3	3,63
2019	24	Campo de Daroca	8	5,36
2019	25	Jiloca	12	10,62
2019	26	Cuencas Mineras	1	0,02
2019	27	Andorra-Sierra de Arcos	5	0,58
2019	28	Bajo Aragón	16	2,37
2019	29	Comunidad de Teruel	11	15,12
2019	30	Maestrazgo	5	0,09
2019	31	Sierra de Albarracín	3	0,3
2019	32	Gúdar-Javalambre	5	0,13
2019	33	Matarraña / Matarranya	9	4,53
