Mes y año	'Aragón'	UE25-UE27-UE28	UE25	UE27	UE28	Sexo	Nº parados
Enero 2021	Aragón	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Hombres	4351
Enero 2021	Aragón	No consta	No consta		No consta	Hombres	9
Enero 2021	Aragón	No consta	No consta	No consta	No consta	Hombres	5
Enero 2021	Aragón	Españoles	ESPAÑA	Españoles	Españoles	Mujeres	38113
Enero 2021	Aragón	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	4278
Enero 2021	Aragón	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	589
Enero 2021	Aragón	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros no comunitarios	Extranjeros comunitarios (UE-28)	Mujeres	15
Enero 2021	Aragón	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Mujeres	6869
Enero 2021	Aragón	No consta	No consta		No consta	Mujeres	6
Enero 2021	Aragón	No consta	No consta	No consta	No consta	Mujeres	2
Diciembre 2020	Aragón	Españoles	ESPAÑA	Españoles	Españoles	Hombres	27056
Diciembre 2020	Aragón	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	2809
Diciembre 2020	Aragón	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	458
Diciembre 2020	Aragón	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros no comunitarios	Extranjeros comunitarios (UE-28)	Hombres	22
Diciembre 2020	Aragón	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Hombres	4209
Diciembre 2020	Aragón	No consta	No consta		No consta	Hombres	6
Diciembre 2020	Aragón	No consta	No consta	No consta	No consta	Hombres	4
Diciembre 2020	Aragón	Españoles	ESPAÑA	Españoles	Españoles	Mujeres	36531
Diciembre 2020	Aragón	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	4124
Diciembre 2020	Aragón	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	561
Diciembre 2020	Aragón	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros no comunitarios	Extranjeros comunitarios (UE-28)	Mujeres	13
Diciembre 2020	Aragón	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Mujeres	6564
Diciembre 2020	Aragón	No consta	No consta		No consta	Mujeres	6
Diciembre 2020	Aragón	No consta	No consta	No consta	No consta	Mujeres	2
Noviembre 2020	Aragón	Españoles	ESPAÑA	Españoles	Españoles	Hombres	25847
Noviembre 2020	Aragón	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	2664
Noviembre 2020	Aragón	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	438
Noviembre 2020	Aragón	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros no comunitarios	Extranjeros comunitarios (UE-28)	Hombres	23
Noviembre 2020	Aragón	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Hombres	4143
Noviembre 2020	Aragón	No consta	No consta		No consta	Hombres	4
Noviembre 2020	Aragón	No consta	No consta	No consta	No consta	Hombres	4
Noviembre 2020	Aragón	Españoles	ESPAÑA	Españoles	Españoles	Mujeres	36040
Noviembre 2020	Aragón	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	3994
Noviembre 2020	Aragón	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	544
Noviembre 2020	Aragón	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros no comunitarios	Extranjeros comunitarios (UE-28)	Mujeres	13
Noviembre 2020	Aragón	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Mujeres	6433
Noviembre 2020	Aragón	No consta	No consta		No consta	Mujeres	7
Noviembre 2020	Aragón	No consta	No consta	No consta	No consta	Mujeres	2
Octubre 2020	Aragón	Españoles	ESPAÑA	Españoles	Españoles	Hombres	25143
Octubre 2020	Aragón	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	2626
Octubre 2020	Aragón	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	420
Octubre 2020	Aragón	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros no comunitarios	Extranjeros comunitarios (UE-28)	Hombres	24
Octubre 2020	Aragón	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Hombres	4164
Octubre 2020	Aragón	No consta	No consta		No consta	Hombres	4
Octubre 2020	Aragón	No consta	No consta	No consta	No consta	Hombres	4
