Año	Provincia nombre	Municipio código	Municipio nombre	Tasa bruta de saldo vegetativo	Tasa bruta de natalidad	Tasa bruta de mortalidad	Tasa global de fecundidad	Tasa bruta de nupcialidad
2015	Huesca	22227	Tella-Sin	-12,1951219512195	0,0	12,1951219512195	0,0	0,0
2015	Huesca	22228	Tierz	-2,69360269360269	0,0	2,69360269360269	0,0	4,04040404040404
2015	Huesca	22229	Tolva	-29,520295202952	0,0	29,520295202952	0,0	0,0
2015	Huesca	22230	Torla-Ordesa	-6,54664484451719	0,0	6,54664484451719	0,0	0,0
2015	Huesca	22232	Torralba de Aragón	0,0	0,0	0,0	0,0	0,0
2015	Huesca	22233	Torre la Ribera	0,0	0,0	0,0	0,0	9,66183574879227
2015	Huesca	22234	Torrente de Cinca	-8,53242320819113	0,0	8,53242320819113	0,0	0,0
2015	Huesca	22235	Torres de Alcanadre	-39,0243902439024	0,0	39,0243902439024	0,0	0,0
2015	Huesca	22236	Torres de Barbués	-31,9148936170213	0,0	31,9148936170213	0,0	0,0
2015	Huesca	22239	Tramaced	0,0	0,0	0,0	0,0	0,0
2015	Huesca	22242	Valfarta	-28,169014084507	0,0	28,169014084507	0,0	0,0
2015	Huesca	22243	Valle de Bardají	0,0	0,0	0,0	0,0	0,0
2015	Huesca	22244	Valle de Lierp	0,0	0,0	0,0	0,0	0,0
2015	Huesca	22245	Velilla de Cinca	-11,3122171945701	0,0	11,3122171945701	0,0	4,52488687782805
2015	Huesca	22246	Beranuy	-22,2222222222222	0,0	22,2222222222222	0,0	0,0
2015	Huesca	22247	Viacamp y Litera	0,0	0,0	0,0	0,0	0,0
2015	Huesca	22248	Vicién	0,0	0,0	0,0	0,0	0,0
2015	Huesca	22249	Villanova	0,0	0,0	0,0	0,0	0,0
2015	Huesca	22250	Villanúa	-2,28310502283105	0,0	2,28310502283105	0,0	2,28310502283105
2015	Huesca	22251	Villanueva de Sigena	-13,8888888888889	0,0	13,8888888888889	0,0	0,0
2015	Huesca	22252	Yebra de Basa	-14,1843971631206	0,0	14,1843971631206	0,0	0,0
2015	Huesca	22253	Yésero	0,0	0,0	0,0	0,0	17,3913043478261
2015	Huesca	22254	Zaidín	-9,353507565337	0,0	9,353507565337	0,0	1,10041265474553
2015	Huesca	22901	Valle de Hecho	-13,6441159749858	0,0	13,6441159749858	0,0	0,0
2015	Huesca	22902	Puente la Reina de Jaca	-15,0093808630394	0,0	15,0093808630394	0,0	0,0
