Año	Comarca código	Comarca nombre	Estado de la información	Licencias, total	Edificios nueva planta, total	Superficie nueva planta, total	Viviendas nueva planta
2012	05	Cinco Villas	ESTIMACIÓN	60,0	25,0	10707,0	16,0
2012	06	Hoya de Huesca / Plana de Uesca	ESTIMACIÓN	91,0	45,0	20640,0	24,0
2012	07	Somontano de Barbastro	ESTIMACIÓN	42,0	26,0	12440,0	17,0
2012	08	Cinca Medio	ESTIMACIÓN	33,0	20,0	8350,0	5,0
2012	09	La Litera / La Llitera	ESTIMACIÓN	38,0	23,0	8106,0	8,0
2012	10	Los Monegros	ESTIMACIÓN	90,0	71,0	49748,0	18,0
2012	11	Bajo Cinca / Baix Cinca	ESTIMACIÓN	53,0	21,0	5797,0	28,0
2012	12	Tarazona y el Moncayo	ESTIMACIÓN	27,0	6,0	1036,0	7,0
2012	13	Campo de Borja	ESTIMACIÓN	22,0	14,0	5203,0	7,0
2012	14	Aranda	ESTIMACIÓN	11,0	3,0	211,0	0,0
2012	15	Ribera Alta del Ebro	ESTIMACIÓN	39,0	12,0	3605,0	7,0
2012	16	Valdejalón	ESTIMACIÓN	64,0	36,0	12156,0	16,0
2012	17	D.C. Zaragoza	ESTIMACIÓN	1609,0	226,0	290490,0	959,0
2012	18	Ribera Baja del Ebro	ESTIMACIÓN	23,0	15,0	4918,0	8,0
2012	19	Bajo Aragón-Caspe / Baix Aragó-Casp	ESTIMACIÓN	57,0	31,0	12282,0	15,0
2012	20	Comunidad de Calatayud	ESTIMACIÓN	36,0	30,0	6318,0	9,0
2012	21	Campo de Cariñena	ESTIMACIÓN	27,0	16,0	3620,0	10,0
2012	22	Campo de Belchite	ESTIMACIÓN	14,0	11,0	14413,0	2,0
2012	23	Bajo Martín	ESTIMACIÓN	19,0	13,0	2492,0	3,0
2012	24	Campo de Daroca	ESTIMACIÓN	8,0	10,0	1621,0	2,0
2012	25	Jiloca	ESTIMACIÓN	56,0	23,0	6255,0	14,0
2012	26	Cuencas Mineras	ESTIMACIÓN	16,0	9,0	5252,0	4,0
2012	27	Andorra-Sierra de Arcos	ESTIMACIÓN	16,0	3,0	1721,0	1,0
2012	28	Bajo Aragón	ESTIMACIÓN	68,0	34,0	10182,0	20,0
2012	29	Comunidad de Teruel	ESTIMACIÓN	48,0	21,0	66760,0	22,0
2012	30	Maestrazgo	ESTIMACIÓN	12,0	6,0	1152,0	4,0
2012	31	Sierra de Albarracín	ESTIMACIÓN	28,0	11,0	2233,0	8,0
2012	32	Gúdar-Javalambre	ESTIMACIÓN	50,0	27,0	6937,0	22,0
2012	33	Matarraña / Matarranya	ESTIMACIÓN	49,0	35,0	12503,0	7,0
2011	01	La Jacetania	ESTIMACIÓN	50,0	20,0	11232,0	47,0
2011	02	Alto Gállego	ESTIMACIÓN	34,0	16,0	4104,0	20,0
2011	03	Sobrarbe	ESTIMACIÓN	54,0	19,0	4728,0	9,0
2011	04	La Ribagorza	ESTIMACIÓN	90,0	34,0	16577,0	18,0
2011	05	Cinco Villas	ESTIMACIÓN	60,0	29,0	20500,0	25,0
2011	06	Hoya de Huesca / Plana de Uesca	ESTIMACIÓN	100,0	49,0	26728,0	19,0
2011	07	Somontano de Barbastro	ESTIMACIÓN	43,0	22,0	10949,0	10,0
2011	08	Cinca Medio	ESTIMACIÓN	45,0	23,0	16517,0	6,0
2011	09	La Litera / La Llitera	ESTIMACIÓN	67,0	30,0	10428,0	10,0
2011	10	Los Monegros	ESTIMACIÓN	68,0	40,0	18484,0	23,0
2011	11	Bajo Cinca / Baix Cinca	ESTIMACIÓN	64,0	28,0	13924,0	11,0
2011	12	Tarazona y el Moncayo	ESTIMACIÓN	20,0	8,0	1604,0	6,0
2011	13	Campo de Borja	ESTIMACIÓN	29,0	18,0	4383,0	6,0
2011	14	Aranda	ESTIMACIÓN	5,0	2,0	509,0	1,0
2011	15	Ribera Alta del Ebro	ESTIMACIÓN	58,0	26,0	4106,0	16,0
2011	16	Valdejalón	ESTIMACIÓN	72,0	41,0	31947,0	52,0
2011	17	D.C. Zaragoza	ESTIMACIÓN	1742,0	389,0	591640,0	2006,0
2011	18	Ribera Baja del Ebro	ESTIMACIÓN	33,0	17,0	5115,0	9,0
2011	19	Bajo Aragón-Caspe / Baix Aragó-Casp	ESTIMACIÓN	72,0	29,0	12892,0	25,0
2011	20	Comunidad de Calatayud	ESTIMACIÓN	35,0	40,0	10400,0	30,0
2011	21	Campo de Cariñena	ESTIMACIÓN	11,0	5,0	1834,0	3,0
2011	22	Campo de Belchite	ESTIMACIÓN	14,0	5,0	1234,0	1,0
2011	23	Bajo Martín	ESTIMACIÓN	28,0	15,0	17764,0	19,0
2011	24	Campo de Daroca	ESTIMACIÓN	12,0	6,0	832,0	2,0
2011	25	Jiloca	ESTIMACIÓN	50,0	23,0	10064,0	15,0
2011	26	Cuencas Mineras	ESTIMACIÓN	13,0	3,0	650,0	2,0
2011	27	Andorra-Sierra de Arcos	ESTIMACIÓN	27,0	14,0	6188,0	5,0
2011	28	Bajo Aragón	ESTIMACIÓN	100,0	54,0	17029,0	42,0
2011	29	Comunidad de Teruel	ESTIMACIÓN	53,0	27,0	21806,0	96,0
2011	30	Maestrazgo	ESTIMACIÓN	24,0	5,0	1322,0	7,0
2011	31	Sierra de Albarracín	ESTIMACIÓN	19,0	8,0	1887,0	10,0
2011	32	Gúdar-Javalambre	ESTIMACIÓN	83,0	46,0	11518,0	44,0
2011	33	Matarraña / Matarranya	ESTIMACIÓN	49,0	26,0	11174,0	28,0
2010	01	La Jacetania	ESTIMACIÓN	71,0	20,0	15963,0	27,0
2010	02	Alto Gállego	ESTIMACIÓN	35,0	20,0	10895,0	72,0
2010	03	Sobrarbe	ESTIMACIÓN	47,0	16,0	7351,0	13,0
2010	04	La Ribagorza	ESTIMACIÓN	106,0	38,0	21069,0	34,0
2010	05	Cinco Villas	ESTIMACIÓN	70,0	28,0	11368,0	24,0
2010	06	Hoya de Huesca / Plana de Uesca	ESTIMACIÓN	85,0	47,0	53895,0	144,0
2010	07	Somontano de Barbastro	ESTIMACIÓN	62,0	44,0	16598,0	52,0
2010	08	Cinca Medio	ESTIMACIÓN	36,0	17,0	10963,0	37,0
2010	09	La Litera / La Llitera	ESTIMACIÓN	64,0	30,0	9592,0	16,0
2010	10	Los Monegros	ESTIMACIÓN	73,0	60,0	39390,0	20,0
2010	11	Bajo Cinca / Baix Cinca	ESTIMACIÓN	49,0	44,0	15795,0	38,0
2010	12	Tarazona y el Moncayo	ESTIMACIÓN	29,0	10,0	4069,0	33,0
2010	13	Campo de Borja	ESTIMACIÓN	61,0	40,0	13539,0	21,0
2010	14	Aranda	ESTIMACIÓN				
2010	15	Ribera Alta del Ebro	ESTIMACIÓN	68,0	48,0	18114,0	49,0
2010	16	Valdejalón	ESTIMACIÓN	73,0	35,0	19534,0	35,0
2010	17	D.C. Zaragoza	ESTIMACIÓN	1588,0	298,0	652841,0	2078,0
2010	18	Ribera Baja del Ebro	ESTIMACIÓN	39,0	17,0	6198,0	11,0
2010	19	Bajo Aragón-Caspe / Baix Aragó-Casp	ESTIMACIÓN	58,0	28,0	10149,0	10,0
2010	20	Comunidad de Calatayud	ESTIMACIÓN	40,0	21,0	8383,0	13,0
2010	21	Campo de Cariñena	ESTIMACIÓN	26,0	23,0	4299,0	22,0
2010	22	Campo de Belchite	ESTIMACIÓN	20,0	6,0	4768,0	11,0
2010	23	Bajo Martín	ESTIMACIÓN	36,0	15,0	5743,0	24,0
2010	24	Campo de Daroca	ESTIMACIÓN	15,0	11,0	2527,0	8,0
2010	25	Jiloca	ESTIMACIÓN	53,0	21,0	7476,0	11,0
2010	26	Cuencas Mineras	ESTIMACIÓN	15,0	6,0	1617,0	5,0
2010	27	Andorra-Sierra de Arcos	ESTIMACIÓN	36,0	17,0	4232,0	10,0
2010	28	Bajo Aragón	ESTIMACIÓN	129,0	60,0	30225,0	151,0
2010	29	Comunidad de Teruel	ESTIMACIÓN	49,0	26,0	15379,0	32,0
2010	30	Maestrazgo	ESTIMACIÓN				
2010	31	Sierra de Albarracín	ESTIMACIÓN	18,0	6,0	1237,0	4,0
2010	32	Gúdar-Javalambre	ESTIMACIÓN	86,0	55,0	18959,0	51,0
2010	33	Matarraña / Matarranya	ESTIMACIÓN	56,0	24,0	4072,0	14,0
2009	01	La Jacetania	ESTIMACIÓN	72,0	38,0	22530,0	58,0
2009	02	Alto Gállego	ESTIMACIÓN	28,0	14,0	8228,0	26,0
