Año	Comarca código	Comarca nombre	Urbana   Número de recibos	Urbana   Base imponible (miles de euros)	Urbana   Base liquidable (miles de euros)	Urbana   Cuota íntegra (euros)	Urbana   Cuota líquida (euros)
2008	10	Los Monegros	16235,0	375896,0	306092,0	1946885,0	1946870,0
2008	11	Bajo Cinca / Baix Cinca	16381,0	330146,0	326572,0	2551579,0	2531747,0
2008	12	Tarazona y el Moncayo	15562,0	214742,0	208285,0	1667728,0	1660199,0
2008	13	Campo de Borja	13142,0	188006,0	186667,0	1305077,0	1305066,0
2008	14	Aranda	9704,0	117303,0	111027,0	564853,0	489849,0
2008	15	Ribera Alta del Ebro	18727,0	902215,0	701131,0	4092983,0	4073899,0
2008	16	Valdejalón	21682,0	686028,0	575191,0	3539920,0	3533029,0
2008	17	D.C. Zaragoza	493349,0	22521564,0	21486405,0	118013465,0	116990176,0
2008	18	Ribera Baja del Ebro	7807,0	250892,0	163847,0	861405,0	861401,0
2008	19	Bajo Aragón-Caspe / Baix Aragó-Casp	12249,0	293696,0	227494,0	1646910,0	1646269,0
2008	20	Comunidad de Calatayud	47623,0	826695,0	752631,0	4171863,0	4141471,0
2008	21	Campo de Cariñena	10327,0	184448,0	161033,0	1115700,0	1113939,0
2008	22	Campo de Belchite	6763,0	65157,0	61778,0	318626,0	318616,0
2008	23	Bajo Martín	8175,0	123835,0	115330,0	689820,0	644343,0
2008	24	Campo de Daroca	11042,0	128001,0	115670,0	595196,0	595178,0
2008	25	Jiloca	20362,0	260726,0	248593,0	1461732,0	1376719,0
2008	26	Cuencas Mineras	13747,0	147922,0	116511,0	682130,0	590052,0
2008	27	Andorra-Sierra de Arcos	10883,0	181022,0	162390,0	924913,0	848581,0
2008	28	Bajo Aragón	27871,0	548922,0	482466,0	3294805,0	3089207,0
2008	29	Comunidad de Teruel	44654,0	1115048,0	1115048,0	6106946,0	5446288,0
2008	30	Maestrazgo	6561,0	53267,0	53267,0	283824,0	271801,0
2008	31	Sierra de Albarracín	9753,0	126088,0	103045,0	575320,0	545926,0
2008	32	Gúdar-Javalambre	18395,0	251048,0	220594,0	1284392,0	1219489,0
2008	33	Matarraña / Matarranya	10423,0	198293,0	159116,0	994321,0	925068,0
2009	01	La Jacetania	41169,0	2085465,0	1093458,0	8100310,0	8067736,0
2009	02	Alto Gállego	27670,0	587824,0	555730,0	4213912,0	4205215,0
2009	03	Sobrarbe	9282,0	182240,0	166982,0	1145630,0	1145191,0
2009	04	La Ribagorza	18710,0	481598,0	384960,0	2617956,0	2617570,0
2009	05	Cinco Villas	29389,0	899825,0	696822,0	4317318,0	4288419,0
2009	06	Hoya de Huesca / Plana de Uesca	64514,0	1794569,0	1693404,0	14581188,0	14420120,0
2009	07	Somontano de Barbastro	21447,0	552282,0	498671,0	3891152,0	3879938,0
2009	08	Cinca Medio	18510,0	379845,0	368136,0	3492589,0	3481331,0
2009	09	La Litera / La Llitera	15283,0	360134,0	316936,0	2697201,0	2696258,0
2009	10	Los Monegros	16455,0	387571,0	328860,0	2155697,0	2155694,0
2009	11	Bajo Cinca / Baix Cinca	17237,0	365212,0	362865,0	2949528,0	2947720,0
2009	12	Tarazona y el Moncayo	15897,0	228697,0	219475,0	1763430,0	1756944,0
2009	13	Campo de Borja	13543,0	201266,0	196954,0	1385002,0	1384995,0
2009	14	Aranda	9767,0	131252,0	122796,0	623926,0	540830,0
2009	15	Ribera Alta del Ebro	19776,0	941391,0	775073,0	4636218,0	4616177,0
2009	16	Valdejalón	23770,0	985855,0	658741,0	4422526,0	4413614,0
2009	17	D.C. Zaragoza	511016,0	23896707,0	22980150,0	129985069,0	128878499,0
2009	18	Ribera Baja del Ebro	7916,0	259759,0	182784,0	938818,0	938816,0
2009	19	Bajo Aragón-Caspe / Baix Aragó-Casp	12440,0	306895,0	247988,0	1846228,0	1845510,0
2009	20	Comunidad de Calatayud	48552,0	874887,0	801729,0	4553354,0	4522234,0
2009	21	Campo de Cariñena	10689,0	194975,0	173073,0	1203112,0	1201555,0
2009	22	Campo de Belchite	6763,0	68862,0	63707,0	335609,0	335604,0
2009	23	Bajo Martín	8221,0	128421,0	122114,0	727117,0	680410,0
2009	24	Campo de Daroca	11075,0	165721,0	123336,0	647732,0	647723,0
2009	25	Jiloca	20825,0	292234,0	275211,0	1674551,0	1581216,0
2009	26	Cuencas Mineras	13861,0	153959,0	126736,0	760255,0	660548,0
2009	27	Andorra-Sierra de Arcos	11220,0	233353,0	217177,0	1263598,0	1164759,0
2009	28	Bajo Aragón	28580,0	580642,0	517137,0	3569874,0	3361953,0
2009	29	Comunidad de Teruel	46641,0	1252483,0	1215427,0	6688010,0	6278114,0
2009	30	Maestrazgo	6650,0	70694,0	58163,0	313457,0	299579,0
2009	31	Sierra de Albarracín	9979,0	141826,0	118379,0	680120,0	646388,0
2009	32	Gúdar-Javalambre	19464,0	289160,0	245255,0	1449831,0	1381541,0
2009	33	Matarraña / Matarranya	10589,0	222345,0	174494,0	1131785,0	1056859,0
2010	01	La Jacetania	42329,0	2228176,0	1261809,0	8730956,0	8727480,0
2010	02	Alto Gállego	29511,0	1081394,0	664951,0	5068964,0	4955236,0
2010	03	Sobrarbe	9992,0	194680,0	180734,0	1282468,0	1282468,0
2010	04	La Ribagorza	19621,0	728800,0	436663,0	3002482,0	3002481,0
2010	05	Cinco Villas	29863,0	1084327,0	773486,0	4751039,0	4715527,0
2010	06	Hoya de Huesca / Plana de Uesca	67007,0	1843183,0	1818544,0	15696328,0	15689047,0
2010	07	Somontano de Barbastro	21841,0	574372,0	530997,0	4143793,0	4143311,0
2010	08	Cinca Medio	18700,0	388112,0	378037,0	3647207,0	3635519,0
2010	09	La Litera / La Llitera	15759,0	376237,0	338757,0	2886544,0	2886544,0
2010	10	Los Monegros	16611,0	385906,0	346623,0	2295999,0	2228548,0
2010	11	Bajo Cinca / Baix Cinca	17768,0	384841,0	383503,0	3168060,0	3166099,0
2010	12	Tarazona y el Moncayo	16357,0	244988,0	233294,0	1876651,0	1863774,0
2010	13	Campo de Borja	13805,0	206217,0	202417,0	1430829,0	1427620,0
2010	14	Aranda	9815,0	142733,0	131547,0	667902,0	586745,0
2010	15	Ribera Alta del Ebro	20405,0	998394,0	835341,0	5013299,0	4982441,0
2010	16	Valdejalón	25207,0	1015216,0	721334,0	4822886,0	4793443,0
2010	17	D.C. Zaragoza	527631,0	25123610,0	24160559,0	134362895,0	132074549,0
2010	18	Ribera Baja del Ebro	7966,0	315234,0	197781,0	1007675,0	1004243,0
2010	19	Bajo Aragón-Caspe / Baix Aragó-Casp	12597,0	319692,0	262952,0	1941925,0	1928864,0
2010	20	Comunidad de Calatayud	49145,0	904405,0	832726,0	4732095,0	4689374,0
2010	21	Campo de Cariñena	10772,0	201996,0	183470,0	1279917,0	1278107,0
2010	22	Campo de Belchite	6753,0	89387,0	67689,0	355473,0	354285,0
2010	23	Bajo Martín	8308,0	131372,0	126284,0	751971,0	703212,0
2010	24	Campo de Daroca	11151,0	168305,0	144141,0	760629,0	684266,0
2010	25	Jiloca	20931,0	300240,0	285761,0	1749411,0	1632986,0
2010	26	Cuencas Mineras	13979,0	157027,0	133846,0	805679,0	692898,0
2010	27	Andorra-Sierra de Arcos	11104,0	348756,0	227400,0	1323143,0	1216668,0
2010	28	Bajo Aragón	29441,0	608101,0	553058,0	3814267,0	3603514,0
2010	29	Comunidad de Teruel	48561,0	1372917,0	1328780,0	7649305,0	6881119,0
2010	30	Maestrazgo	6810,0	95634,0	67168,0	335065,0	319644,0
2010	31	Sierra de Albarracín	10112,0	147496,0	129604,0	747880,0	703990,0
2010	32	Gúdar-Javalambre	20648,0	312417,0	267342,0	1587732,0	1477967,0
2010	33	Matarraña / Matarranya	10649,0	225783,0	184450,0	1190961,0	1102958,0
2011	01	La Jacetania	42895,0	2245406,0	1392847,0	8920164,0	8920161,0
2011	02	Alto Gállego	30333,0	1095310,0	737168,0	5518127,0	5397053,0
2011	03	Sobrarbe	10200,0	293228,0	197304,0	1404965,0	1404965,0
2011	04	La Ribagorza	20328,0	770539,0	488693,0	3371772,0	3371770,0
2011	05	Cinco Villas	30383,0	1117728,0	840219,0	5144609,0	5110538,0
2011	06	Hoya de Huesca / Plana de Uesca	68298,0	1904749,0	1858779,0	16006953,0	16004475,0
2011	07	Somontano de Barbastro	22197,0	583800,0	558158,0	4432483,0	4432481,0
2011	08	Cinca Medio	19229,0	397998,0	389277,0	3787691,0	3777965,0
2011	09	La Litera / La Llitera	15801,0	379447,0	350040,0	2977117,0	2977117,0
2011	10	Los Monegros	16733,0	387772,0	354088,0	2347668,0	2309246,0
2011	11	Bajo Cinca / Baix Cinca	18034,0	391134,0	390793,0	3231670,0	3231670,0
2011	12	Tarazona y el Moncayo	16863,0	250862,0	240714,0	1934864,0	1921977,0
2011	13	Campo de Borja	13862,0	210173,0	206852,0	1472845,0	1469634,0
2011	14	Aranda	9771,0	162227,0	145906,0	740056,0	645819,0
2011	15	Ribera Alta del Ebro	20678,0	1001821,0	878183,0	5265247,0	5240801,0
2011	16	Valdejalón	25461,0	1036876,0	770651,0	5509571,0	5480079,0
2011	17	D.C. Zaragoza	540710,0	25842753,0	25026297,0	140917914,0	138539982,0
2011	18	Ribera Baja del Ebro	8028,0	306131,0	231533,0	1085235,0	1081535,0
2011	19	Bajo Aragón-Caspe / Baix Aragó-Casp	12824,0	320957,0	271784,0	2002626,0	1990326,0
2011	20	Comunidad de Calatayud	49835,0	1009489,0	870159,0	5000142,0	4981126,0
2011	21	Campo de Cariñena	10889,0	208572,0	193409,0	1350615,0	1349432,0
2011	22	Campo de Belchite	6793,0	101424,0	71635,0	374334,0	373152,0
2011	23	Bajo Martín	8385,0	134260,0	130418,0	774364,0	724892,0
2011	24	Campo de Daroca	11185,0	173506,0	150447,0	793802,0	724878,0
2011	25	Jiloca	21216,0	317973,0	305775,0	1860927,0	1775437,0
2011	26	Cuencas Mineras	14025,0	190967,0	143682,0	958136,0	835418,0
2011	27	Andorra-Sierra de Arcos	11376,0	362895,0	252571,0	1475813,0	1356602,0
2011	28	Bajo Aragón	30336,0	642330,0	595463,0	4166877,0	3942420,0
2011	29	Comunidad de Teruel	49953,0	1400624,0	1359275,0	7994004,0	7199031,0
2011	30	Maestrazgo	6889,0	95019,0	72687,0	367288,0	350418,0
2011	31	Sierra de Albarracín	10404,0	168730,0	137144,0	774237,0	740139,0
2011	32	Gúdar-Javalambre	21416,0	337323,0	286124,0	1731126,0	1620447,0
2011	33	Matarraña / Matarranya	10850,0	230659,0	196017,0	1281533,0	1190667,0
2012	01	La Jacetania	43460,0	2297290,0	1529323,0	9645195,0	9600506,0
2012	02	Alto Gállego	31401,0	1109022,0	799740,0	6130535,0	6077659,0
2012	03	Sobrarbe	10456,0	301544,0	216559,0	1701725,0	1700829,0
2012	04	La Ribagorza	21182,0	779894,0	535910,0	3813335,0	3804391,0
2012	05	Cinco Villas	30794,0	1114121,0	896510,0	5730920,0	5708240,0
2012	06	Hoya de Huesca / Plana de Uesca	68750,0	1917261,0	1879124,0	17752216,0	17287783,0
2012	07	Somontano de Barbastro	22687,0	596953,0	572629,0	5089096,0	5077556,0
2012	08	Cinca Medio	19591,0	406207,0	399176,0	3993784,0	3991534,0
2012	09	La Litera / La Llitera	16104,0	391375,0	366166,0	3393285,0	3382124,0
2012	10	Los Monegros	17212,0	389436,0	366260,0	2586108,0	2580762,0
2012	11	Bajo Cinca / Baix Cinca	18335,0	401571,0	401571,0	3715017,0	3715013,0
2012	12	Tarazona y el Moncayo	16833,0	254432,0	245329,0	2210901,0	2210895,0
2012	13	Campo de Borja	13906,0	212198,0	209421,0	1670426,0	1669163,0
2012	14	Aranda	9613,0	169725,0	148869,0	792478,0	703647,0
2012	15	Ribera Alta del Ebro	21126,0	1024241,0	926753,0	5906674,0	5878399,0
2012	16	Valdejalón	25830,0	1029456,0	805514,0	6133147,0	6118499,0
2012	17	D.C. Zaragoza	547912,0	26270660,0	25633799,0	170369757,0	167608207,0
2012	18	Ribera Baja del Ebro	8043,0	259697,0	209126,0	1065803,0	1065797,0
2012	19	Bajo Aragón-Caspe / Baix Aragó-Casp	12892,0	324127,0	282910,0	2293066,0	2140952,0
2012	20	Comunidad de Calatayud	50833,0	1048620,0	934055,0	5903352,0	5874565,0
2012	21	Campo de Cariñena	10971,0	212774,0	201413,0	1584045,0	1582427,0
2012	22	Campo de Belchite	6795,0	103337,0	75642,0	425320,0	425316,0
2012	23	Bajo Martín	8425,0	135393,0	132832,0	862176,0	807235,0
2012	24	Campo de Daroca	11314,0	173348,0	143481,0	812924,0	811035,0
