Año	Municipio código	Municipio nombre	Rústica   Número de recibos	Rústica   Base imponible (miles de euros)	Rústica   Base liquidable (miles de euros)	Rústica   Cuota íntegra (euros)	Rústica   Cuota líquida (euros)
2003	44052	Calomarde		740,0	199,0	598,0	598,0
2003	44053	Camañas		1244,0	1243,0	8085,0	8085,0
2003	44054	Camarena de la Sierra		1128,0	399,0	1998,0	1998,0
2003	44055	Camarillas		1886,0	1880,0	15041,0	15041,0
2003	44056	Caminreal		2016,0	2015,0	13103,0	13103,0
2003	44059	Cantavieja		2004,0	1343,0	8731,0	8731,0
2003	44060	Cañada de Benatanduz		706,0	495,0	1486,0	1486,0
2003	44061	Cañada de Verich (La)		129,0	127,0	762,0	762,0
2003	44062	Cañada Vellida		787,0	784,0	5331,0	5331,0
2003	44063	Cañizar del Olivar		274,0	253,0	1776,0	1776,0
2003	44064	Cascante del Río		835,0	834,0	5008,0	5008,0
2003	44065	Castejón de Tornos		711,0	711,0	3555,0	3555,0
2003	44066	Castel de Cabra		571,0	571,0	2856,0	2856,0
2003	44067	Castelnou		1767,0	1767,0	11484,0	11484,0
2003	44068	Castelserás		1309,0	1309,0	5237,0	5237,0
2003	44070	Castellar (El)		639,0	268,0	1610,0	1610,0
2003	44071	Castellote		3221,0	2665,0	19988,0	19988,0
2003	44074	Cedrillas		1463,0	1196,0	5386,0	5386,0
2003	44075	Celadas		2193,0	2192,0	17539,0	17539,0
2003	44076	Cella		6848,0	6848,0	34242,0	34242,0
2003	44077	Cerollera (La)		425,0	160,0	482,0	482,0
2003	44080	Codoñera (La)		264,0	263,0	1714,0	1714,0
2003	44082	Corbalán		1121,0	658,0	2965,0	2965,0
2003	44084	Cortes de Aragón		472,0	471,0	3065,0	3065,0
2003	44085	Cosa		1307,0	1223,0	3672,0	3672,0
2003	44086	Cretas		1594,0	1453,0	9450,0	9450,0
2003	44087	Crivillén		676,0	670,0	4359,0	4359,0
2003	44088	Cuba (La)		84,0	84,0	548,0	548,0
2003	44089	Cubla		670,0	659,0	1979,0	1979,0
2003	44090	Cucalón		821,0	819,0	4510,0	4510,0
2003	44092	Cuervo (El)		289,0	250,0	753,0	753,0
