Año	Municipio código	Municipio nombre	Urbana   Número de recibos	Urbana   Base imponible (miles de euros)	Urbana   Base liquidable (miles de euros)	Urbana   Cuota íntegra (euros)	Urbana   Cuota líquida (euros)
2003	44084	Cortes de Aragón	197,0	1007,0	1007,0	6042,0	6042,0
2003	44085	Cosa	145,0	1147,0	1147,0	4588,0	4588,0
2003	44086	Cretas	616,0	6605,0	6605,0	29722,0	29722,0
2003	44087	Crivillén	252,0	1471,0	1471,0	7355,0	7355,0
2003	44088	Cuba (La)	133,0	655,0	655,0	4585,0	4585,0
2003	44089	Cubla	132,0	1214,0	1214,0	4856,0	4856,0
2003	44090	Cucalón	207,0	1367,0	1367,0	5468,0	5468,0
2003	44092	Cuervo (El)	228,0	1748,0	1748,0	10488,0	10488,0
2003	44093	Cuevas de Almudén	106,0	1023,0	1023,0	4092,0	4092,0
2003	44094	Cuevas Labradas	147,0	1265,0	1265,0	5692,0	5692,0
2003	44096	Ejulve	392,0	2921,0	2921,0	11684,0	11684,0
2003	44097	Escorihuela	244,0	1489,0	1489,0	8934,0	8934,0
2003	44099	Escucha	857,0	10678,0	10678,0	90763,0	90763,0
2003	44100	Estercuel	499,0	4168,0	4168,0	20840,0	20840,0
2003	44101	Ferreruela de Huerva	134,0	925,0	925,0	4625,0	4625,0
2003	44102	Fonfría	66,0	368,0	368,0	1472,0	1472,0
2003	44103	Formiche Alto	308,0	2593,0	2593,0	15558,0	15558,0
2003	44105	Fórnoles	278,0	1771,0	1771,0	7084,0	7084,0
2003	44106	Fortanete	445,0	2703,0	2703,0	18921,0	18921,0
2003	44107	Foz-Calanda	305,0	3019,0	3019,0	13586,0	13586,0
2003	44108	Fresneda (La)	681,0	7300,0	7300,0	43800,0	43800,0
2003	44109	Frías de Albarracín	249,0	1878,0	1878,0	7512,0	7512,0
2003	44110	Fuenferrada	107,0	654,0	654,0	2616,0	2616,0
2003	44111	Fuentes Calientes	139,0	1385,0	1385,0	5540,0	5540,0
2003	44112	Fuentes Claras	531,0	6174,0	6174,0	24696,0	24696,0
2003	44113	Fuentes de Rubielos	241,0	1467,0	1467,0	8802,0	8802,0
2003	44114	Fuentespalda	328,0	3667,0	3667,0	22002,0	22002,0
2003	44115	Galve	133,0	1133,0	1133,0	8498,0	8498,0
2003	44116	Gargallo	221,0	1764,0	1764,0	7056,0	7056,0
2003	44117	Gea de Albarracín	567,0	4935,0	4935,0	34545,0	34545,0
2003	44118	Ginebrosa (La)	410,0	3705,0	3705,0	18525,0	18525,0
2003	44119	Griegos	212,0	2119,0	2119,0	10595,0	10595,0
2003	44120	Guadalaviar	364,0	3450,0	3450,0	13800,0	13800,0
2003	44121	Gúdar	138,0	982,0	982,0	3928,0	3928,0
2003	44122	Híjar	1578,0	22034,0	22034,0	125594,0	125594,0
2003	44123	Hinojosa de Jarque	171,0	1421,0	1421,0	5684,0	5684,0
2003	44124	Hoz de la Vieja (La)	317,0	1276,0	1276,0	7656,0	7656,0
2003	44125	Huesa del Común	342,0	1428,0	1428,0	5712,0	5712,0
2003	44126	Iglesuela del Cid (La)	563,0	4932,0	4932,0	24660,0	24660,0
2003	44127	Jabaloyas	215,0	1440,0	1440,0	5760,0	5760,0
2003	44128	Jarque de la Val	118,0	1265,0	1265,0	5060,0	5060,0
2003	44129	Jatiel	107,0	857,0	857,0	4885,0	4885,0
2003	44130	Jorcas	114,0	619,0	619,0	3095,0	3095,0
