Año	Nº Accidentes	Grupo	Descripción Ocupación	Sexo	Comarca Código	Comarca Nombre
2010,0	186	4	Empleados de tipo administrativo	Mujeres	17	D.C. Zaragoza
2010,0	2	4	Empleados de tipo administrativo	Mujeres	18	Ribera Baja del Ebro
2010,0	1	4	Empleados de tipo administrativo	Mujeres	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2010,0	3	4	Empleados de tipo administrativo	Hombres	20	Comunidad de Calatayud
2010,0	4	4	Empleados de tipo administrativo	Mujeres	20	Comunidad de Calatayud
2010,0	4	4	Empleados de tipo administrativo	Mujeres	21	Campo de Cariñena
2010,0	1	4	Empleados de tipo administrativo	Mujeres	22	Campo de Belchite
2010,0	2	4	Empleados de tipo administrativo	Hombres	28	Bajo Aragón
2010,0	3	4	Empleados de tipo administrativo	Mujeres	28	Bajo Aragón
2010,0	11	4	Empleados de tipo administrativo	Hombres	29	Comunidad de Teruel
2010,0	16	4	Empleados de tipo administrativo	Mujeres	29	Comunidad de Teruel
2010,0	1	4	Empleados de tipo administrativo	Mujeres	31	Sierra de Albarracín
2010,0	1	4	Empleados de tipo administrativo	Hombres	33	Matarraña / Matarranya
2010,0	1	4	Empleados de tipo administrativo	Hombres	NC	Municipio del centro de trabajo fuera de Aragón
2010,0	4	4	Empleados de tipo administrativo	Mujeres	NC	Municipio del centro de trabajo fuera de Aragón
2010,0	11	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Hombres	01	La Jacetania
2010,0	28	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Mujeres	01	La Jacetania
2010,0	14	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Hombres	02	Alto Gállego
2010,0	19	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Mujeres	02	Alto Gállego
2010,0	7	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Hombres	03	Sobrarbe
2010,0	6	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Mujeres	03	Sobrarbe
2010,0	7	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Hombres	04	La Ribagorza
2010,0	5	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Mujeres	04	La Ribagorza
2010,0	5	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Hombres	05	Cinco Villas
2010,0	13	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Mujeres	05	Cinco Villas
2010,0	36	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Hombres	06	Hoya de Huesca / Plana de Uesca
2010,0	98	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Mujeres	06	Hoya de Huesca / Plana de Uesca
2010,0	12	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Hombres	07	Somontano de Barbastro
2010,0	12	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Mujeres	07	Somontano de Barbastro
2010,0	4	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Hombres	08	Cinca Medio
2010,0	14	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Mujeres	08	Cinca Medio
2010,0	15	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Mujeres	09	La Litera / La Llitera
2010,0	1	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Hombres	10	Los Monegros
2010,0	6	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Mujeres	10	Los Monegros
2010,0	3	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Hombres	11	Bajo Cinca / Baix Cinca
2010,0	6	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Mujeres	11	Bajo Cinca / Baix Cinca
2010,0	4	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Hombres	12	Tarazona y el Moncayo
2010,0	10	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Mujeres	12	Tarazona y el Moncayo
2010,0	4	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Hombres	13	Campo de Borja
2010,0	23	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Mujeres	13	Campo de Borja
2010,0	2	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Hombres	14	Aranda
2010,0	2	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Mujeres	14	Aranda
2010,0	4	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Hombres	15	Ribera Alta del Ebro
