Comarca código	Comarca nombre	Año	Orden	Votos	Siglas
23	Bajo Martín	2011	5	0,0	EQUO
23	Bajo Martín	2011	6	16,0	PACMA
23	Bajo Martín	2011	7	29,0	Eb
23	Bajo Martín	2011	8	0,0	PCPE
23	Bajo Martín	2011	9	17,0	PUM+J
23	Bajo Martín	2011	11	7,0	UCE
23	Bajo Martín	2011	12	0,0	DeC
23	Bajo Martín	2011	13	0,0	PH
23	Bajo Martín	2011	14	0,0	P-LIB
23	Bajo Martín	2011	15	33,0	SXT
24	Campo de Daroca	2011	1	6623,0	PP-PAR
24	Campo de Daroca	2011	2	2681,0	PSOE
24	Campo de Daroca	2011	3	499,0	CHA-IU
24	Campo de Daroca	2011	4	127,0	UPyD
24	Campo de Daroca	2011	5	51,0	EQUO
24	Campo de Daroca	2011	6	24,0	PACMA
24	Campo de Daroca	2011	7	57,0	Eb
24	Campo de Daroca	2011	8	15,0	PCPE
24	Campo de Daroca	2011	9	20,0	PUM+J
24	Campo de Daroca	2011	11	6,0	UCE
24	Campo de Daroca	2011	12	10,0	DeC
24	Campo de Daroca	2011	13	7,0	PH
24	Campo de Daroca	2011	14	5,0	P-LIB
24	Campo de Daroca	2011	15	0,0	SXT
25	Jiloca	2011	1	12487,0	PP-PAR
25	Jiloca	2011	2	5840,0	PSOE
25	Jiloca	2011	3	1045,0	CHA-IU
25	Jiloca	2011	4	226,0	UPyD
25	Jiloca	2011	5	0,0	EQUO
25	Jiloca	2011	6	43,0	PACMA
25	Jiloca	2011	7	83,0	Eb
25	Jiloca	2011	8	0,0	PCPE
25	Jiloca	2011	9	27,0	PUM+J
25	Jiloca	2011	11	15,0	UCE
25	Jiloca	2011	12	0,0	DeC
25	Jiloca	2011	13	0,0	PH
25	Jiloca	2011	14	0,0	P-LIB
25	Jiloca	2011	15	15,0	SXT
26	Cuencas Mineras	2011	1	5554,0	PP-PAR
26	Cuencas Mineras	2011	2	6520,0	PSOE
26	Cuencas Mineras	2011	3	933,0	CHA-IU
26	Cuencas Mineras	2011	4	113,0	UPyD
26	Cuencas Mineras	2011	5	0,0	EQUO
26	Cuencas Mineras	2011	6	26,0	PACMA
26	Cuencas Mineras	2011	7	77,0	Eb
26	Cuencas Mineras	2011	8	0,0	PCPE
26	Cuencas Mineras	2011	9	22,0	PUM+J
26	Cuencas Mineras	2011	11	6,0	UCE
26	Cuencas Mineras	2011	12	0,0	DeC
26	Cuencas Mineras	2011	13	0,0	PH
26	Cuencas Mineras	2011	14	0,0	P-LIB
26	Cuencas Mineras	2011	15	11,0	SXT
27	Andorra-Sierra de Arcos	2011	1	7217,0	PP-PAR
27	Andorra-Sierra de Arcos	2011	2	6177,0	PSOE
27	Andorra-Sierra de Arcos	2011	3	2002,0	CHA-IU
27	Andorra-Sierra de Arcos	2011	4	125,0	UPyD
27	Andorra-Sierra de Arcos	2011	5	0,0	EQUO
27	Andorra-Sierra de Arcos	2011	6	62,0	PACMA
27	Andorra-Sierra de Arcos	2011	7	63,0	Eb
27	Andorra-Sierra de Arcos	2011	8	0,0	PCPE
27	Andorra-Sierra de Arcos	2011	9	39,0	PUM+J
27	Andorra-Sierra de Arcos	2011	11	17,0	UCE
27	Andorra-Sierra de Arcos	2011	12	0,0	DeC
27	Andorra-Sierra de Arcos	2011	13	0,0	PH
27	Andorra-Sierra de Arcos	2011	14	0,0	P-LIB
27	Andorra-Sierra de Arcos	2011	15	16,0	SXT
28	Bajo Aragón	2011	1	21106,0	PP-PAR
28	Bajo Aragón	2011	2	13216,0	PSOE
28	Bajo Aragón	2011	3	2667,0	CHA-IU
28	Bajo Aragón	2011	4	609,0	UPyD
28	Bajo Aragón	2011	5	0,0	EQUO
28	Bajo Aragón	2011	6	174,0	PACMA
28	Bajo Aragón	2011	7	270,0	Eb
28	Bajo Aragón	2011	8	0,0	PCPE
28	Bajo Aragón	2011	9	113,0	PUM+J
28	Bajo Aragón	2011	11	51,0	UCE
28	Bajo Aragón	2011	12	0,0	DeC
28	Bajo Aragón	2011	13	0,0	PH
28	Bajo Aragón	2011	14	0,0	P-LIB
28	Bajo Aragón	2011	15	212,0	SXT
29	Comunidad de Teruel	2011	1	37484,0	PP-PAR
29	Comunidad de Teruel	2011	2	19670,0	PSOE
29	Comunidad de Teruel	2011	3	4608,0	CHA-IU
29	Comunidad de Teruel	2011	4	1267,0	UPyD
29	Comunidad de Teruel	2011	5	0,0	EQUO
29	Comunidad de Teruel	2011	6	257,0	PACMA
29	Comunidad de Teruel	2011	7	479,0	Eb
29	Comunidad de Teruel	2011	8	0,0	PCPE
29	Comunidad de Teruel	2011	9	188,0	PUM+J
29	Comunidad de Teruel	2011	11	70,0	UCE
29	Comunidad de Teruel	2011	12	0,0	DeC
29	Comunidad de Teruel	2011	13	0,0	PH
29	Comunidad de Teruel	2011	14	0,0	P-LIB
29	Comunidad de Teruel	2011	15	95,0	SXT
