Año	Renta disponible bruta	Código	Comarca
2010	1245797296,0	06	Hoya de Huesca / Plana de Uesca
2010	382192185,0	07	Somontano de Barbastro
2010	348325962,0	08	Cinca Medio
2010	255183897,0	09	La Litera / La Llitera
2010	228456794,0	10	Los Monegros
2010	331227353,0	11	Bajo Cinca / Baix Cinca
2010	183385393,0	12	Tarazona y el Moncayo
2010	179350892,0	13	Campo de Borja
2010	82222132,0	14	Aranda
2010	360543613,0	15	Ribera Alta del Ebro
2010	346648065,0	16	Valdejalón
2010	12580368272,0	17	D.C. Zaragoza
2010	111432238,0	18	Ribera Baja del Ebro
2010	169148316,0	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2010	514810786,0	20	Comunidad de Calatayud
2010	113651284,0	21	Campo de Cariñena
2010	44173209,0	22	Campo de Belchite
2010	77945617,0	23	Bajo Martín
2010	70487746,0	24	Campo de Daroca
2010	155643893,0	25	Jiloca
2010	118720141,0	26	Cuencas Mineras
2010	174067399,0	27	Andorra-Sierra de Arcos
2010	424518327,0	28	Bajo Aragón
2010	762726724,0	29	Comunidad de Teruel
2010	38634702,0	30	Maestrazgo
2010	51915444,0	31	Sierra de Albarracín
2010	97358663,0	32	Gúdar-Javalambre
2010	88705232,0	33	Matarraña / Matarranya
2009	389600466,0	01	La Jacetania
2009	268734189,0	02	Alto Gállego
2009	118623267,0	03	Sobrarbe
2009	196159213,0	04	La Ribagorza
2009	425784177,0	05	Cinco Villas
2009	1256496071,0	06	Hoya de Huesca / Plana de Uesca
2009	387838051,0	07	Somontano de Barbastro
2009	356368421,0	08	Cinca Medio
2009	261694531,0	09	La Litera / La Llitera
2009	231694488,0	10	Los Monegros
2009	325533411,0	11	Bajo Cinca / Baix Cinca
2009	186159762,0	12	Tarazona y el Moncayo
2009	177719096,0	13	Campo de Borja
2009	83756475,0	14	Aranda
2009	348738772,0	15	Ribera Alta del Ebro
2009	342395682,0	16	Valdejalón
2009	12731916211,0	17	D.C. Zaragoza
2009	114648310,0	18	Ribera Baja del Ebro
2009	169154012,0	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2009	519952495,0	20	Comunidad de Calatayud
2009	113467896,0	21	Campo de Cariñena
2009	43171760,0	22	Campo de Belchite
2009	77022249,0	23	Bajo Martín
2009	71339081,0	24	Campo de Daroca
2009	157112273,0	25	Jiloca
2009	117689860,0	26	Cuencas Mineras
2009	172749631,0	27	Andorra-Sierra de Arcos
2009	419030812,0	28	Bajo Aragón
2009	756810546,0	29	Comunidad de Teruel
2009	39568571,0	30	Maestrazgo
2009	48354661,0	31	Sierra de Albarracín
2009	93957189,0	32	Gúdar-Javalambre
2009	89246373,0	33	Matarraña / Matarranya
2008	389085467,0	01	La Jacetania
2008	265866128,0	02	Alto Gállego
2008	116785671,0	03	Sobrarbe
2008	198849483,0	04	La Ribagorza
2008	433295525,0	05	Cinco Villas
2008	1262458471,0	06	Hoya de Huesca / Plana de Uesca
2008	390011967,0	07	Somontano de Barbastro
2008	352518388,0	08	Cinca Medio
2008	260909068,0	09	La Litera / La Llitera
2008	228857230,0	10	Los Monegros
2008	328728435,0	11	Bajo Cinca / Baix Cinca
2008	190102164,0	12	Tarazona y el Moncayo
2008	178156249,0	13	Campo de Borja
2008	86240729,0	14	Aranda
2008	354204519,0	15	Ribera Alta del Ebro
2008	343552394,0	16	Valdejalón
2008	12900083639,0	17	D.C. Zaragoza
2008	115072349,0	18	Ribera Baja del Ebro
2008	165670982,0	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2008	528981426,0	20	Comunidad de Calatayud
2008	114711378,0	21	Campo de Cariñena
2008	43280679,0	22	Campo de Belchite
2008	78420990,0	23	Bajo Martín
2008	74320126,0	24	Campo de Daroca
2008	158664559,0	25	Jiloca
2008	121348264,0	26	Cuencas Mineras
2008	174368944,0	27	Andorra-Sierra de Arcos
2008	422668207,0	28	Bajo Aragón
2008	746168859,0	29	Comunidad de Teruel
2008	40027071,0	30	Maestrazgo
2008	46940261,0	31	Sierra de Albarracín
2008	93573139,0	32	Gúdar-Javalambre
2008	87429224,0	33	Matarraña / Matarranya
2007	371675043,0	01	La Jacetania
2007	263676324,0	02	Alto Gállego
2007	111107656,0	03	Sobrarbe
2007	184622271,0	04	La Ribagorza
2007	409844662,0	05	Cinco Villas
2007	1207401980,0	06	Hoya de Huesca / Plana de Uesca
2007	371532359,0	07	Somontano de Barbastro
2007	333184958,0	08	Cinca Medio
2007	271282913,0	09	La Litera / La Llitera
2007	224457074,0	10	Los Monegros
2007	312934917,0	11	Bajo Cinca / Baix Cinca
2007	184281803,0	12	Tarazona y el Moncayo
2007	162707886,0	13	Campo de Borja
2007	81753445,0	14	Aranda
2007	332870899,0	15	Ribera Alta del Ebro
2007	319918359,0	16	Valdejalón
2007	12228241619,0	17	D.C. Zaragoza
2007	107508555,0	18	Ribera Baja del Ebro
2007	157519502,0	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2007	498106685,0	20	Comunidad de Calatayud
2007	107483294,0	21	Campo de Cariñena
2007	41554013,0	22	Campo de Belchite
2007	74457435,0	23	Bajo Martín
2007	70762318,0	24	Campo de Daroca
2007	150271344,0	25	Jiloca
2007	115647401,0	26	Cuencas Mineras
2007	163481575,0	27	Andorra-Sierra de Arcos
