Mes (código)	Mes y año	Municipio nombre	Municipio código	Sexo	Nacionalidad	Afiliaciones en alta
201209	Septiembre 2012	Sesué	22221	Mujeres	Extranjeros comunitarios (UE-27)	1
201209	Septiembre 2012	Sesué	22221	Hombres	Extranjeros no comunitarios	3
201209	Septiembre 2012	Sierra de Luna	50244	Hombres	Españoles	39
201209	Septiembre 2012	Sierra de Luna	50244	Mujeres	Españoles	13
201209	Septiembre 2012	Sierra de Luna	50244	Hombres	Extranjeros comunitarios (UE-27)	15
201209	Septiembre 2012	Sierra de Luna	50244	Mujeres	Extranjeros comunitarios (UE-27)	5
201209	Septiembre 2012	Sierra de Luna	50244	Hombres	Extranjeros no comunitarios	5
201209	Septiembre 2012	Sigüés	50245	Hombres	Españoles	18
201209	Septiembre 2012	Sigüés	50245	Mujeres	Españoles	8
201209	Septiembre 2012	Sigüés	50245	Hombres	Extranjeros no comunitarios	1
201209	Septiembre 2012	Sigüés	50245	Hombres	Extranjeros comunitarios (UE-27)	1
201209	Septiembre 2012	Singra	44213	Hombres	Españoles	4
201209	Septiembre 2012	Singra	44213	Mujeres	Españoles	3
201209	Septiembre 2012	Singra	44213	Hombres	Extranjeros comunitarios (UE-27)	1
201209	Septiembre 2012	Singra	44213	Hombres	Extranjeros no comunitarios	4
201209	Septiembre 2012	Sisamón	50246	Hombres	Españoles	8
201209	Septiembre 2012	Siétamo	22222	Hombres	Españoles	60
201209	Septiembre 2012	Siétamo	22222	Mujeres	Españoles	19
201209	Septiembre 2012	Siétamo	22222	Hombres	Extranjeros comunitarios (UE-27)	4
201209	Septiembre 2012	Siétamo	22222	Mujeres	Extranjeros comunitarios (UE-27)	2
201209	Septiembre 2012	Siétamo	22222	Hombres	Extranjeros no comunitarios	2
201209	Septiembre 2012	Siétamo	22222	Mujeres	Extranjeros no comunitarios	1
201209	Septiembre 2012	Siétamo	22222	Mujeres	Extranjeros comunitarios (UE-27)	1
201209	Septiembre 2012	Sobradiel	50247	Hombres	Españoles	301
201209	Septiembre 2012	Sobradiel	50247	Mujeres	Españoles	121
201209	Septiembre 2012	Sobradiel	50247	Hombres	Extranjeros comunitarios (UE-27)	30
201209	Septiembre 2012	Sobradiel	50247	Mujeres	Extranjeros comunitarios (UE-27)	8
