Municipio código	Municipio nombre	Año	Orden	Siglas	Votos
22062	Bisaurri	2015	6	PSOE	30,0
22062	Bisaurri	2015	7	CHA	8,0
22062	Bisaurri	2015	8	PP	61,0
22063	Biscarrués	2007	1	PSOE	42,0
22063	Biscarrués	2007	2	PP	38,0
22063	Biscarrués	2007	3	PAR	27,0
22063	Biscarrués	2007	4	CHA	92,0
22063	Biscarrués	2011	1	PP	2,0
22063	Biscarrués	2011	2	PSOE	1,0
22063	Biscarrués	2011	3	PAR	79,0
22063	Biscarrués	2011	4	CHA	83,0
22063	Biscarrués	2015	6	PSOE	8,0
22063	Biscarrués	2015	7	CHA	80,0
22063	Biscarrués	2015	8	PP	60,0
22064	Blecua y Torres	2007	1	PSOE	85,0
22064	Blecua y Torres	2007	2	PP	33,0
22064	Blecua y Torres	2007	3	PAR	7,0
22064	Blecua y Torres	2007	4	CHA	35,0
22064	Blecua y Torres	2011	1	PP	38,0
22064	Blecua y Torres	2011	2	PSOE	93,0
22064	Blecua y Torres	2011	3	PAR	29,0
22064	Blecua y Torres	2015	6	PSOE	63,0
22064	Blecua y Torres	2015	8	PP	51,0
22066	Boltaña	2007	1	PSOE	251,0
22066	Boltaña	2007	2	PP	96,0
22066	Boltaña	2007	3	PAR	108,0
22066	Boltaña	2007	4	CHA	101,0
22066	Boltaña	2011	1	PP	118,0
22066	Boltaña	2011	2	PSOE	243,0
22066	Boltaña	2011	3	PAR	93,0
22066	Boltaña	2011	4	CHA	84,0
22066	Boltaña	2015	5	PAR	86,0
22066	Boltaña	2015	6	PSOE	167,0
22066	Boltaña	2015	7	CHA	85,0
22066	Boltaña	2015	8	PP	158,0
22067	Bonansa	2007	1	PSOE	47,0
22067	Bonansa	2007	2	PP	0,0
22067	Bonansa	2007	4	CHA	0,0
22067	Bonansa	2011	2	PSOE	36,0
22067	Bonansa	2011	3	PAR	4,0
22067	Bonansa	2015	5	PAR	0,0
22067	Bonansa	2015	6	PSOE	48,0
22067	Bonansa	2015	8	PP	0,0
22068	Borau	2007	1	PSOE	44,0
22068	Borau	2007	2	PP	1,0
22068	Borau	2007	3	PAR	6,0
22068	Borau	2011	1	PP	23,0
22068	Borau	2011	2	PSOE	33,0
22068	Borau	2015	5	PAR	5,0
22068	Borau	2015	6	PSOE	41,0
22068	Borau	2015	8	PP	26,0
22069	Broto	2007	1	PSOE	153,0
22069	Broto	2007	2	PP	114,0
22069	Broto	2007	3	PAR	53,0
22069	Broto	2007	4	CHA	58,0
22069	Broto	2011	1	PP	99,0
22069	Broto	2011	2	PSOE	148,0
22069	Broto	2011	3	PAR	58,0
22069	Broto	2011	4	CHA	62,0
22069	Broto	2011	5	IU	12,0
22069	Broto	2015	5	PAR	57,0
22069	Broto	2015	6	PSOE	171,0
22069	Broto	2015	7	CHA	71,0
22072	Caldearenas	2007	1	PSOE	62,0
22072	Caldearenas	2007	2	PP	26,0
22072	Caldearenas	2007	3	PAR	25,0
22072	Caldearenas	2007	4	CHA	34,0
22072	Caldearenas	2011	1	PP	32,0
22072	Caldearenas	2011	2	PSOE	52,0
22072	Caldearenas	2011	3	PAR	32,0
22072	Caldearenas	2011	4	CHA	25,0
22072	Caldearenas	2015	5	PAR	35,0
22072	Caldearenas	2015	6	PSOE	33,0
22072	Caldearenas	2015	7	CHA	32,0
22072	Caldearenas	2015	8	PP	34,0
22074	Campo	2007	1	PSOE	85,0
22074	Campo	2007	3	PAR	166,0
22074	Campo	2011	1	PP	18,0
22074	Campo	2011	2	PSOE	31,0
22074	Campo	2011	3	PAR	184,0
22074	Campo	2015	5	PAR	154,0
22074	Campo	2015	6	PSOE	38,0
22075	Camporrells	2007	1	PSOE	107,0
22075	Camporrells	2007	2	PP	23,0
22075	Camporrells	2007	4	CHA	33,0
22075	Camporrells	2011	1	PP	19,0
