Año	Municipio código	Municipio nombre	Contenedores de envases	Kg recogidos envases	Provincia codigo
2018	50057	Brea de Aragón	21	16332	50
2018	50058	Bubierca	1	759	50
2018	50059	Bujaraloz	25	15928	50
2018	50060	Bulbuente	9	4106	50
2018	50061	Bureta	10	4182	50
2018	50062	Burgo de Ebro (El)	23	23012	50
2018	50063	Buste (El)	2	1496	50
2018	50064	Cabañas de Ebro	8	7116	50
2018	50065	Cabolafuente	1	391	50
2018	50066	Cadrete	58	44229	50
2018	50067	Calatayud	273	400560	50
2018	50068	Calatorao	34	34793	50
2018	50069	Calcena	2	728	50
2018	50070	Calmarza	1	736	50
2018	50071	Campillo de Aragón	2	1782	50
2018	50072	Carenas	3	2000	50
2018	50073	Cariñena	42	58909	50
2018	50074	Caspe	80	143123	50
2018	50075	Castejón de Alarba	2	1046	50
2018	50076	Castejón de las Armas	2	1000	50
2018	50077	Castejón de Valdejasa	6	2318	50
2018	50078	Castiliscar	5	2749	50
2018	50079	Cervera de la Cañada	4	3287	50
2018	50080	Cerveruela	2	435	50
2018	50081	Cetina	8	6966	50
2018	50082	Cimballa	2	1184	50
2018	50083	Cinco Olivas	3	1401	50
2018	50084	Clarés de Ribota	2	828	50
2018	50085	Codo	3	1442	50
2018	50086	Codos	3	2276	50
2018	50087	Contamina	1	402	50
2018	50088	Cosuenda	4	6563	50
2018	50089	Cuarte de Huerva	109	151738	50
2018	50090	Cubel	3	2005	50
2018	50091	Cuerlas (Las)	2	504	50
2018	50092	Chiprana	8	7253	50
2018	50093	Chodes	3	1370	50
2018	50094	Daroca	23	23423	50
2018	50095	Ejea de los Caballeros	188	218409	50
2018	50096	Embid de Ariza	1	448	50
2018	50098	Encinacorba	3	3493	50
2018	50099	Épila	44	53968	50
2018	50100	Erla	8	3714	50
2018	50101	Escatrón	21	12856	50
2018	50102	Fabara	11	17674	50
2018	50104	Farlete	8	6222	50
2018	50105	Fayón	7	5233	50
2018	50106	Fayos (Los)	3	2992	50
2018	50107	Figueruelas	21	17470	50
2018	50108	Fombuena	2	596	50
2018	50109	Frago (El)	2	1123	50
2018	50110	Frasno (El)	5	4437	50
2018	50111	Fréscano	7	3824	50
2018	50113	Fuendejalón	16	15390	50
2018	50114	Fuendetodos	2	952	50
2018	50115	Fuentes de Ebro	55	71488	50
2018	50116	Fuentes de Jiloca	3	2816	50
2018	50117	Gallocanta	3	1856	50
2018	50118	Gallur	49	37540	50
2018	50119	Gelsa	14	12967	50
2018	50120	Godojos	1	598	50
2018	50121	Gotor	5	3049	50
