Año	Nº Accidentes	División (2 dígitos) Código	División (2 dígitos) Descripción	Comarca Código	Comarca Nombre
2007,0	44	15	Industria de productos alimenticios y bebidas	21	Campo de Cariñena
2007,0	44	45	Construcción	23	Bajo Martín
2007,0	42	45	Construcción	03	Sobrarbe
2007,0	42	29	Industria de la construción de maquinaria y equipo mecánico	16	Valdejalón
2007,0	42	45	Construcción	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2007,0	41	45	Construcción	21	Campo de Cariñena
2007,0	41	60	Transporte terrestre; transporte por tuberías	23	Bajo Martín
2007,0	41	75	Administración pública, defensa y seguridad social obligatoria	29	Comunidad de Teruel
2007,0	39	29	Industria de la construción de maquinaria y equipo mecánico	08	Cinca Medio
2007,0	38	20	Industria de la madera y del corcho, excepto muebles; cestería y espartería	29	Comunidad de Teruel
2007,0	35	15	Industria de productos alimenticios y bebidas	05	Cinco Villas
2007,0	34	29	Industria de la construción de maquinaria y equipo mecánico	05	Cinco Villas
2007,0	33	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	11	Bajo Cinca / Baix Cinca
2007,0	33	34	Fabricación de vehículos de motor, remolques y semirremolques	29	Comunidad de Teruel
2007,0	33	60	Transporte terrestre; transporte por tuberías	29	Comunidad de Teruel
2007,0	32	28	Fabricación de productos metálicos, excepto maquinaria y equipo	11	Bajo Cinca / Baix Cinca
2007,0	32	36	Fabricación de muebles; otras industrias manufactureras	21	Campo de Cariñena
2007,0	31	28	Fabricación de productos metálicos, excepto maquinaria y equipo	13	Campo de Borja
2007,0	31	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	20	Comunidad de Calatayud
2007,0	28	26	Fabricación de otros productos minerales no metálicos	23	Bajo Martín
2007,0	28	28	Fabricación de productos metálicos, excepto maquinaria y equipo	28	Bajo Aragón
2007,0	27	15	Industria de productos alimenticios y bebidas	07	Somontano de Barbastro
2007,0	27	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	13	Campo de Borja
2007,0	27	75	Administración pública, defensa y seguridad social obligatoria	20	Comunidad de Calatayud
2007,0	27	15	Industria de productos alimenticios y bebidas	25	Jiloca
2007,0	26	26	Fabricación de otros productos minerales no metálicos	08	Cinca Medio
2007,0	26	34	Fabricación de vehículos de motor, remolques y semirremolques	13	Campo de Borja
2007,0	26	60	Transporte terrestre; transporte por tuberías	20	Comunidad de Calatayud
2007,0	25	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	20	Comunidad de Calatayud
2007,0	25	28	Fabricación de productos metálicos, excepto maquinaria y equipo	26	Cuencas Mineras
2007,0	24	60	Transporte terrestre; transporte por tuberías	08	Cinca Medio
2007,0	24	71	Alquiler de maquinaria y equipo sin operario, de efectos personales y enseres domesticos	09	La Litera / La Llitera
2007,0	24	15	Industria de productos alimenticios y bebidas	13	Campo de Borja
2007,0	24	25	Fabricacion de productos de caucho y materias plasticas	13	Campo de Borja
2007,0	23	28	Fabricación de productos metálicos, excepto maquinaria y equipo	07	Somontano de Barbastro
2007,0	23	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	10	Los Monegros
2007,0	23	15	Industria de productos alimenticios y bebidas	11	Bajo Cinca / Baix Cinca
2007,0	23	29	Industria de la construción de maquinaria y equipo mecánico	11	Bajo Cinca / Baix Cinca
2007,0	23	60	Transporte terrestre; transporte por tuberías	11	Bajo Cinca / Baix Cinca
2007,0	22	60	Transporte terrestre; transporte por tuberías	01	La Jacetania
2007,0	22	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	07	Somontano de Barbastro
2007,0	22	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	09	La Litera / La Llitera
2007,0	22	28	Fabricación de productos metálicos, excepto maquinaria y equipo	09	La Litera / La Llitera
2007,0	21	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	07	Somontano de Barbastro
2007,0	21	60	Transporte terrestre; transporte por tuberías	28	Bajo Aragón
2007,0	21	45	Construcción	33	Matarraña / Matarranya
2007,0	20	27	Metalurgia	25	Jiloca
2007,0	20	60	Transporte terrestre; transporte por tuberías	27	Andorra-Sierra de Arcos
2007,0	20	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	28	Bajo Aragón
2007,0	20	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	28	Bajo Aragón
2007,0	18	60	Transporte terrestre; transporte por tuberías	02	Alto Gállego
2007,0	18	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	12	Tarazona y el Moncayo
2007,0	18	19	Preparación curtido y acabado del cuero; fabricación de artículos de marroquinería y viaje; artículos de guarnicionería talabartería y zapatería	14	Aranda
2007,0	18	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	21	Campo de Cariñena
2007,0	16	15	Industria de productos alimenticios y bebidas	10	Los Monegros
2007,0	16	28	Fabricación de productos metálicos, excepto maquinaria y equipo	18	Ribera Baja del Ebro
2007,0	15	55	Hostelería	02	Alto Gállego
2007,0	15	45	Construcción	26	Cuencas Mineras
2007,0	15	26	Fabricación de otros productos minerales no metálicos	27	Andorra-Sierra de Arcos
2007,0	14	28	Fabricación de productos metálicos, excepto maquinaria y equipo	12	Tarazona y el Moncayo
2007,0	14	34	Fabricación de vehículos de motor, remolques y semirremolques	12	Tarazona y el Moncayo
2007,0	14	15	Industria de productos alimenticios y bebidas	33	Matarraña / Matarranya
2007,0	13	45	Construcción	14	Aranda
2007,0	12	60	Transporte terrestre; transporte por tuberías	04	La Ribagorza
2007,0	12	28	Fabricación de productos metálicos, excepto maquinaria y equipo	10	Los Monegros
2007,0	12	45	Construcción	31	Sierra de Albarracín
2007,0	12	28	Fabricación de productos metálicos, excepto maquinaria y equipo	NC	Municipio del centro de trabajo fuera de Aragón
2007,0	12	60	Transporte terrestre; transporte por tuberías	NC	Municipio del centro de trabajo fuera de Aragón
2007,0	11	75	Administración pública, defensa y seguridad social obligatoria	12	Tarazona y el Moncayo
2007,0	11	24	Industria química	18	Ribera Baja del Ebro
2007,0	11	26	Fabricación de otros productos minerales no metálicos	21	Campo de Cariñena
2007,0	11	45	Construcción	24	Campo de Daroca
2007,0	11	75	Administración pública, defensa y seguridad social obligatoria	24	Campo de Daroca
2007,0	11	24	Industria química	26	Cuencas Mineras
2007,0	11	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	33	Matarraña / Matarranya
2007,0	10	55	Hostelería	01	La Jacetania
2007,0	10	75	Administración pública, defensa y seguridad social obligatoria	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2007,0	10	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	25	Jiloca
2007,0	10	27	Metalurgia	26	Cuencas Mineras
2007,0	10	75	Administración pública, defensa y seguridad social obligatoria	26	Cuencas Mineras
2007,0	10	45	Construcción	30	Maestrazgo
2007,0	9	75	Administración pública, defensa y seguridad social obligatoria	01	La Jacetania
2007,0	9	14	Extracción de minerales no metálicos ni energéticos	04	La Ribagorza
2007,0	9	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	23	Bajo Martín
2007,0	9	15	Industria de productos alimenticios y bebidas	32	Gúdar-Javalambre
2007,0	9	15	Industria de productos alimenticios y bebidas	NC	Municipio del centro de trabajo fuera de Aragón
