Comarca código	Comarca nombre	Superficie (km2)	Población	Densidad de población (hab/km2)	Año
12	Tarazona y el Moncayo	452,22	14054,0	31,0777939940737	1998
12	Tarazona y el Moncayo	452,22	14207,0	31,4161248949626	1996
13	Campo de Borja	690,58	13704,0	19,8441889426279	2020
13	Campo de Borja	690,58	13776,0	19,948449129717	2019
13	Campo de Borja	690,58	14112,0	20,4349966694662	2016
13	Campo de Borja	690,58	14346,0	20,7738422775059	2015
13	Campo de Borja	690,58	14600,0	21,1416490486258	2014
13	Campo de Borja	690,58	14971,0	21,6788786237655	2013
13	Campo de Borja	690,58	15371,0	22,2581018853717	2012
13	Campo de Borja	690,58	15446,0	22,3667062469229	2011
13	Campo de Borja	690,58	15517,0	22,469518375858	2010
13	Campo de Borja	690,58	15621,0	22,6201164238756	2009
13	Campo de Borja	690,58	15427,0	22,3391931419966	2008
13	Campo de Borja	690,58	14914,0	21,5963393089866	2007
13	Campo de Borja	690,58	14524,0	21,0315966289206	2006
13	Campo de Borja	690,58	14460,0	20,9389209070636	2005
13	Campo de Borja	690,58	14330,0	20,7506733470416	2004
13	Campo de Borja	690,58	14344,0	20,7709461611978	2003
13	Campo de Borja	690,58	14326,0	20,7448811144256	2002
13	Campo de Borja	690,58	14276,0	20,6724782067248	2001
13	Campo de Borja	690,58	14113,0	20,4364447276203	2000
13	Campo de Borja	690,58	14177,0	20,5291204494772	1999
13	Campo de Borja	690,58	13968,0	20,226476295288	1998
13	Campo de Borja	690,58	14303,0	20,7115757768832	1996
14	Aranda	561,06	6341,0	11,3018215520622	2020
14	Aranda	561,06	6544,0	11,6636366876983	2019
14	Aranda	561,06	6975,0	12,4318254732114	2016
14	Aranda	561,06	7082,0	12,6225359141625	2015
14	Aranda	561,06	7168,0	12,7758172031512	2014
14	Aranda	561,06	7268,0	12,9540512601148	2013
14	Aranda	561,06	7412,0	13,2107083021424	2012
14	Aranda	561,06	7501,0	13,36933661284	2011
14	Aranda	561,06	7617,0	13,5760881189178	2010
14	Aranda	561,06	7696,0	13,716893023919	2009
14	Aranda	561,06	7631,0	13,6010408868927	2008
14	Aranda	561,06	7627,0	13,5939115246141	2007
14	Aranda	561,06	7681,0	13,6901579153745	2006
14	Aranda	561,06	7833,0	13,9610736819591	2005
14	Aranda	561,06	7992,0	14,2444658325313	2004
14	Aranda	561,06	8054,0	14,3549709478487	2003
14	Aranda	561,06	8018,0	14,2908066873418	2002
14	Aranda	561,06	7996,0	14,2515951948098	2001
14	Aranda	561,06	8052,0	14,3514062667094	2000
14	Aranda	561,06	8127,0	14,4850818094321	1999
14	Aranda	561,06	8113,0	14,4601290414572	1998
14	Aranda	561,06	8147,0	14,5207286208249	1996
15	Ribera Alta del Ebro	416,0	27310,0	65,6490384615385	2020
15	Ribera Alta del Ebro	416,0	27233,0	65,4639423076923	2019
15	Ribera Alta del Ebro	416,0	26922,0	64,7163461538462	2016
15	Ribera Alta del Ebro	416,0	27141,0	65,2427884615385	2015
15	Ribera Alta del Ebro	416,0	27379,0	65,8149038461538	2014
15	Ribera Alta del Ebro	416,0	27765,0	66,7427884615385	2013
15	Ribera Alta del Ebro	416,0	27913,0	67,0985576923077	2012
15	Ribera Alta del Ebro	416,0	27775,0	66,7668269230769	2011
15	Ribera Alta del Ebro	416,0	27827,0	66,8918269230769	2010
15	Ribera Alta del Ebro	416,0	27810,0	66,8509615384615	2009
15	Ribera Alta del Ebro	416,0	26952,0	64,7884615384615	2008
15	Ribera Alta del Ebro	416,0	25745,0	61,8870192307692	2007
15	Ribera Alta del Ebro	416,0	24875,0	59,7956730769231	2006
15	Ribera Alta del Ebro	416,0	24354,0	58,5432692307692	2005
15	Ribera Alta del Ebro	416,0	23554,0	56,6201923076923	2004
15	Ribera Alta del Ebro	416,0	23114,0	55,5625	2003
15	Ribera Alta del Ebro	416,0	22564,0	54,2403846153846	2002
15	Ribera Alta del Ebro	416,0	22109,0	53,1466346153846	2001
15	Ribera Alta del Ebro	416,0	21870,0	52,5721153846154	2000
15	Ribera Alta del Ebro	416,0	21746,0	52,2740384615385	1999
15	Ribera Alta del Ebro	416,0	21595,0	51,9110576923077	1998
15	Ribera Alta del Ebro	416,0	21671,0	52,09375	1996
16	Valdejalón	938,77	29350,0	31,2643139427123	2020
16	Valdejalón	938,77	29095,0	30,9926819135677	2019
16	Valdejalón	938,77	28489,0	30,3471563854831	2016
16	Valdejalón	938,77	28763,0	30,639027663858	2015
16	Valdejalón	938,77	29179,0	31,0821606996389	2014
16	Valdejalón	938,77	29529,0	31,4549889749353	2013
16	Valdejalón	938,77	29730,0	31,6690989273198	2012
16	Valdejalón	938,77	30018,0	31,9758833367065	2011
16	Valdejalón	938,77	30533,0	32,5244735132141	2010
16	Valdejalón	938,77	30380,0	32,3614942957274	2009
16	Valdejalón	938,77	29429,0	31,3484666105649	2008
16	Valdejalón	938,77	27423,0	29,2116279812947	2007
16	Valdejalón	938,77	26437,0	28,1613174686025	2006
16	Valdejalón	938,77	26084,0	27,785293522375	2005
16	Valdejalón	938,77	25177,0	26,8191356775355	2004
16	Valdejalón	938,77	24579,0	26,1821319386005	2003
16	Valdejalón	938,77	23721,0	25,2681700523025	2002
16	Valdejalón	938,77	22822,0	24,3105339966126	2001
16	Valdejalón	938,77	21946,0	23,3773980847279	2000
16	Valdejalón	938,77	21496,0	22,8980474450611	1999
16	Valdejalón	938,77	21385,0	22,7798076206099	1998
16	Valdejalón	938,77	21630,0	23,0407874133174	1996
17	D.C. Zaragoza	2288,85	764071,0	333,823098936147	2020
17	D.C. Zaragoza	2288,85	756291,0	330,424012058457	2019
17	D.C. Zaragoza	2288,85	739788,0	323,213841011862	2016
17	D.C. Zaragoza	2288,85	742656,0	324,466872009961	2015
17	D.C. Zaragoza	2288,85	743147,0	324,681390217795	2014
17	D.C. Zaragoza	2288,85	758380,0	331,336697468161	2013
