Año	Municipio código	Municipio nombre	Tipo licencias código	Tipo licencias descripción	Autorizaciones según tipo
2020	22016	Alcampell	VSPCE-N	Transporte privado ambulancias nacional empresa	0
2020	22016	Alcampell	VT-N	Licencias taxi	0
2020	22016	Alcampell	VTC-N	Transporte de alquiler con conductor nacional	0
2020	22017	Alcolea de Cinca	MDL-N	Transporte mercancías ligeras nacionales servicio público	0
2020	22017	Alcolea de Cinca	MDLE-N	Transporte mercancías ligeras nacional servicio público autorizado por empresa	0
2020	22017	Alcolea de Cinca	MDP-N	Transporte mercancías pesadas nacionales servicio público	18
2020	22017	Alcolea de Cinca	MDPE-N	Transporte mercancías pesadas nacinal servicio público autorizado por empresa	8
2020	22017	Alcolea de Cinca	MPC-N	Transporte mercancías propias nacional	4
2020	22017	Alcolea de Cinca	MPCE-N	transporte mercancías propias nacional autorizado por empresa	3
2020	22017	Alcolea de Cinca	OT	Operador de transporte	0
2020	22017	Alcolea de Cinca	VD-N	Transporte de viajeros nacionales servicio público	0
2020	22017	Alcolea de Cinca	VDE-N	Transporte de viajeros nacionales servicio público autorizado por empresa	0
2020	22017	Alcolea de Cinca	VPC-N	Transporte privado de viajeros nacional	0
2020	22017	Alcolea de Cinca	VPCE-N	Transporte privado de viajeros	0
2020	22017	Alcolea de Cinca	VS-N	Ambulancias nacionales servicio público	0
2020	22017	Alcolea de Cinca	VSE-N	Transporte público ambulancias nacional empresa	0
2020	22017	Alcolea de Cinca	VSPC-N	Transporte privado ambulancias nacional	0
2020	22017	Alcolea de Cinca	VSPCE-N	Transporte privado ambulancias nacional empresa	0
2020	22017	Alcolea de Cinca	VT-N	Licencias taxi	0
2020	22017	Alcolea de Cinca	VTC-N	Transporte de alquiler con conductor nacional	0
2020	22018	Alcubierre	MDL-N	Transporte mercancías ligeras nacionales servicio público	0
2020	22018	Alcubierre	MDLE-N	Transporte mercancías ligeras nacional servicio público autorizado por empresa	0
2020	22018	Alcubierre	MDP-N	Transporte mercancías pesadas nacionales servicio público	5
2020	22018	Alcubierre	MDPE-N	Transporte mercancías pesadas nacinal servicio público autorizado por empresa	3
2020	22018	Alcubierre	MPC-N	Transporte mercancías propias nacional	0
2020	22018	Alcubierre	MPCE-N	transporte mercancías propias nacional autorizado por empresa	0
2020	22018	Alcubierre	OT	Operador de transporte	0
2020	22018	Alcubierre	VD-N	Transporte de viajeros nacionales servicio público	0
2020	22018	Alcubierre	VDE-N	Transporte de viajeros nacionales servicio público autorizado por empresa	0
2020	22018	Alcubierre	VPC-N	Transporte privado de viajeros nacional	0
2020	22018	Alcubierre	VPCE-N	Transporte privado de viajeros	0
2020	22018	Alcubierre	VS-N	Ambulancias nacionales servicio público	0
2020	22018	Alcubierre	VSE-N	Transporte público ambulancias nacional empresa	0
2020	22018	Alcubierre	VSPC-N	Transporte privado ambulancias nacional	0
2020	22018	Alcubierre	VSPCE-N	Transporte privado ambulancias nacional empresa	0
2020	22018	Alcubierre	VT-N	Licencias taxi	1
2020	22018	Alcubierre	VTC-N	Transporte de alquiler con conductor nacional	0
2020	22020	Alfántega	MDL-N	Transporte mercancías ligeras nacionales servicio público	0
2020	22020	Alfántega	MDLE-N	Transporte mercancías ligeras nacional servicio público autorizado por empresa	0
2020	22020	Alfántega	MDP-N	Transporte mercancías pesadas nacionales servicio público	2
2020	22020	Alfántega	MDPE-N	Transporte mercancías pesadas nacinal servicio público autorizado por empresa	1
2020	22020	Alfántega	MPC-N	Transporte mercancías propias nacional	0
2020	22020	Alfántega	MPCE-N	transporte mercancías propias nacional autorizado por empresa	0
2020	22020	Alfántega	OT	Operador de transporte	0
