Año	Población	Comarca código	Comarca nombre
2006	40327,0	20	Comunidad de Calatayud
2006	10580,0	21	Campo de Cariñena
2006	5196,0	22	Campo de Belchite
2006	7252,0	23	Bajo Martín
2006	6594,0	24	Campo de Daroca
2006	13972,0	25	Jiloca
2006	9476,0	26	Cuencas Mineras
2006	11123,0	27	Andorra-Sierra de Arcos
2006	29128,0	28	Bajo Aragón
2006	45313,0	29	Comunidad de Teruel
2006	3737,0	30	Maestrazgo
2006	4912,0	31	Sierra de Albarracín
2006	8574,0	32	Gúdar-Javalambre
2006	8673,0	33	Matarraña / Matarranya
2007	18144,0	01	La Jacetania
2007	13955,0	02	Alto Gállego
2007	7483,0	03	Sobrarbe
2007	12953,0	04	La Ribagorza
2007	33196,0	05	Cinco Villas
2007	65266,0	06	Hoya de Huesca / Plana de Uesca
2007	23613,0	07	Somontano de Barbastro
2007	23084,0	08	Cinca Medio
2007	18867,0	09	La Litera / La Llitera
2007	20947,0	10	Los Monegros
2007	23645,0	11	Bajo Cinca / Baix Cinca
2007	14690,0	12	Tarazona y el Moncayo
2007	14914,0	13	Campo de Borja
2007	7627,0	14	Aranda
2007	25745,0	15	Ribera Alta del Ebro
2007	27423,0	16	Valdejalón
2007	714604,0	17	D.C. Zaragoza
2007	9155,0	18	Ribera Baja del Ebro
2007	13575,0	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2007	41356,0	20	Comunidad de Calatayud
2007	10606,0	21	Campo de Cariñena
2007	5222,0	22	Campo de Belchite
2007	7427,0	23	Bajo Martín
2007	6539,0	24	Campo de Daroca
2007	14253,0	25	Jiloca
2007	9496,0	26	Cuencas Mineras
2007	11312,0	27	Andorra-Sierra de Arcos
2007	29358,0	28	Bajo Aragón
2007	45953,0	29	Comunidad de Teruel
2007	3735,0	30	Maestrazgo
2007	5041,0	31	Sierra de Albarracín
2007	8674,0	32	Gúdar-Javalambre
2007	8797,0	33	Matarraña / Matarranya
2008	18511,0	01	La Jacetania
2008	14570,0	02	Alto Gállego
2008	7732,0	03	Sobrarbe
2008	13276,0	04	La Ribagorza
2008	33584,0	05	Cinco Villas
2008	66793,0	06	Hoya de Huesca / Plana de Uesca
2008	24090,0	07	Somontano de Barbastro
2008	23720,0	08	Cinca Medio
2008	19166,0	09	La Litera / La Llitera
2008	21238,0	10	Los Monegros
2008	24092,0	11	Bajo Cinca / Baix Cinca
2008	14747,0	12	Tarazona y el Moncayo
2008	15427,0	13	Campo de Borja
2008	7631,0	14	Aranda
2008	26952,0	15	Ribera Alta del Ebro
2008	29429,0	16	Valdejalón
2008	731315,0	17	D.C. Zaragoza
2008	9240,0	18	Ribera Baja del Ebro
2008	13940,0	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2008	42379,0	20	Comunidad de Calatayud
2008	10987,0	21	Campo de Cariñena
2008	5282,0	22	Campo de Belchite
2008	7311,0	23	Bajo Martín
2008	6493,0	24	Campo de Daroca
2008	14589,0	25	Jiloca
2008	9386,0	26	Cuencas Mineras
2008	11542,0	27	Andorra-Sierra de Arcos
2008	30146,0	28	Bajo Aragón
2008	46961,0	29	Comunidad de Teruel
2008	3789,0	30	Maestrazgo
2008	5014,0	31	Sierra de Albarracín
2008	8692,0	32	Gúdar-Javalambre
2008	8894,0	33	Matarraña / Matarranya
2009	18703,0	01	La Jacetania
2009	14916,0	02	Alto Gállego
2009	7764,0	03	Sobrarbe
2009	13332,0	04	La Ribagorza
2009	33580,0	05	Cinco Villas
2009	67992,0	06	Hoya de Huesca / Plana de Uesca
2009	24381,0	07	Somontano de Barbastro
2009	24007,0	08	Cinca Medio
2009	19291,0	09	La Litera / La Llitera
2009	21230,0	10	Los Monegros
2009	24663,0	11	Bajo Cinca / Baix Cinca
2009	14825,0	12	Tarazona y el Moncayo
2009	15621,0	13	Campo de Borja
2009	7696,0	14	Aranda
2009	27810,0	15	Ribera Alta del Ebro
2009	30380,0	16	Valdejalón
2009	743280,0	17	D.C. Zaragoza
2009	9333,0	18	Ribera Baja del Ebro
2009	14775,0	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2009	42319,0	20	Comunidad de Calatayud
