Año	Provincia código	Provincia nombre	División (2 dígitos) código	División (2 dígitos) descripción	Número de actividades
2018	44	Teruel	37	Recogida y tratamiento de aguas residuales	61
2018	44	Teruel	38	Recogida, tratamiento y eliminación de residuos; valorización	41
2018	44	Teruel	39	Actividades de descontaminación y otros servicios de gestión de residuos	20
2018	44	Teruel	41	Construcción de edificios	1341
2018	44	Teruel	42	Ingeniería civil	144
2018	44	Teruel	43	Actividades de construcción especializada	1969
2018	44	Teruel	45	Venta y reparación de vehículos de motor y motocicletas	629
2018	44	Teruel	46	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	966
2018	44	Teruel	47	Comercio al por menor, excepto de vehículos de motor y motocicletas	4292
2018	44	Teruel	49	Transporte terrestre y por tubería	770
2018	44	Teruel	52	Almacenamiento y actividades anexas al transporte	74
2018	44	Teruel	53	Actividades postales y de correos	34
2018	44	Teruel	55	Servicios de alojamiento	648
2018	44	Teruel	56	Servicios de comidas y bebidas	1828
2018	44	Teruel	58	Edición	47
2018	44	Teruel	59	Actividades cinematográficas, de vídeo y de programas de televisión, grabación de sonido y edición musical	31
2018	44	Teruel	60	Actividades de programación y emisión de radio y televisión	26
2018	44	Teruel	61	Telecomunicaciones	27
2018	44	Teruel	62	Programación, consultoría y otras actividades relacionadas con la informática	102
2018	44	Teruel	63	Servicios de información	19
2018	44	Teruel	64	Servicios financieros, excepto seguros y fondos de pensiones	181
2018	44	Teruel	65	Seguros, reaseguros y fondos de pensiones, excepto Seguridad Social obligatoria	20
2018	44	Teruel	66	Actividades auxiliares a los servicios financieros y a los seguros	384
2018	44	Teruel	68	Actividades inmobiliarias	2084
2018	44	Teruel	69	Actividades jurídicas y de contabilidad	445
2018	44	Teruel	71	Servicios técnicos de arquitectura e ingeniería; ensayos y análisis técnicos	524
2018	44	Teruel	72	Investigación y desarrollo	88
2018	44	Teruel	73	Publicidad y estudios de mercado	115
2018	44	Teruel	74	Otras actividades profesionales, científicas y técnicas	200
2018	44	Teruel	75	Actividades veterinarias	89
2018	44	Teruel	77	Actividades de alquiler	258
2018	44	Teruel	78	Actividades relacionadas con el empleo	31
2018	44	Teruel	79	Actividades de agencias de viajes, operadores turísticos, servicios de reservas y actividades relacionadas con los mismos	50
2018	44	Teruel	80	Actividades de seguridad e investigación	28
2018	44	Teruel	81	Servicios a edificios y actividades de jardinería	184
2018	44	Teruel	82	Actividades administrativas de oficina y otras actividades auxiliares a las empresas	362
2018	44	Teruel	85	Educación	754
2018	44	Teruel	86	Actividades sanitarias	427
