Año	Nº Accidentes	Grupo	Descripción Ocupación	Sexo	Comarca Código	Comarca Nombre
2019,0	1	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Hombres	21	Campo de Cariñena
2019,0	1	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Hombres	22	Campo de Belchite
2019,0	2	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Hombres	27	Andorra-Sierra de Arcos
2019,0	1	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Mujeres	27	Andorra-Sierra de Arcos
2019,0	2	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Hombres	28	Bajo Aragón
2019,0	2	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Hombres	29	Comunidad de Teruel
2019,0	1	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Mujeres	29	Comunidad de Teruel
2019,0	1	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Hombres	30	Maestrazgo
2019,0	1	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Hombres	31	Sierra de Albarracín
2019,0	7	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Hombres	NC	Municipio del centro de trabajo fuera de Aragón
2019,0	1	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Mujeres	NC	Municipio del centro de trabajo fuera de Aragón
2019,0	1	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	01	La Jacetania
2019,0	1	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	05	Cinco Villas
2019,0	2	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres	05	Cinco Villas
2019,0	8	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	06	Hoya de Huesca / Plana de Uesca
2019,0	1	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres	06	Hoya de Huesca / Plana de Uesca
2019,0	1	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	08	Cinca Medio
2019,0	6	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	09	La Litera / La Llitera
2019,0	1	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	11	Bajo Cinca / Baix Cinca
2019,0	2	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres	11	Bajo Cinca / Baix Cinca
2019,0	2	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	12	Tarazona y el Moncayo
2019,0	31	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	15	Ribera Alta del Ebro
2019,0	7	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres	15	Ribera Alta del Ebro
2019,0	3	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	16	Valdejalón
2019,0	2	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres	16	Valdejalón
2019,0	73	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	17	D.C. Zaragoza
2019,0	8	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres	17	D.C. Zaragoza
2019,0	1	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	18	Ribera Baja del Ebro
2019,0	3	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2019,0	1	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	20	Comunidad de Calatayud
2019,0	2	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	21	Campo de Cariñena
2019,0	1	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	22	Campo de Belchite
2019,0	1	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	24	Campo de Daroca
2019,0	3	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	28	Bajo Aragón
2019,0	1	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	29	Comunidad de Teruel
2019,0	1	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	NC	Municipio del centro de trabajo fuera de Aragón
2019,0	1	9	Ocupaciones elementales	Mujeres	01	La Jacetania
2019,0	3	9	Ocupaciones elementales	Mujeres	02	Alto Gállego
2019,0	6	9	Ocupaciones elementales	Hombres	05	Cinco Villas
2019,0	5	9	Ocupaciones elementales	Mujeres	05	Cinco Villas
2019,0	10	9	Ocupaciones elementales	Hombres	06	Hoya de Huesca / Plana de Uesca
2019,0	18	9	Ocupaciones elementales	Mujeres	06	Hoya de Huesca / Plana de Uesca
2019,0	5	9	Ocupaciones elementales	Hombres	07	Somontano de Barbastro
2019,0	2	9	Ocupaciones elementales	Mujeres	07	Somontano de Barbastro
2019,0	9	9	Ocupaciones elementales	Hombres	08	Cinca Medio
2019,0	2	9	Ocupaciones elementales	Mujeres	08	Cinca Medio
2019,0	3	9	Ocupaciones elementales	Hombres	09	La Litera / La Llitera
2019,0	3	9	Ocupaciones elementales	Hombres	10	Los Monegros
2019,0	1	9	Ocupaciones elementales	Mujeres	10	Los Monegros
2019,0	3	9	Ocupaciones elementales	Hombres	11	Bajo Cinca / Baix Cinca
2019,0	12	9	Ocupaciones elementales	Mujeres	11	Bajo Cinca / Baix Cinca
