Año	Nº Accidentes	Tamaño Centro	Grupo Grado Código	Grupo Grado Código	CCAA
2007,0	2173	De 100 a 199 trabajadores	Leves	1	Aragón
2006,0	2189	De 100 a 199 trabajadores	Leves	1	Aragón
2005,0	1813	De 100 a 199 trabajadores	Leves	1	Aragón
2004,0	1922	De 100 a 199 trabajadores	Leves	1	Aragón
2003,0	1926	De 100 a 199 trabajadores	Leves	1	Aragón
2019,0	3	De 100 a 199 trabajadores	Graves o muy graves	2	Aragón
2015,0	3	De 100 a 199 trabajadores	Graves o muy graves	2	Aragón
2014,0	2	De 100 a 199 trabajadores	Graves o muy graves	2	Aragón
2013,0	3	De 100 a 199 trabajadores	Graves o muy graves	2	Aragón
2012,0	4	De 100 a 199 trabajadores	Graves o muy graves	2	Aragón
2011,0	6	De 100 a 199 trabajadores	Graves o muy graves	2	Aragón
2010,0	5	De 100 a 199 trabajadores	Graves o muy graves	2	Aragón
2009,0	13	De 100 a 199 trabajadores	Graves o muy graves	2	Aragón
2008,0	13	De 100 a 199 trabajadores	Graves o muy graves	2	Aragón
2007,0	12	De 100 a 199 trabajadores	Graves o muy graves	2	Aragón
2006,0	12	De 100 a 199 trabajadores	Graves o muy graves	2	Aragón
2005,0	16	De 100 a 199 trabajadores	Graves o muy graves	2	Aragón
2004,0	18	De 100 a 199 trabajadores	Graves o muy graves	2	Aragón
2003,0	11	De 100 a 199 trabajadores	Graves o muy graves	2	Aragón
2019,0	1	De 100 a 199 trabajadores	Mortales	3	Aragón
2015,0	1	De 100 a 199 trabajadores	Mortales	3	Aragón
2014,0	1	De 100 a 199 trabajadores	Mortales	3	Aragón
2013,0	1	De 100 a 199 trabajadores	Mortales	3	Aragón
2012,0	1	De 100 a 199 trabajadores	Mortales	3	Aragón
2010,0	1	De 100 a 199 trabajadores	Mortales	3	Aragón
2009,0	5	De 100 a 199 trabajadores	Mortales	3	Aragón
2008,0	5	De 100 a 199 trabajadores	Mortales	3	Aragón
2007,0	3	De 100 a 199 trabajadores	Mortales	3	Aragón
2006,0	8	De 100 a 199 trabajadores	Mortales	3	Aragón
2005,0	2	De 100 a 199 trabajadores	Mortales	3	Aragón
2004,0	9	De 100 a 199 trabajadores	Mortales	3	Aragón
2003,0	3	De 100 a 199 trabajadores	Mortales	3	Aragón
2019,0	2061	De 200 a 499 trabajadores	Leves	1	Aragón
2015,0	1303	De 200 a 499 trabajadores	Leves	1	Aragón
2014,0	1110	De 200 a 499 trabajadores	Leves	1	Aragón
2013,0	1085	De 200 a 499 trabajadores	Leves	1	Aragón
2012,0	1032	De 200 a 499 trabajadores	Leves	1	Aragón
2011,0	1345	De 200 a 499 trabajadores	Leves	1	Aragón
2010,0	1598	De 200 a 499 trabajadores	Leves	1	Aragón
2009,0	1564	De 200 a 499 trabajadores	Leves	1	Aragón
2008,0	2443	De 200 a 499 trabajadores	Leves	1	Aragón
2007,0	2837	De 200 a 499 trabajadores	Leves	1	Aragón
2006,0	2534	De 200 a 499 trabajadores	Leves	1	Aragón
2005,0	2169	De 200 a 499 trabajadores	Leves	1	Aragón
2004,0	2218	De 200 a 499 trabajadores	Leves	1	Aragón
2003,0	2222	De 200 a 499 trabajadores	Leves	1	Aragón
2019,0	9	De 200 a 499 trabajadores	Graves o muy graves	2	Aragón
2015,0	6	De 200 a 499 trabajadores	Graves o muy graves	2	Aragón
2014,0	9	De 200 a 499 trabajadores	Graves o muy graves	2	Aragón
2013,0	8	De 200 a 499 trabajadores	Graves o muy graves	2	Aragón
2012,0	3	De 200 a 499 trabajadores	Graves o muy graves	2	Aragón
2011,0	3	De 200 a 499 trabajadores	Graves o muy graves	2	Aragón
2010,0	10	De 200 a 499 trabajadores	Graves o muy graves	2	Aragón
2009,0	5	De 200 a 499 trabajadores	Graves o muy graves	2	Aragón
2008,0	13	De 200 a 499 trabajadores	Graves o muy graves	2	Aragón
2007,0	9	De 200 a 499 trabajadores	Graves o muy graves	2	Aragón
2006,0	11	De 200 a 499 trabajadores	Graves o muy graves	2	Aragón
2005,0	10	De 200 a 499 trabajadores	Graves o muy graves	2	Aragón
2004,0	23	De 200 a 499 trabajadores	Graves o muy graves	2	Aragón
2003,0	13	De 200 a 499 trabajadores	Graves o muy graves	2	Aragón
2019,0	1	De 200 a 499 trabajadores	Mortales	3	Aragón
2015,0	3	De 200 a 499 trabajadores	Mortales	3	Aragón
2014,0	1	De 200 a 499 trabajadores	Mortales	3	Aragón
2013,0	2	De 200 a 499 trabajadores	Mortales	3	Aragón
2012,0	1	De 200 a 499 trabajadores	Mortales	3	Aragón
2011,0	2	De 200 a 499 trabajadores	Mortales	3	Aragón
2010,0	2	De 200 a 499 trabajadores	Mortales	3	Aragón
2009,0	3	De 200 a 499 trabajadores	Mortales	3	Aragón
2008,0	1	De 200 a 499 trabajadores	Mortales	3	Aragón
2007,0	4	De 200 a 499 trabajadores	Mortales	3	Aragón
2006,0	5	De 200 a 499 trabajadores	Mortales	3	Aragón
2005,0	3	De 200 a 499 trabajadores	Mortales	3	Aragón
2004,0	1	De 200 a 499 trabajadores	Mortales	3	Aragón
2019,0	924	De 500 a 999 trabajadores	Leves	1	Aragón
2015,0	571	De 500 a 999 trabajadores	Leves	1	Aragón
2014,0	561	De 500 a 999 trabajadores	Leves	1	Aragón
2013,0	534	De 500 a 999 trabajadores	Leves	1	Aragón
2012,0	580	De 500 a 999 trabajadores	Leves	1	Aragón
2011,0	751	De 500 a 999 trabajadores	Leves	1	Aragón
2010,0	755	De 500 a 999 trabajadores	Leves	1	Aragón
2009,0	665	De 500 a 999 trabajadores	Leves	1	Aragón
2008,0	1096	De 500 a 999 trabajadores	Leves	1	Aragón
2007,0	1239	De 500 a 999 trabajadores	Leves	1	Aragón
2006,0	1150	De 500 a 999 trabajadores	Leves	1	Aragón
2005,0	1227	De 500 a 999 trabajadores	Leves	1	Aragón
2004,0	946	De 500 a 999 trabajadores	Leves	1	Aragón
2003,0	818	De 500 a 999 trabajadores	Leves	1	Aragón
2019,0	2	De 500 a 999 trabajadores	Graves o muy graves	2	Aragón
2015,0	3	De 500 a 999 trabajadores	Graves o muy graves	2	Aragón
2014,0	2	De 500 a 999 trabajadores	Graves o muy graves	2	Aragón
2013,0	2	De 500 a 999 trabajadores	Graves o muy graves	2	Aragón
2012,0	5	De 500 a 999 trabajadores	Graves o muy graves	2	Aragón
2011,0	4	De 500 a 999 trabajadores	Graves o muy graves	2	Aragón
2010,0	5	De 500 a 999 trabajadores	Graves o muy graves	2	Aragón
2009,0	2	De 500 a 999 trabajadores	Graves o muy graves	2	Aragón
2008,0	2	De 500 a 999 trabajadores	Graves o muy graves	2	Aragón
2007,0	5	De 500 a 999 trabajadores	Graves o muy graves	2	Aragón
2006,0	5	De 500 a 999 trabajadores	Graves o muy graves	2	Aragón
2005,0	8	De 500 a 999 trabajadores	Graves o muy graves	2	Aragón
2004,0	4	De 500 a 999 trabajadores	Graves o muy graves	2	Aragón
2003,0	10	De 500 a 999 trabajadores	Graves o muy graves	2	Aragón
2015,0	1	De 500 a 999 trabajadores	Mortales	3	Aragón
2010,0	2	De 500 a 999 trabajadores	Mortales	3	Aragón
2009,0	1	De 500 a 999 trabajadores	Mortales	3	Aragón
2008,0	2	De 500 a 999 trabajadores	Mortales	3	Aragón
2006,0	1	De 500 a 999 trabajadores	Mortales	3	Aragón
2005,0	1	De 500 a 999 trabajadores	Mortales	3	Aragón
2003,0	1	De 500 a 999 trabajadores	Mortales	3	Aragón
2019,0	946	De 1000 a 4999 trabajadores	Leves	1	Aragón
2015,0	1005	De 1000 a 4999 trabajadores	Leves	1	Aragón
2014,0	821	De 1000 a 4999 trabajadores	Leves	1	Aragón
2013,0	782	De 1000 a 4999 trabajadores	Leves	1	Aragón
2012,0	662	De 1000 a 4999 trabajadores	Leves	1	Aragón
2011,0	806	De 1000 a 4999 trabajadores	Leves	1	Aragón
2010,0	874	De 1000 a 4999 trabajadores	Leves	1	Aragón
2009,0	921	De 1000 a 4999 trabajadores	Leves	1	Aragón
2008,0	1130	De 1000 a 4999 trabajadores	Leves	1	Aragón
2007,0	1058	De 1000 a 4999 trabajadores	Leves	1	Aragón
2006,0	1035	De 1000 a 4999 trabajadores	Leves	1	Aragón
2005,0	1000	De 1000 a 4999 trabajadores	Leves	1	Aragón
2004,0	996	De 1000 a 4999 trabajadores	Leves	1	Aragón
2003,0	1069	De 1000 a 4999 trabajadores	Leves	1	Aragón
2019,0	9	De 1000 a 4999 trabajadores	Graves o muy graves	2	Aragón
2015,0	1	De 1000 a 4999 trabajadores	Graves o muy graves	2	Aragón
2014,0	2	De 1000 a 4999 trabajadores	Graves o muy graves	2	Aragón
2013,0	4	De 1000 a 4999 trabajadores	Graves o muy graves	2	Aragón
2012,0	3	De 1000 a 4999 trabajadores	Graves o muy graves	2	Aragón
2011,0	1	De 1000 a 4999 trabajadores	Graves o muy graves	2	Aragón
2010,0	2	De 1000 a 4999 trabajadores	Graves o muy graves	2	Aragón
2009,0	3	De 1000 a 4999 trabajadores	Graves o muy graves	2	Aragón
2008,0	4	De 1000 a 4999 trabajadores	Graves o muy graves	2	Aragón
2007,0	2	De 1000 a 4999 trabajadores	Graves o muy graves	2	Aragón
2006,0	5	De 1000 a 4999 trabajadores	Graves o muy graves	2	Aragón
2005,0	7	De 1000 a 4999 trabajadores	Graves o muy graves	2	Aragón
2004,0	14	De 1000 a 4999 trabajadores	Graves o muy graves	2	Aragón
2003,0	12	De 1000 a 4999 trabajadores	Graves o muy graves	2	Aragón
2019,0	1	De 1000 a 4999 trabajadores	Mortales	3	Aragón
2014,0	1	De 1000 a 4999 trabajadores	Mortales	3	Aragón
2009,0	1	De 1000 a 4999 trabajadores	Mortales	3	Aragón
2006,0	1	De 1000 a 4999 trabajadores	Mortales	3	Aragón
2005,0	1	De 1000 a 4999 trabajadores	Mortales	3	Aragón
2003,0	1	De 1000 a 4999 trabajadores	Mortales	3	Aragón
2019,0	27	De 5000 o más trabajadores	Leves	1	Aragón
2015,0	57	De 5000 o más trabajadores	Leves	1	Aragón
2014,0	34	De 5000 o más trabajadores	Leves	1	Aragón
2013,0	32	De 5000 o más trabajadores	Leves	1	Aragón
2012,0	15	De 5000 o más trabajadores	Leves	1	Aragón
2011,0	45	De 5000 o más trabajadores	Leves	1	Aragón
2010,0	79	De 5000 o más trabajadores	Leves	1	Aragón
2009,0	34	De 5000 o más trabajadores	Leves	1	Aragón
2008,0	38	De 5000 o más trabajadores	Leves	1	Aragón
2007,0	88	De 5000 o más trabajadores	Leves	1	Aragón
2006,0	54	De 5000 o más trabajadores	Leves	1	Aragón
2005,0	33	De 5000 o más trabajadores	Leves	1	Aragón
2004,0	50	De 5000 o más trabajadores	Leves	1	Aragón
2003,0	86	De 5000 o más trabajadores	Leves	1	Aragón
2015,0	1	De 5000 o más trabajadores	Graves o muy graves	2	Aragón
2014,0	2	De 5000 o más trabajadores	Graves o muy graves	2	Aragón
2013,0	1	De 5000 o más trabajadores	Graves o muy graves	2	Aragón
2010,0	2	De 5000 o más trabajadores	Graves o muy graves	2	Aragón
2008,0	1	De 5000 o más trabajadores	Graves o muy graves	2	Aragón
2007,0	3	De 5000 o más trabajadores	Graves o muy graves	2	Aragón
2006,0	1	De 5000 o más trabajadores	Graves o muy graves	2	Aragón
2003,0	1	De 5000 o más trabajadores	Graves o muy graves	2	Aragón
2012,0	1	De 5000 o más trabajadores	Mortales	3	Aragón
2010,0	1	De 5000 o más trabajadores	Mortales	3	Aragón
2005,0	1	De 5000 o más trabajadores	Mortales	3	Aragón
