Año	Municipio código	Municipio nombre	Total ingresos	Impuestos directos	Impuestos indirectos	Tasas y otros ingresos	Transferencias corrientes	Ingresos patrimoniales	Enajenación inversiones reales	Transferencias de capital	Activos financieros	Pasivos financieros	Tipo de presupuesto	Estado de la información
2004	22143	Laspaúles	480300,0	32200,0	90000,0	30210,0	93230,0	8710,0	0,0	225950,0	0,0	0,0	Presupuestos	Consolidada
2004	22144	Laspuña	451220,52	53000,0	57242,44	88300,0	81837,58	43800,0	0,0	127040,5	0,0	0,0	Presupuestos	Consolidada
2004	22149	Loarre	902114,92	41300,0	13100,0	47801,0	89298,57	65900,0	24749,0	610965,35	0,0	9001,0	Presupuestos	Consolidada
2004	22150	Loporzano	972395,57	90427,5	0,0	37460,0	221483,96	29231,78	0,0	593792,33	0,0	0,0	Presupuestos	Consolidada
2004	22151	Loscorrales	99880,0	22442,0	0,0	1290,0	36927,0	7266,0	0,0	31955,0	0,0	0,0	Presupuestos	Consolidada
2004	22155	Monesma y Cajigar	75000,0	11200,0	0,0	1310,0	34790,0	3400,0	0,0	24300,0	0,0	0,0	Presupuestos	Consolidada
2004	22156	Monflorite-Lascasas	291950,0	46239,0	12000,0	22560,0	67070,0	605,0	0,0	137476,0	0,0	6000,0	Presupuestos	Consolidada
2004	22157	Montanuy											Presupuestos	Sin información
2004	22158	Monzón	13529948,92	3525000,0	500000,0	3405544,5	3433597,41	45807,01	0,0	1570000,0	0,0	1050000,0	Presupuestos	Consolidada
2004	22160	Naval	923704,0	138500,0	11000,0	73120,0	116480,0	7000,0	0,0	577604,0	0,0	0,0	Presupuestos	Consolidada
2004	22162	Novales											Presupuestos	Sin información
2004	22163	Nueno	661518,0	90958,0	12000,0	100001,0	86113,0	23161,0	252300,0	96985,0	0,0	0,0	Presupuestos	Consolidada
2004	22164	Olvena	1641463,3	4810,0	600,0	6375,0	28430,86	18400,0	0,0	1582847,44	0,0	0,0	Presupuestos	Consolidada
2004	22165	Ontiñena	599965,65	67522,54	0,0	76501,96	118495,16	100231,95	0,0	237214,04	0,0	0,0	Presupuestos	Consolidada
2004	22167	Osso de Cinca	645950,5	114000,0	0,0	112430,12	170500,0	21800,0	0,0	227220,38	0,0	0,0	Presupuestos	Consolidada
2004	22168	Palo	400922,37	39165,0	0,0	3009,98	25197,39	3620,0	0,0	81330,0	0,0	248600,0	Presupuestos	Consolidada
2004	22170	Panticosa	2149656,0	372000,0	529848,0	772924,0	204406,0	54866,0	0,0	215612,0	0,0	0,0	Presupuestos	Consolidada
2004	22172	Peñalba	573699,8	86904,04	5000,0	46390,92	138796,47	193052,66	0,0	103555,71	0,0	0,0	Presupuestos	Consolidada
2004	22173	Peñas de Riglos (Las)	479065,64	51000,0	0,0	20500,0	94125,64	14100,0	0,0	299340,0	0,0	0,0	Presupuestos	Consolidada
2004	22174	Peralta de Alcofea	640767,41	150786,81	827,98	144657,22	112915,3	12975,97	71803,04	96801,09	0,0	50000,0	Presupuestos	Consolidada
