Mes y año	Mes (código)	Sexo	UE28-UE27-UE25	UE28	UE27	UE25	Número de contratos	CCAA nombre
Mayo 2015	201505	Mujeres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	UNION EUROPEA	381	Aragón
Mayo 2015	201505	Mujeres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros no comunitarios	UNION EUROPEA	6	Aragón
Mayo 2015	201505	Mujeres	Extranjeros no comunitarios	Extranjeros no comunitarios	Extranjeros no comunitarios	RESTO DEL MUNDO	1675	Aragón
Mayo 2015	201505	Mujeres	No consta	No consta	No consta	No consta	1	Aragón
Abril 2015	201504	Hombres	Españoles	Españoles	Españoles	ESPAÑA	15157	Aragón
Abril 2015	201504	Hombres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	2133	Aragón
Abril 2015	201504	Hombres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	UNION EUROPEA	289	Aragón
Abril 2015	201504	Hombres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros no comunitarios	UNION EUROPEA	17	Aragón
Abril 2015	201504	Hombres	Extranjeros no comunitarios	Extranjeros no comunitarios	Extranjeros no comunitarios	RESTO DEL MUNDO	3117	Aragón
Abril 2015	201504	Mujeres	Españoles	Españoles	Españoles	ESPAÑA	13138	Aragón
Abril 2015	201504	Mujeres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	1548	Aragón
Abril 2015	201504	Mujeres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	UNION EUROPEA	239	Aragón
Abril 2015	201504	Mujeres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros no comunitarios	UNION EUROPEA	6	Aragón
Abril 2015	201504	Mujeres	Extranjeros no comunitarios	Extranjeros no comunitarios	Extranjeros no comunitarios	RESTO DEL MUNDO	1207	Aragón
Abril 2015	201504	Mujeres	No consta	No consta	No consta	No consta	2	Aragón
Marzo 2015	201503	Hombres	Españoles	Españoles	Españoles	ESPAÑA	15629	Aragón
Marzo 2015	201503	Hombres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	1703	Aragón
