Año	Nº Accidentes	Grupo	Descripción Ocupación	Sexo	Comarca Código	Comarca Nombre
2019,0	43	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres	01	La Jacetania
2019,0	24	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Hombres	02	Alto Gállego
2019,0	23	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres	02	Alto Gállego
2019,0	4	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Hombres	03	Sobrarbe
2019,0	13	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres	03	Sobrarbe
2019,0	13	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Hombres	04	La Ribagorza
2019,0	19	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres	04	La Ribagorza
2019,0	9	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Hombres	05	Cinco Villas
2019,0	22	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres	05	Cinco Villas
2019,0	64	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Hombres	06	Hoya de Huesca / Plana de Uesca
2019,0	107	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres	06	Hoya de Huesca / Plana de Uesca
2019,0	15	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Hombres	07	Somontano de Barbastro
2019,0	34	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres	07	Somontano de Barbastro
2019,0	15	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Hombres	08	Cinca Medio
2019,0	22	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres	08	Cinca Medio
2019,0	8	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Hombres	09	La Litera / La Llitera
2019,0	24	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres	09	La Litera / La Llitera
2019,0	1	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Hombres	10	Los Monegros
2019,0	18	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres	10	Los Monegros
2019,0	8	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Hombres	11	Bajo Cinca / Baix Cinca
2019,0	21	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres	11	Bajo Cinca / Baix Cinca
2019,0	8	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Hombres	12	Tarazona y el Moncayo
2019,0	17	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres	12	Tarazona y el Moncayo
2019,0	2	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Hombres	13	Campo de Borja
2019,0	20	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres	13	Campo de Borja
2019,0	11	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres	14	Aranda
2019,0	14	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Hombres	15	Ribera Alta del Ebro
2019,0	27	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres	15	Ribera Alta del Ebro
2019,0	10	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Hombres	16	Valdejalón
2019,0	26	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres	16	Valdejalón
2019,0	547	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Hombres	17	D.C. Zaragoza
2019,0	1161	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres	17	D.C. Zaragoza
2019,0	9	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres	18	Ribera Baja del Ebro
2019,0	3	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Hombres	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2019,0	10	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2019,0	19	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Hombres	20	Comunidad de Calatayud
2019,0	46	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres	20	Comunidad de Calatayud
2019,0	16	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres	21	Campo de Cariñena
2019,0	4	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres	22	Campo de Belchite
2019,0	4	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres	23	Bajo Martín
2019,0	1	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Hombres	24	Campo de Daroca
2019,0	10	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres	24	Campo de Daroca
2019,0	3	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Hombres	25	Jiloca
2019,0	9	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres	25	Jiloca
2019,0	2	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Hombres	26	Cuencas Mineras
2019,0	10	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres	26	Cuencas Mineras
2019,0	3	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Hombres	27	Andorra-Sierra de Arcos
2019,0	12	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres	27	Andorra-Sierra de Arcos
2019,0	8	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Hombres	28	Bajo Aragón
2019,0	36	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres	28	Bajo Aragón
2019,0	24	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Hombres	29	Comunidad de Teruel
2019,0	95	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres	29	Comunidad de Teruel
2019,0	2	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres	30	Maestrazgo
2019,0	1	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Hombres	31	Sierra de Albarracín
2019,0	8	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres	31	Sierra de Albarracín
2019,0	2	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Hombres	32	Gúdar-Javalambre
2019,0	4	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres	32	Gúdar-Javalambre
2019,0	1	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Hombres	33	Matarraña / Matarranya
2019,0	9	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres	33	Matarraña / Matarranya
2019,0	2	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Hombres	NC	Municipio del centro de trabajo fuera de Aragón
2019,0	2	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres	NC	Municipio del centro de trabajo fuera de Aragón
2019,0	11	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Hombres	01	La Jacetania
2019,0	2	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Mujeres	01	La Jacetania
2019,0	2	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Hombres	02	Alto Gállego
2019,0	3	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Hombres	03	Sobrarbe
2019,0	19	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Hombres	04	La Ribagorza
2019,0	42	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Hombres	05	Cinco Villas
2019,0	4	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Mujeres	05	Cinco Villas
2019,0	41	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Hombres	06	Hoya de Huesca / Plana de Uesca
2019,0	4	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Mujeres	06	Hoya de Huesca / Plana de Uesca
2019,0	14	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Hombres	07	Somontano de Barbastro
2019,0	1	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Mujeres	07	Somontano de Barbastro
2019,0	18	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Hombres	08	Cinca Medio
2019,0	4	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Mujeres	08	Cinca Medio
2019,0	29	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Hombres	09	La Litera / La Llitera
2019,0	3	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Mujeres	09	La Litera / La Llitera
2019,0	19	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Hombres	10	Los Monegros
2019,0	2	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Mujeres	10	Los Monegros
2019,0	53	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Hombres	11	Bajo Cinca / Baix Cinca
2019,0	3	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Mujeres	11	Bajo Cinca / Baix Cinca
2019,0	4	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Hombres	12	Tarazona y el Moncayo
2019,0	14	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Hombres	13	Campo de Borja
2019,0	10	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Hombres	15	Ribera Alta del Ebro
2019,0	13	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Hombres	16	Valdejalón
2019,0	2	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Mujeres	16	Valdejalón
2019,0	60	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Hombres	17	D.C. Zaragoza
2019,0	14	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Mujeres	17	D.C. Zaragoza
2019,0	4	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Hombres	18	Ribera Baja del Ebro
2019,0	1	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Mujeres	18	Ribera Baja del Ebro
2019,0	12	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Hombres	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2019,0	3	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Mujeres	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2019,0	12	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Hombres	20	Comunidad de Calatayud
2019,0	3	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Mujeres	20	Comunidad de Calatayud
2019,0	14	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Hombres	21	Campo de Cariñena
2019,0	3	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Hombres	22	Campo de Belchite
2019,0	3	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Hombres	23	Bajo Martín
2019,0	1	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Mujeres	23	Bajo Martín
2019,0	6	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Hombres	24	Campo de Daroca
2019,0	10	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Hombres	25	Jiloca
2019,0	2	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Mujeres	25	Jiloca
2019,0	4	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Hombres	26	Cuencas Mineras
2019,0	2	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Mujeres	26	Cuencas Mineras
2019,0	20	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Hombres	28	Bajo Aragón
2019,0	4	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Mujeres	28	Bajo Aragón
2019,0	32	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Hombres	29	Comunidad de Teruel
