Año	Nº Accidentes	Código	Municipio	Ord_Temporalidad	Temporalidad	Sector Código	Sector Descripción
2004,0	6	22158	Monzón	1	Indefinido	1	Agricultura, ganadería y pesca
2004,0	3	22158	Monzón	2	Temporal	1	Agricultura, ganadería y pesca
2004,0	73	22158	Monzón	1	Indefinido	2	Industria y energía
2004,0	44	22158	Monzón	2	Temporal	2	Industria y energía
2004,0	17	22158	Monzón	1	Indefinido	3	Construcción
2004,0	51	22158	Monzón	2	Temporal	3	Construcción
2004,0	48	22158	Monzón	1	Indefinido	4	Servicios
2004,0	38	22158	Monzón	2	Temporal	4	Servicios
2004,0	1	22199	Sabiñánigo	1	Indefinido	1	Agricultura, ganadería y pesca
2004,0	19	22199	Sabiñánigo	1	Indefinido	2	Industria y energía
2004,0	13	22199	Sabiñánigo	2	Temporal	2	Industria y energía
2004,0	12	22199	Sabiñánigo	1	Indefinido	3	Construcción
2004,0	33	22199	Sabiñánigo	2	Temporal	3	Construcción
2004,0	17	22199	Sabiñánigo	1	Indefinido	4	Servicios
2004,0	20	22199	Sabiñánigo	2	Temporal	4	Servicios
2004,0	6	44013	Alcañiz	1	Indefinido	1	Agricultura, ganadería y pesca
2004,0	5	44013	Alcañiz	2	Temporal	1	Agricultura, ganadería y pesca
2004,0	39	44013	Alcañiz	1	Indefinido	2	Industria y energía
2004,0	27	44013	Alcañiz	2	Temporal	2	Industria y energía
2004,0	22	44013	Alcañiz	1	Indefinido	3	Construcción
2004,0	50	44013	Alcañiz	2	Temporal	3	Construcción
2004,0	36	44013	Alcañiz	1	Indefinido	4	Servicios
2004,0	30	44013	Alcañiz	2	Temporal	4	Servicios
2004,0	1	44025	Andorra	1	Indefinido	1	Agricultura, ganadería y pesca
2004,0	41	44025	Andorra	1	Indefinido	2	Industria y energía
2004,0	3	44025	Andorra	2	Temporal	2	Industria y energía
2004,0	3	44025	Andorra	1	Indefinido	3	Construcción
2004,0	23	44025	Andorra	2	Temporal	3	Construcción
2004,0	21	44025	Andorra	1	Indefinido	4	Servicios
2004,0	13	44025	Andorra	2	Temporal	4	Servicios
