Año	Municipio código	Municipio nombre	Tipo de presupuesto	Estado de la información	Total gastos	Gastos de personal	Gastos en bienes corrientes y servicios	Gastos financieros	Transferencias corrientes	Inversiones reales	Transferencias de capital	Activos financieros	Pasivos financieros	Gastos, fondo de contingencia
2004	22160	Naval	Presupuestos	Consolidada	923704,0	89800,0	157370,0	1500,0	35200,0	632734,0	0,0	0,0	7100,0	
2004	22162	Novales	Presupuestos	Sin información										
2004	22163	Nueno	Presupuestos	Consolidada	661518,0	70100,0	191206,0	500,0	46342,0	353370,0	0,0	0,0	0,0	
2004	22164	Olvena	Presupuestos	Consolidada	1641463,3	3396,95	169256,14	400,0	7500,0	1460910,21	0,0	0,0	0,0	
2004	22165	Ontiñena	Presupuestos	Consolidada	599965,45	81993,88	175213,15	4200,0	73718,06	257021,36	0,0	0,0	7819,0	
2004	22167	Osso de Cinca	Presupuestos	Consolidada	645950,5	69000,0	216720,09	5371,71	92500,0	251337,64	0,0	0,0	11021,06	
2004	22168	Palo	Presupuestos	Consolidada	400922,37	3800,0	43000,0	13489,03	19000,0	103550,0	0,0	0,0	218083,34	
2004	22170	Panticosa	Presupuestos	Consolidada	2149656,0	320000,0	502650,0	3900,0	19306,0	1279800,0	0,0	0,0	24000,0	
2004	22172	Peñalba	Presupuestos	Consolidada	573699,8	115579,64	251950,46	175,01	60606,62	145388,07	0,0	0,0	0,0	
2004	22173	Peñas de Riglos (Las)	Presupuestos	Consolidada	479065,64	3150,0	78412,14	1000,0	30500,0	366003,5	0,0	0,0	0,0	
2004	22174	Peralta de Alcofea	Presupuestos	Consolidada	640767,41	89917,7	193347,34	5725,77	31946,24	299563,36	0,0	0,0	20267,0	
2004	22175	Peralta de Calasanz	Presupuestos	Consolidada	309193,0	53501,0	64519,0	1991,0	16054,0	164940,0	0,0	0,0	8188,0	
2004	22176	Peraltilla	Presupuestos	Consolidada	435800,0	27900,0	41940,0	2000,0	5660,0	350000,0	0,0	0,0	8300,0	
