Municipio código	Municipio nombre	Año	Orden	Siglas	Concejales
44256	Villanueva del Rebollar de la Sierra	2007	2	PP	0,0
44256	Villanueva del Rebollar de la Sierra	2007	3	PAR	1,0
44256	Villanueva del Rebollar de la Sierra	2011	1	PP	0,0
44256	Villanueva del Rebollar de la Sierra	2011	7	COMPROMISO CON ARAGON	3,0
44256	Villanueva del Rebollar de la Sierra	2015	5	PAR	3,0
44256	Villanueva del Rebollar de la Sierra	2015	6	PSOE	0,0
44257	Villar del Cobo	2007	1	PSOE	3,0
44257	Villar del Cobo	2007	2	PP	1,0
44257	Villar del Cobo	2007	3	PAR	1,0
44257	Villar del Cobo	2007	4	CHA	0,0
44257	Villar del Cobo	2007	5	IU	0,0
44257	Villar del Cobo	2011	1	PP	1,0
44257	Villar del Cobo	2011	2	PSOE	4,0
44257	Villar del Cobo	2011	3	PAR	0,0
44257	Villar del Cobo	2011	4	CHA	0,0
44257	Villar del Cobo	2015	5	PAR	2,0
44257	Villar del Cobo	2015	6	PSOE	1,0
44257	Villar del Cobo	2015	7	CHA	0,0
44257	Villar del Cobo	2015	8	PP	2,0
44258	Villar del Salz	2007	1	PSOE	0,0
44258	Villar del Salz	2007	2	PP	1,0
44258	Villar del Salz	2007	3	PAR	0,0
44258	Villar del Salz	2007	4	CHA	0,0
44258	Villar del Salz	2011	1	PP	2,0
44258	Villar del Salz	2011	2	PSOE	0,0
44258	Villar del Salz	2011	3	PAR	1,0
44258	Villar del Salz	2015	5	PAR	1,0
44258	Villar del Salz	2015	6	PSOE	0,0
44258	Villar del Salz	2015	8	PP	2,0
44260	Villarluengo	2007	1	PSOE	0,0
44260	Villarluengo	2007	2	PP	5,0
44260	Villarluengo	2007	3	PAR	0,0
44260	Villarluengo	2007	4	CHA	0,0
44260	Villarluengo	2007	5	IU	0,0
44260	Villarluengo	2011	1	PP	4,0
44260	Villarluengo	2011	2	PSOE	1,0
44260	Villarluengo	2011	3	PAR	0,0
44260	Villarluengo	2011	4	CHA	0,0
44260	Villarluengo	2015	5	PAR	1,0
44260	Villarluengo	2015	6	PSOE	1,0
44260	Villarluengo	2015	8	PP	3,0
44261	Villarquemado	2007	1	PSOE	4,0
44261	Villarquemado	2007	2	PP	1,0
44261	Villarquemado	2007	4	CHA	2,0
44261	Villarquemado	2011	1	PP	3,0
44261	Villarquemado	2011	2	PSOE	4,0
44261	Villarquemado	2011	3	PAR	0,0
44261	Villarquemado	2015	6	PSOE	4,0
44261	Villarquemado	2015	8	PP	3,0
44262	Villarroya de los Pinares	2007	1	PSOE	0,0
44262	Villarroya de los Pinares	2007	2	PP	4,0
44262	Villarroya de los Pinares	2007	3	PAR	1,0
44262	Villarroya de los Pinares	2007	4	CHA	0,0
44262	Villarroya de los Pinares	2007	5	IU	0,0
