Año	Municipio código	Municipio nombre	Rústica   Base imponible (miles de euros)	Rústica   Cuota (euros)
2001	44194	Ráfales	212,71	638,0
2001	44195	Rillo	669,09	3279,0
2001	44196	Riodeva	151,66	607,0
2001	44197	Ródenas	458,45	1375,0
2001	44198	Royuela	324,72	2111,0
2001	44199	Rubiales	68,58	206,0
2001	44200	Rubielos de la Cérida	604,2	2417,0
2001	44201	Rubielos de Mora	677,05	4062,0
2001	44203	Salcedillo	175,28	1402,0
2001	44204	Saldón	169,0	507,0
2001	44205	Samper de Calanda	4465,23	24559,0
2001	44206	San Agustín	750,53	4878,0
2001	44207	San Martín del Río	533,42	3467,0
2001	44208	Santa Cruz de Nogueras	187,19	936,0
2001	44209	Santa Eulalia	3183,5	12734,0
2001	44210	Sarrión	495,53	3221,0
2001	44211	Segura de los Baños	602,31	2409,0
2001	44212	Seno	174,28	871,0
2001	44213	Singra	1694,32	11013,0
2001	44215	Terriente	323,92	972,0
2001	44216	Teruel	9534,15	45764,0
2001	44217	Toril y Masegoso	87,01	261,0
2001	44218	Tormón	41,37	124,0
2001	44219	Tornos	906,42	4532,0
2001	44220	Torralba de los Sisones	1141,92	4568,0
2001	44221	Torrecilla de Alcañiz	369,87	1479,0
2001	44222	Torrecilla del Rebollar	1254,84	5019,0
2001	44223	Torre de Arcas	185,36	1483,0
2001	44224	Torre de las Arcas	258,84	1346,0
2001	44225	Torre del Compte	534,57	2673,0
2001	44226	Torrelacárcel	1223,04	9784,0
2001	44227	Torre los Negros	640,63	3203,0
2001	44228	Torremocha de Jiloca	799,89	6399,0
2001	44229	Torres de Albarracín	202,11	606,0
2001	44230	Torrevelilla	157,28	1022,0
2001	44231	Torrijas	294,07	1764,0
2001	44232	Torrijo del Campo	1423,41	7117,0
2001	44234	Tramacastiel	271,99	1632,0
2001	44235	Tramacastilla	227,44	682,0
2001	44236	Tronchón	805,22	2818,0
2001	44237	Urrea de Gaén	1457,26	6558,0
2001	44238	Utrillas	309,56	2012,0
2001	44239	Valacloche	74,09	445,0
2001	44240	Valbona	445,37	2672,0
2001	44241	Valdealgorfa	615,03	2460,0
2001	44243	Valdecuenca	116,62	350,0
2001	44244	Valdelinares	669,55	2009,0
2001	44245	Valdeltormo	203,08	914,0
2001	44246	Valderrobres	2363,83	14183,0
2001	44247	Valjunquera	680,74	3404,0
2001	44249	Vallecillo (El)	91,93	276,0
2001	44250	Veguillas de la Sierra	43,9	132,0
2001	44251	Villafranca del Campo	3093,84	18563,0
2001	44252	Villahermosa del Campo	557,94	4464,0
2001	44256	Villanueva del Rebollar de la Sierra	408,26	1633,0
2001	44257	Villar del Cobo	340,6	1022,0
2001	44258	Villar del Salz	260,91	1565,0
2001	44260	Villarluengo	1600,98	4803,0
2001	44261	Villarquemado	4104,31	18469,0
2001	44262	Villarroya de los Pinares	626,46	4072,0
2001	44263	Villastar	902,68	5867,0
2001	44264	Villel	1017,21	8138,0
2001	44265	Vinaceite	2062,29	16498,0
