Año	Comarca código	Comarca nombre	Residencial	BI Almacén, estacionamiento	BI Comercial	BI Ocio, hostelería	BI Industrial	BI Cultural	BI Deportivo	BI Oficinas	BI Edificios singulares	BI Religioso	BI Espectáculos	BI Sin definir	BI Suelo vacante	BI Sanidad, benefic	Total
2008	15	Ribera Alta del Ebro	12735,0	1037,0	230,0	23,0	2533,0	30,0	33,0	104,0	17,0	31,0	4,0	6635,0	2572,0	21,0	19370,0
2008	16	Valdejalón	14191,0	716,0	214,0	39,0	4598,0	28,0	49,0	70,0	14,0	32,0	6,0	8551,0	2771,0	14,0	22742,0
2008	17	D.C. Zaragoza	328606,0	113231,0	20203,0	498,0	22998,0	489,0	385,0	4878,0	117,0	214,0	41,0	175630,0	12228,0	348,0	504236,0
2008	18	Ribera Baja del Ebro	5592,0	104,0	51,0	21,0	1330,0	10,0	27,0	13,0	10,0	26,0	0,0	2655,0	1058,0	5,0	8247,0
2008	19	Bajo Aragón-Caspe / Baix Aragó-Casp	7944,0	828,0	202,0	17,0	2162,0	22,0	23,0	18,0	10,0	23,0	4,0	4789,0	1467,0	13,0	12733,0
2008	20	Comunidad de Calatayud	32557,0	4836,0	826,0	45,0	7042,0	76,0	66,0	99,0	53,0	198,0	11,0	17948,0	4668,0	28,0	50505,0
2008	21	Campo de Cariñena	7208,0	299,0	61,0	14,0	1889,0	22,0	19,0	16,0	11,0	32,0	9,0	3634,0	1260,0	2,0	10842,0
2008	22	Campo de Belchite	5553,0	6,0	19,0	8,0	1006,0	11,0	8,0	7,0	25,0	28,0	3,0	1660,0	535,0	4,0	7213,0
2008	23	Bajo Martín	5747,0	387,0	48,0	11,0	669,0	12,0	10,0	10,0	10,0	26,0	2,0	2428,0	1233,0	10,0	8175,0
2008	24	Campo de Daroca	8475,0	166,0	52,0	56,0	1569,0	36,0	22,0	10,0	26,0	70,0	0,0	3328,0	1314,0	7,0	11803,0
2008	25	Jiloca	13071,0	831,0	102,0	26,0	3131,0	31,0	19,0	23,0	33,0	91,0	3,0	7291,0	2992,0	9,0	20362,0
2008	26	Cuencas Mineras	7876,0	862,0	108,0	20,0	2995,0	20,0	26,0	18,0	32,0	55,0	1,0	5871,0	1725,0	9,0	13747,0
2008	27	Andorra-Sierra de Arcos	7215,0	1221,0	108,0	17,0	1391,0	19,0	12,0	30,0	7,0	29,0	3,0	3668,0	822,0	9,0	10883,0
2008	28	Bajo Aragón	17107,0	4552,0	515,0	31,0	2739,0	39,0	38,0	81,0	24,0	55,0	9,0	10906,0	2807,0	16,0	28013,0
2008	29	Comunidad de Teruel	25327,0	8624,0	737,0	45,0	4516,0	77,0	36,0	192,0	75,0	120,0	5,0	19538,0	5084,0	27,0	44865,0
2008	30	Maestrazgo	3630,0	142,0	29,0	14,0	2023,0	13,0	5,0	2,0	26,0	63,0	3,0	2931,0	608,0	3,0	6561,0
2008	31	Sierra de Albarracín	6519,0	296,0	27,0	28,0	563,0	17,0	13,0	8,0	19,0	53,0	3,0	3234,0	2199,0	8,0	9753,0
2008	32	Gúdar-Javalambre	11087,0	786,0	54,0	44,0	2378,0	31,0	31,0	13,0	34,0	70,0	1,0	7308,0	3854,0	12,0	18395,0
2008	33	Matarraña / Matarranya	7269,0	319,0	31,0	29,0	1188,0	34,0	27,0	8,0	19,0	43,0	4,0	3154,0	1443,0	9,0	10423,0
2009	01	La Jacetania	23795,0	12548,0	934,0	427,0	3256,0	32,0	38,0	90,0	40,0	104,0	1,0	19651,0	2165,0	16,0	43446,0
2009	02	Alto Gállego	16847,0	8230,0	471,0	198,0	2009,0	20,0	33,0	48,0	14,0	71,0	6,0	13026,0	1913,0	13,0	29873,0
2009	03	Sobrarbe	5881,0	945,0	161,0	102,0	1985,0	20,0	24,0	21,0	38,0	122,0	1,0	4750,0	1326,0	5,0	10631,0
