Año	Municipio código	Municipio nombre	Residencial	BI Almacén, estacionamiento	BI Comercial	BI Ocio, hostelería	BI Industrial	BI Cultural	BI Deportivo	BI Oficinas	BI Edificios singulares	BI Religioso	BI Espectáculos	BI Sin definir	BI Suelo vacante	BI Sanidad, benefic	Total
2003	44168	Odón	283,0											81,0			364,0
2003	44169	Ojos Negros	584,0											310,0			894,0
2003	44171	Olba	659,0											229,0			888,0
2003	44172	Oliete	769,0											85,0			854,0
2003	44173	Olmos (Los)	127,0											139,0			266,0
2003	44174	Orihuela del Tremedal	645,0											230,0			875,0
2003	44175	Orrios	118,0											94,0			212,0
2003	44176	Palomar de Arroyos	180,0											114,0			294,0
2003	44177	Pancrudo	186,0											198,0			384,0
2003	44178	Parras de Castellote (Las)	172,0											196,0			368,0
2003	44179	Peñarroya de Tastavins	442,0											68,0			510,0
2003	44180	Peracense	162,0											30,0			192,0
2003	44181	Peralejos	96,0											30,0			126,0
2003	44182	Perales del Alfambra	227,0											121,0			348,0
2003	44183	Pitarque	151,0											110,0			261,0
2003	44184	Plou	81,0											96,0			177,0
2003	44185	Pobo (El)	168,0											25,0			193,0
2003	44187	Portellada (La)	189,0											143,0			332,0
2003	44189	Pozondón	189,0											26,0			215,0
2003	44190	Pozuel del Campo	156,0											159,0			315,0
2003	44191	Puebla de Híjar (La)	887,0											307,0			1194,0
2003	44192	Puebla de Valverde (La)	364,0											299,0			663,0
2003	44193	Puertomingalvo	266,0											49,0			315,0
2003	44194	Ráfales	158,0											163,0			321,0
2003	44195	Rillo	119,0											76,0			195,0
2003	44196	Riodeva	212,0											439,0			651,0
2003	44197	Ródenas	200,0											36,0			236,0
2003	44198	Royuela	371,0											94,0			465,0
2003	44199	Rubiales	63,0											56,0			119,0
2003	44200	Rubielos de la Cérida	68,0											106,0			174,0
2003	44201	Rubielos de Mora	680,0											603,0			1283,0
2003	44203	Salcedillo	21,0											44,0			65,0
2003	44204	Saldón	179,0											27,0			206,0
2003	44205	Samper de Calanda	843,0											137,0			980,0
2003	44206	San Agustín	314,0											82,0			396,0
2003	44207	San Martín del Río	517,0											118,0			635,0
2003	44208	Santa Cruz de Nogueras	51,0											87,0			138,0
2003	44209	Santa Eulalia	770,0											386,0			1156,0
2003	44210	Sarrión	1173,0											650,0			1823,0
2003	44211	Segura de los Baños	123,0											107,0			230,0
2003	44212	Seno	74,0											78,0			152,0
2003	44213	Singra	93,0											111,0			204,0
2003	44215	Terriente	245,0											26,0			271,0
