Año	Provincia código	Provincia nombre	Tipo licencias código	Tipo licencias descripción	Licencias
2010	22	Huesca	VD-N	Transporte de viajeros nacionales servicio público	295
2010	22	Huesca	VS-N	Ambulancias nacionales servicio público	34
2010	22	Huesca	VT-N	Licencias taxi	229
2010	22	Huesca	MDL-N	Transporte mercancías ligeras nacionales servicio público	256
2010	22	Huesca	MDP-N	Transporte mercancías pesadas nacionales servicio público	2657
2010	22	Huesca	MPC-N	Transporte mercancías propias nacional	960
2010	22	Huesca	VPC-N	Transporte privado de viajeros nacional	11
2010	22	Huesca	VTC-N	Transporte de alquiler con conductor nacional	4
2010	22	Huesca	MDLE-N	Transporte mercancías ligeras nacional servicio público autorizado por empresa	155
2010	22	Huesca	MDPE-N	Transporte mercancías pesadas nacinal servicio público autorizado por empresa	628
2010	22	Huesca	MPCE-N	transporte mercancías propias nacional autorizado por empresa	552
2010	22	Huesca	VSPC-N	Transporte privado ambulancias nacional	16
2010	44	Teruel	OT	Operaciones de transporte	25
2010	44	Teruel	VD-N	Transporte de viajeros nacionales servicio público	95
2010	44	Teruel	VS-N	Ambulancias nacionales servicio público	22
2010	44	Teruel	VT-N	Licencias taxi	82
2010	44	Teruel	MDL-N	Transporte mercancías ligeras nacionales servicio público	175
2010	44	Teruel	MDP-N	Transporte mercancías pesadas nacionales servicio público	1628
2010	44	Teruel	MPC-N	Transporte mercancías propias nacional	730
2010	44	Teruel	VPC-N	Transporte privado de viajeros nacional	22
2010	44	Teruel	VTC-N	Transporte de alquiler con conductor nacional	48
2010	44	Teruel	MDLE-N	Transporte mercancías ligeras nacional servicio público autorizado por empresa	171
2010	44	Teruel	MDPE-N	Transporte mercancías pesadas nacinal servicio público autorizado por empresa	377
2010	44	Teruel	MPCE-N	transporte mercancías propias nacional autorizado por empresa	322
2010	44	Teruel	VSPC-N	Transporte privado ambulancias nacional	0
2010	50	Zaragoza	OT	Operaciones de transporte	201
2010	50	Zaragoza	VD-N	Transporte de viajeros nacionales servicio público	655
2010	50	Zaragoza	VS-N	Ambulancias nacionales servicio público	210
2010	50	Zaragoza	VT-N	Licencias taxi	1929
2010	50	Zaragoza	MDL-N	Transporte mercancías ligeras nacionales servicio público	1857
2010	50	Zaragoza	MDP-N	Transporte mercancías pesadas nacionales servicio público	7379
2010	50	Zaragoza	MPC-N	Transporte mercancías propias nacional	2191
2010	50	Zaragoza	VPC-N	Transporte privado de viajeros nacional	22
2010	50	Zaragoza	VTC-N	Transporte de alquiler con conductor nacional	130
2010	50	Zaragoza	MDLE-N	Transporte mercancías ligeras nacional servicio público autorizado por empresa	1089
2010	50	Zaragoza	MDPE-N	Transporte mercancías pesadas nacinal servicio público autorizado por empresa	1433
2010	50	Zaragoza	MPCE-N	transporte mercancías propias nacional autorizado por empresa	1203
2010	50	Zaragoza	VSPC-N	Transporte privado ambulancias nacional	25
