Mes y año	Mes (código)	Mes nombre	Comarca código	Comarca nombre	Sección (1 letra) código	Sección (1 letra) descripción	Clasificación	Sexo	Número de contratos
Agosto 2021	202108	Agosto	06	Hoya de Huesca / Plana de Uesca	E	Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación	CNAE - 2009	Hombres	8
Agosto 2021	202108	Agosto	06	Hoya de Huesca / Plana de Uesca	E	Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación	CNAE - 2009	Mujeres	1
Agosto 2021	202108	Agosto	06	Hoya de Huesca / Plana de Uesca	F	Construcción	CNAE - 2009	Hombres	93
Agosto 2021	202108	Agosto	06	Hoya de Huesca / Plana de Uesca	F	Construcción	CNAE - 2009	Mujeres	5
Agosto 2021	202108	Agosto	06	Hoya de Huesca / Plana de Uesca	G	Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas	CNAE - 2009	Hombres	84
Agosto 2021	202108	Agosto	06	Hoya de Huesca / Plana de Uesca	G	Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas	CNAE - 2009	Mujeres	102
Agosto 2021	202108	Agosto	06	Hoya de Huesca / Plana de Uesca	H	Transporte y almacenamiento	CNAE - 2009	Hombres	195
Agosto 2021	202108	Agosto	06	Hoya de Huesca / Plana de Uesca	H	Transporte y almacenamiento	CNAE - 2009	Mujeres	143
Agosto 2021	202108	Agosto	06	Hoya de Huesca / Plana de Uesca	I	Hostelería	CNAE - 2009	Hombres	257
Agosto 2021	202108	Agosto	06	Hoya de Huesca / Plana de Uesca	I	Hostelería	CNAE - 2009	Mujeres	257
Agosto 2021	202108	Agosto	06	Hoya de Huesca / Plana de Uesca	J	Información y comunicaciones	CNAE - 2009	Hombres	3
Agosto 2021	202108	Agosto	06	Hoya de Huesca / Plana de Uesca	J	Información y comunicaciones	CNAE - 2009	Mujeres	1
Agosto 2021	202108	Agosto	06	Hoya de Huesca / Plana de Uesca	K	Actividades financieras y de seguros	CNAE - 2009	Hombres	1
Agosto 2021	202108	Agosto	06	Hoya de Huesca / Plana de Uesca	K	Actividades financieras y de seguros	CNAE - 2009	Mujeres	2
Agosto 2021	202108	Agosto	06	Hoya de Huesca / Plana de Uesca	L	Actividades inmobiliarias	CNAE - 2009	Mujeres	1
Agosto 2021	202108	Agosto	06	Hoya de Huesca / Plana de Uesca	M	Actividades profesionales, científicas y técnicas	CNAE - 2009	Hombres	14
Agosto 2021	202108	Agosto	06	Hoya de Huesca / Plana de Uesca	M	Actividades profesionales, científicas y técnicas	CNAE - 2009	Mujeres	13
Agosto 2021	202108	Agosto	06	Hoya de Huesca / Plana de Uesca	N	Actividades administrativas y servicios auxiliares	CNAE - 2009	Hombres	100
Agosto 2021	202108	Agosto	06	Hoya de Huesca / Plana de Uesca	N	Actividades administrativas y servicios auxiliares	CNAE - 2009	Mujeres	245
Agosto 2021	202108	Agosto	06	Hoya de Huesca / Plana de Uesca	O	Administración Pública y defensa; Seguridad Social obligatoria	CNAE - 2009	Hombres	14
Agosto 2021	202108	Agosto	06	Hoya de Huesca / Plana de Uesca	O	Administración Pública y defensa; Seguridad Social obligatoria	CNAE - 2009	Mujeres	6
Agosto 2021	202108	Agosto	06	Hoya de Huesca / Plana de Uesca	P	Educación	CNAE - 2009	Hombres	19
Agosto 2021	202108	Agosto	06	Hoya de Huesca / Plana de Uesca	P	Educación	CNAE - 2009	Mujeres	16
Agosto 2021	202108	Agosto	06	Hoya de Huesca / Plana de Uesca	Q	Actividades sanitarias y de servicios sociales	CNAE - 2009	Hombres	27
