Año	Nº Accidentes	Grupo	Descripción ocupación	Sexo	Código	Municipio
2010,0	10	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Mujeres	44025	Andorra
2010,0	56	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Mujeres	44216	Teruel
2010,0	7	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Mujeres	50008	Alagón
2010,0	20	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Mujeres	50025	Almunia de Doña Godina (La)
2010,0	17	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Mujeres	50067	Calatayud
2010,0	12	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Mujeres	50074	Caspe
2010,0	8	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Mujeres	50089	Cuarte de Huerva
2010,0	7	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Mujeres	50095	Ejea de los Caballeros
2010,0	1	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Mujeres	50163	María de Huerva
2010,0	6	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Mujeres	50182	Muela (La)
2010,0	2	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Mujeres	50219	Puebla de Alfindén (La)
2010,0	9	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Mujeres	50251	Tarazona
2010,0	1	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Mujeres	50252	Tauste
2010,0	8	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Mujeres	50272	Utebo
2010,0	986	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Mujeres	50297	Zaragoza
2010,0	10	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Mujeres	50298	Zuera
2010,0	2	6	Trabajadores cualificados en la agricultura y en la pesca	Hombres	22048	Barbastro
2010,0	3	6	Trabajadores cualificados en la agricultura y en la pesca	Hombres	22061	Binéfar
2010,0	11	6	Trabajadores cualificados en la agricultura y en la pesca	Hombres	22112	Fraga
2010,0	4	6	Trabajadores cualificados en la agricultura y en la pesca	Hombres	22125	Huesca
2010,0	4	6	Trabajadores cualificados en la agricultura y en la pesca	Hombres	22130	Jaca
2010,0	2	6	Trabajadores cualificados en la agricultura y en la pesca	Hombres	22199	Sabiñánigo
2010,0	5	6	Trabajadores cualificados en la agricultura y en la pesca	Hombres	44013	Alcañiz
2010,0	1	6	Trabajadores cualificados en la agricultura y en la pesca	Hombres	44025	Andorra
2010,0	7	6	Trabajadores cualificados en la agricultura y en la pesca	Hombres	44216	Teruel
2010,0	2	6	Trabajadores cualificados en la agricultura y en la pesca	Hombres	50008	Alagón
2010,0	5	6	Trabajadores cualificados en la agricultura y en la pesca	Hombres	50025	Almunia de Doña Godina (La)
2010,0	2	6	Trabajadores cualificados en la agricultura y en la pesca	Hombres	50067	Calatayud
2010,0	3	6	Trabajadores cualificados en la agricultura y en la pesca	Hombres	50074	Caspe
2010,0	1	6	Trabajadores cualificados en la agricultura y en la pesca	Hombres	50089	Cuarte de Huerva
2010,0	16	6	Trabajadores cualificados en la agricultura y en la pesca	Hombres	50095	Ejea de los Caballeros
2010,0	1	6	Trabajadores cualificados en la agricultura y en la pesca	Hombres	50182	Muela (La)
2010,0	2	6	Trabajadores cualificados en la agricultura y en la pesca	Hombres	50219	Puebla de Alfindén (La)
2010,0	6	6	Trabajadores cualificados en la agricultura y en la pesca	Hombres	50251	Tarazona
2010,0	14	6	Trabajadores cualificados en la agricultura y en la pesca	Hombres	50252	Tauste
2010,0	3	6	Trabajadores cualificados en la agricultura y en la pesca	Hombres	50272	Utebo
2010,0	48	6	Trabajadores cualificados en la agricultura y en la pesca	Hombres	50297	Zaragoza
2010,0	1	6	Trabajadores cualificados en la agricultura y en la pesca	Hombres	50298	Zuera
2010,0	1	6	Trabajadores cualificados en la agricultura y en la pesca	Mujeres	22158	Monzón
2010,0	1	6	Trabajadores cualificados en la agricultura y en la pesca	Mujeres	44013	Alcañiz
2010,0	1	6	Trabajadores cualificados en la agricultura y en la pesca	Mujeres	44025	Andorra
2010,0	1	6	Trabajadores cualificados en la agricultura y en la pesca	Mujeres	44216	Teruel
2010,0	1	6	Trabajadores cualificados en la agricultura y en la pesca	Mujeres	50025	Almunia de Doña Godina (La)
2010,0	2	6	Trabajadores cualificados en la agricultura y en la pesca	Mujeres	50089	Cuarte de Huerva
2010,0	2	6	Trabajadores cualificados en la agricultura y en la pesca	Mujeres	50095	Ejea de los Caballeros
2010,0	1	6	Trabajadores cualificados en la agricultura y en la pesca	Mujeres	50252	Tauste
2010,0	3	6	Trabajadores cualificados en la agricultura y en la pesca	Mujeres	50297	Zaragoza
2010,0	2	6	Trabajadores cualificados en la agricultura y en la pesca	Mujeres	50298	Zuera
2010,0	41	7	Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria	Hombres	22048	Barbastro
2010,0	78	7	Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria	Hombres	22061	Binéfar
2010,0	36	7	Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria	Hombres	22112	Fraga
2010,0	175	7	Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria	Hombres	22125	Huesca
2010,0	23	7	Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria	Hombres	22130	Jaca
2010,0	104	7	Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria	Hombres	22158	Monzón
2010,0	26	7	Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria	Hombres	22199	Sabiñánigo
2010,0	63	7	Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria	Hombres	44013	Alcañiz
2010,0	42	7	Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria	Hombres	44025	Andorra
2010,0	107	7	Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria	Hombres	44216	Teruel
2010,0	23	7	Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria	Hombres	50008	Alagón
2010,0	19	7	Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria	Hombres	50025	Almunia de Doña Godina (La)
2010,0	35	7	Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria	Hombres	50067	Calatayud
2010,0	20	7	Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria	Hombres	50074	Caspe
2010,0	108	7	Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria	Hombres	50089	Cuarte de Huerva
2010,0	66	7	Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria	Hombres	50095	Ejea de los Caballeros
2010,0	9	7	Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria	Hombres	50163	María de Huerva
2010,0	76	7	Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria	Hombres	50182	Muela (La)
2010,0	87	7	Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria	Hombres	50219	Puebla de Alfindén (La)
2010,0	46	7	Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria	Hombres	50251	Tarazona
2010,0	30	7	Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria	Hombres	50252	Tauste
2010,0	77	7	Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria	Hombres	50272	Utebo
2010,0	1581	7	Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria	Hombres	50297	Zaragoza
2010,0	19	7	Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria	Hombres	50298	Zuera
2010,0	1	7	Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria	Mujeres	22048	Barbastro
