Mes y año	Mes (código)	Mes nombre	Año	Comarca código	Comarca nombre	Sexo	Número de contratos	Número trabajadores (CC)
Septiembre 2021	202109	Septiembre	2021	14	Aranda	Mujeres	10	01 De 1 a 9 trabajadores
Septiembre 2021	202109	Septiembre	2021	14	Aranda	Hombres	8	02 De 10 a 19 trabajadores
Septiembre 2021	202109	Septiembre	2021	14	Aranda	Mujeres	9	02 De 10 a 19 trabajadores
Septiembre 2021	202109	Septiembre	2021	14	Aranda	Hombres	19	03 De 20 a 49 trabajadores
Septiembre 2021	202109	Septiembre	2021	14	Aranda	Mujeres	21	03 De 20 a 49 trabajadores
Septiembre 2021	202109	Septiembre	2021	14	Aranda	Hombres	1	04 De 50 a 99 trabajadores
Septiembre 2021	202109	Septiembre	2021	14	Aranda	Mujeres	1	04 De 50 a 99 trabajadores
Septiembre 2021	202109	Septiembre	2021	14	Aranda	Hombres	1	05 De 100 a 199 trabajadores
Septiembre 2021	202109	Septiembre	2021	14	Aranda	Mujeres	2	05 De 100 a 199 trabajadores
Septiembre 2021	202109	Septiembre	2021	14	Aranda	Hombres	1	06 De 200 a 499 trabajadores
Septiembre 2021	202109	Septiembre	2021	14	Aranda	Hombres	2	99 No consta
Septiembre 2021	202109	Septiembre	2021	15	Ribera Alta del Ebro	Hombres	174	01 De 1 a 9 trabajadores
Septiembre 2021	202109	Septiembre	2021	15	Ribera Alta del Ebro	Mujeres	147	01 De 1 a 9 trabajadores
Septiembre 2021	202109	Septiembre	2021	15	Ribera Alta del Ebro	Hombres	83	02 De 10 a 19 trabajadores
Septiembre 2021	202109	Septiembre	2021	15	Ribera Alta del Ebro	Mujeres	24	02 De 10 a 19 trabajadores
Septiembre 2021	202109	Septiembre	2021	15	Ribera Alta del Ebro	Hombres	202	03 De 20 a 49 trabajadores
Septiembre 2021	202109	Septiembre	2021	15	Ribera Alta del Ebro	Mujeres	103	03 De 20 a 49 trabajadores
Septiembre 2021	202109	Septiembre	2021	15	Ribera Alta del Ebro	Hombres	137	04 De 50 a 99 trabajadores
Septiembre 2021	202109	Septiembre	2021	15	Ribera Alta del Ebro	Mujeres	61	04 De 50 a 99 trabajadores
Septiembre 2021	202109	Septiembre	2021	15	Ribera Alta del Ebro	Hombres	295	05 De 100 a 199 trabajadores
Septiembre 2021	202109	Septiembre	2021	15	Ribera Alta del Ebro	Mujeres	196	05 De 100 a 199 trabajadores
Septiembre 2021	202109	Septiembre	2021	15	Ribera Alta del Ebro	Hombres	524	06 De 200 a 499 trabajadores
Septiembre 2021	202109	Septiembre	2021	15	Ribera Alta del Ebro	Mujeres	205	06 De 200 a 499 trabajadores
Septiembre 2021	202109	Septiembre	2021	15	Ribera Alta del Ebro	Hombres	29	07 De 500 a 999 trabajadores
Septiembre 2021	202109	Septiembre	2021	15	Ribera Alta del Ebro	Mujeres	8	07 De 500 a 999 trabajadores
Septiembre 2021	202109	Septiembre	2021	15	Ribera Alta del Ebro	Hombres	5	08 De 1.000 a 4.999 trabajadores
Septiembre 2021	202109	Septiembre	2021	15	Ribera Alta del Ebro	Mujeres	2	08 De 1.000 a 4.999 trabajadores
Septiembre 2021	202109	Septiembre	2021	15	Ribera Alta del Ebro	Hombres	29	09 De 5.000 o más trabajadores
Septiembre 2021	202109	Septiembre	2021	15	Ribera Alta del Ebro	Mujeres	6	09 De 5.000 o más trabajadores
Septiembre 2021	202109	Septiembre	2021	15	Ribera Alta del Ebro	Hombres	93	99 No consta
Septiembre 2021	202109	Septiembre	2021	15	Ribera Alta del Ebro	Mujeres	46	99 No consta
Septiembre 2021	202109	Septiembre	2021	16	Valdejalón	Hombres	532	01 De 1 a 9 trabajadores
Septiembre 2021	202109	Septiembre	2021	16	Valdejalón	Mujeres	180	01 De 1 a 9 trabajadores
Septiembre 2021	202109	Septiembre	2021	16	Valdejalón	Hombres	418	02 De 10 a 19 trabajadores
Septiembre 2021	202109	Septiembre	2021	16	Valdejalón	Mujeres	92	02 De 10 a 19 trabajadores
Septiembre 2021	202109	Septiembre	2021	16	Valdejalón	Hombres	417	03 De 20 a 49 trabajadores
Septiembre 2021	202109	Septiembre	2021	16	Valdejalón	Mujeres	149	03 De 20 a 49 trabajadores
Septiembre 2021	202109	Septiembre	2021	16	Valdejalón	Hombres	136	04 De 50 a 99 trabajadores
Septiembre 2021	202109	Septiembre	2021	16	Valdejalón	Mujeres	58	04 De 50 a 99 trabajadores
Septiembre 2021	202109	Septiembre	2021	16	Valdejalón	Hombres	194	05 De 100 a 199 trabajadores
