Año	Mes (código)	Mes nombre	Mes y año	Sexo	Comarca código	Comarca nombre	Temporalidad	Modalidad	Grupo de tipo de contrato	Número de contratos
2021	202110	Octubre	Octubre 2021	Hombres	08	Cinca Medio	Temporal	Interinidad	Interinidad	8
2021	202110	Octubre	Octubre 2021	Mujeres	08	Cinca Medio	Temporal	Interinidad	Interinidad	40
2021	202110	Octubre	Octubre 2021	Hombres	08	Cinca Medio	Temporal	Discapacitados	Temp. Minusv	1
2021	202110	Octubre	Octubre 2021	Hombres	08	Cinca Medio	Temporal	Ligados a la jubilación	Jubilación parcial	5
2021	202110	Octubre	Octubre 2021	Mujeres	08	Cinca Medio	Temporal	Ligados a la jubilación	Relevo	1
2021	202110	Octubre	Octubre 2021	Hombres	08	Cinca Medio	Temporal	Ligados a la formación	Formación	1
2021	202110	Octubre	Octubre 2021	Hombres	08	Cinca Medio	Temporal	Ligados a la formación	Prácticas	2
2021	202110	Octubre	Octubre 2021	Mujeres	08	Cinca Medio	Temporal	Ligados a la formación	Formación	11
2021	202110	Octubre	Octubre 2021	Hombres	09	La Litera / La Llitera	Indefinido	Indefinido	Indef. Fomento	69
2021	202110	Octubre	Octubre 2021	Hombres	09	La Litera / La Llitera	Indefinido	Indefinido	Indef. Ordinario	17
2021	202110	Octubre	Octubre 2021	Mujeres	09	La Litera / La Llitera	Indefinido	Indefinido	Indef. Fomento	15
2021	202110	Octubre	Octubre 2021	Mujeres	09	La Litera / La Llitera	Indefinido	Indefinido	Indef. Ordinario	12
2021	202110	Octubre	Octubre 2021	Hombres	09	La Litera / La Llitera	Indefinido	Discapacitados	Minusválidos	1
2021	202110	Octubre	Octubre 2021	Hombres	09	La Litera / La Llitera	Temporal	Obra o servicio	Obra o servicio	71
2021	202110	Octubre	Octubre 2021	Mujeres	09	La Litera / La Llitera	Temporal	Obra o servicio	Obra o servicio	45
2021	202110	Octubre	Octubre 2021	Hombres	09	La Litera / La Llitera	Temporal	Eventual por circunstancias de la producción	Eventual producción	253
2021	202110	Octubre	Octubre 2021	Mujeres	09	La Litera / La Llitera	Temporal	Eventual por circunstancias de la producción	Eventual producción	124
2021	202110	Octubre	Octubre 2021	Hombres	09	La Litera / La Llitera	Temporal	Interinidad	Interinidad	10
2021	202110	Octubre	Octubre 2021	Mujeres	09	La Litera / La Llitera	Temporal	Interinidad	Interinidad	41
2021	202110	Octubre	Octubre 2021	Hombres	09	La Litera / La Llitera	Temporal	Ligados a la formación	Prácticas	2
2021	202110	Octubre	Octubre 2021	Mujeres	09	La Litera / La Llitera	Temporal	Ligados a la formación	Prácticas	1
2021	202110	Octubre	Octubre 2021	Hombres	10	Los Monegros	Indefinido	Indefinido	Indef. Fomento	17
2021	202110	Octubre	Octubre 2021	Hombres	10	Los Monegros	Indefinido	Indefinido	Indef. Ordinario	13
2021	202110	Octubre	Octubre 2021	Mujeres	10	Los Monegros	Indefinido	Indefinido	Indef. Fomento	9
2021	202110	Octubre	Octubre 2021	Mujeres	10	Los Monegros	Indefinido	Indefinido	Indef. Ordinario	10
2021	202110	Octubre	Octubre 2021	Hombres	10	Los Monegros	Temporal	Obra o servicio	Obra o servicio	91
2021	202110	Octubre	Octubre 2021	Mujeres	10	Los Monegros	Temporal	Obra o servicio	Obra o servicio	41
2021	202110	Octubre	Octubre 2021	Hombres	10	Los Monegros	Temporal	Eventual por circunstancias de la producción	Eventual producción	51
2021	202110	Octubre	Octubre 2021	Mujeres	10	Los Monegros	Temporal	Eventual por circunstancias de la producción	Eventual producción	34
2021	202110	Octubre	Octubre 2021	Hombres	10	Los Monegros	Temporal	Interinidad	Interinidad	11
2021	202110	Octubre	Octubre 2021	Mujeres	10	Los Monegros	Temporal	Interinidad	Interinidad	23
2021	202110	Octubre	Octubre 2021	Hombres	10	Los Monegros	Temporal	Ligados a la jubilación	Jubilación parcial	1
2021	202110	Octubre	Octubre 2021	Hombres	10	Los Monegros	Temporal	Ligados a la formación	Formación	9
2021	202110	Octubre	Octubre 2021	Mujeres	10	Los Monegros	Temporal	Ligados a la formación	Formación	24
2021	202110	Octubre	Octubre 2021	Mujeres	10	Los Monegros	Temporal	Ligados a la formación	Prácticas	1
2021	202110	Octubre	Octubre 2021	Hombres	11	Bajo Cinca / Baix Cinca	Indefinido	Indefinido	Indef. Fomento	17
2021	202110	Octubre	Octubre 2021	Hombres	11	Bajo Cinca / Baix Cinca	Indefinido	Indefinido	Indef. Ordinario	60
2021	202110	Octubre	Octubre 2021	Mujeres	11	Bajo Cinca / Baix Cinca	Indefinido	Indefinido	Indef. Fomento	8
2021	202110	Octubre	Octubre 2021	Mujeres	11	Bajo Cinca / Baix Cinca	Indefinido	Indefinido	Indef. Ordinario	18
2021	202110	Octubre	Octubre 2021	Hombres	11	Bajo Cinca / Baix Cinca	Temporal	Obra o servicio	Obra o servicio	355
2021	202110	Octubre	Octubre 2021	Mujeres	11	Bajo Cinca / Baix Cinca	Temporal	Obra o servicio	Obra o servicio	266
2021	202110	Octubre	Octubre 2021	Hombres	11	Bajo Cinca / Baix Cinca	Temporal	Eventual por circunstancias de la producción	Eventual producción	242
2021	202110	Octubre	Octubre 2021	Mujeres	11	Bajo Cinca / Baix Cinca	Temporal	Eventual por circunstancias de la producción	Eventual producción	446
2021	202110	Octubre	Octubre 2021	Hombres	11	Bajo Cinca / Baix Cinca	Temporal	Interinidad	Interinidad	6
2021	202110	Octubre	Octubre 2021	Mujeres	11	Bajo Cinca / Baix Cinca	Temporal	Interinidad	Interinidad	19
2021	202110	Octubre	Octubre 2021	Hombres	11	Bajo Cinca / Baix Cinca	Temporal	Ligados a la jubilación	Jubilación parcial	1
2021	202110	Octubre	Octubre 2021	Mujeres	11	Bajo Cinca / Baix Cinca	Temporal	Ligados a la jubilación	Jubilación parcial	2
2021	202110	Octubre	Octubre 2021	Hombres	11	Bajo Cinca / Baix Cinca	Temporal	Ligados a la formación	Prácticas	2
