Comarca código	Comarca nombre	Año	Siglas	Votos	Candidatura
10	Los Monegros	2019	M PAÍS-CHA-EQUO	63,0	MÁS PAÍS-CHUNTA ARAGONESISTA-EQUO
10	Los Monegros	2019	PACMA	37,0	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL
10	Los Monegros	2019	EB	12,0	ESCAÑOS EN BLANCO
10	Los Monegros	2019	CHA	209,0	CHUNTA ARAGONESISTA
10	Los Monegros	2019	MAS	18,0	MOVIMIENTO ARAGONES SOCIAL
10	Los Monegros	2019	RECORTES CERO-GV	4,0	RECORTES CERO-GRUPO VERDE
10	Los Monegros	2019	PUM+J	8,0	POR UN MUNDO MÁS JUSTO
10	Los Monegros	2019	PCPE	5,0	PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA
10	Los Monegros	2019	FIA	3,0	FEDERACIÓN DE LOS INDEPENDIENTES DE ARAGÓ
10	Los Monegros	2019	PCTE	4,0	PARTIDO COMUNISTA DE LOS TRABAJADORES DE ESPAÑA
10	Los Monegros	2019	PCOE	0,0	PARTIDO COMUNISTA OBRERO ESPAÑOL
10	Los Monegros	2019	AUNACV	0,0	AUNA COMUNITAT VALENCIANA
10	Los Monegros	2019	UDT	0,0	UNIÓN DE TODOS
11	Bajo Cinca / Baix Cinca	2019	PSOE	3462,0	PARTIDO SOCIALISTA OBRERO ESPAÑOL
11	Bajo Cinca / Baix Cinca	2019	PP	2949,0	PARTIDO POPULAR
11	Bajo Cinca / Baix Cinca	2019	VOX	2029,0	VOX
11	Bajo Cinca / Baix Cinca	2019	PODEMOS-IU	1299,0	UNIDAS PODEMOS
11	Bajo Cinca / Baix Cinca	2019	Cs	950,0	CIUDADANOS-PARTIDO DE LA CIUDADANÍA
11	Bajo Cinca / Baix Cinca	2019	¡TERUEL EXISTE!	0,0	AGRUPACIÓN DE ELECTORES TERUEL EXISTE
11	Bajo Cinca / Baix Cinca	2019	M PAÍS-CHA-EQUO	37,0	MÁS PAÍS-CHUNTA ARAGONESISTA-EQUO
11	Bajo Cinca / Baix Cinca	2019	PACMA	58,0	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL
11	Bajo Cinca / Baix Cinca	2019	EB	46,0	ESCAÑOS EN BLANCO
11	Bajo Cinca / Baix Cinca	2019	CHA	56,0	CHUNTA ARAGONESISTA
11	Bajo Cinca / Baix Cinca	2019	MAS	3,0	MOVIMIENTO ARAGONES SOCIAL
11	Bajo Cinca / Baix Cinca	2019	RECORTES CERO-GV	14,0	RECORTES CERO-GRUPO VERDE
11	Bajo Cinca / Baix Cinca	2019	PUM+J	13,0	POR UN MUNDO MÁS JUSTO
11	Bajo Cinca / Baix Cinca	2019	PCPE	4,0	PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA
11	Bajo Cinca / Baix Cinca	2019	FIA	5,0	FEDERACIÓN DE LOS INDEPENDIENTES DE ARAGÓ
11	Bajo Cinca / Baix Cinca	2019	PCTE	9,0	PARTIDO COMUNISTA DE LOS TRABAJADORES DE ESPAÑA
11	Bajo Cinca / Baix Cinca	2019	PCOE	0,0	PARTIDO COMUNISTA OBRERO ESPAÑOL
11	Bajo Cinca / Baix Cinca	2019	AUNACV	0,0	AUNA COMUNITAT VALENCIANA
11	Bajo Cinca / Baix Cinca	2019	UDT	0,0	UNIÓN DE TODOS
12	Tarazona y el Moncayo	2019	PSOE	2649,0	PARTIDO SOCIALISTA OBRERO ESPAÑOL
12	Tarazona y el Moncayo	2019	PP	2191,0	PARTIDO POPULAR
12	Tarazona y el Moncayo	2019	VOX	954,0	VOX
12	Tarazona y el Moncayo	2019	PODEMOS-IU	874,0	UNIDAS PODEMOS
12	Tarazona y el Moncayo	2019	Cs	499,0	CIUDADANOS-PARTIDO DE LA CIUDADANÍA
12	Tarazona y el Moncayo	2019	¡TERUEL EXISTE!	0,0	AGRUPACIÓN DE ELECTORES TERUEL EXISTE
12	Tarazona y el Moncayo	2019	M PAÍS-CHA-EQUO	234,0	MÁS PAÍS-CHUNTA ARAGONESISTA-EQUO
12	Tarazona y el Moncayo	2019	PACMA	41,0	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL
12	Tarazona y el Moncayo	2019	EB	11,0	ESCAÑOS EN BLANCO
12	Tarazona y el Moncayo	2019	CHA	0,0	CHUNTA ARAGONESISTA
12	Tarazona y el Moncayo	2019	MAS	33,0	MOVIMIENTO ARAGONES SOCIAL
12	Tarazona y el Moncayo	2019	RECORTES CERO-GV	10,0	RECORTES CERO-GRUPO VERDE
12	Tarazona y el Moncayo	2019	PUM+J	3,0	POR UN MUNDO MÁS JUSTO
12	Tarazona y el Moncayo	2019	PCPE	3,0	PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA
12	Tarazona y el Moncayo	2019	FIA	7,0	FEDERACIÓN DE LOS INDEPENDIENTES DE ARAGÓ
