Año	Kg recogidos envases	Comarca código	Comarca nombre	Contenedores de envases
2013	321906	09	La Litera / La Llitera	143
2013	230742	10	Los Monegros	417
2013	332160	11	Bajo Cinca / Baix Cinca	230
2013	195601	12	Tarazona y el Moncayo	153
2013	260921	13	Campo de Borja	223
2013	66960	14	Aranda	90
2013	324521	15	Ribera Alta del Ebro	307
2013	268979	16	Valdejalón	291
2013	9171458	17	Central	2705
2013	88600	18	Ribera Baja del Ebro	125
2013	167261	19	Bajo Aragón-Caspe / Baix Aragó-Casp	143
2013	453040	20	Comunidad de Calatayud	449
2013	118979	21	Campo de Cariñena	112
2013	0	22	Campo de Belchite	0
2013	68300	23	Bajo Martín	121
2013	57020	24	Campo de Daroca	81
2013	106411	25	Jiloca	164
2013	64977	26	Cuencas Mineras	61
2013	126759	27	Andorra-Sierra de Arcos	170
2013	357880	28	Bajo Aragón	312
2013	345002	29	Comunidad de Teruel	227
2013	26315	30	Maestrazgo	30
2013	36019	31	Sierra de Albarracín	38
2013	59784	32	Gúdar-Javalambre	106
2013	116940	33	Matarraña / Matarranya	84
2014	276402	01	La Jacetania	203
2014	299972	02	Alto Gállego	364
2014	89386	03	Sobrarbe	238
2014	211004	04	La Ribagorza	354
2014	339459	05	Cinco Villas	408
2014	1417744	06	Hoya de Huesca / Plana de Uesca	665
2014	362925	07	Somontano de Barbastro	336
2014	386407	08	Cinca Medio	297
2014	330090	09	La Litera / La Llitera	201
2014	247939	10	Los Monegros	424
2014	330140	11	Bajo Cinca / Baix Cinca	230
2014	199259	12	Tarazona y el Moncayo	153
2014	262957	13	Campo de Borja	230
2014	65922	14	Aranda	90
2014	325120	15	Ribera Alta del Ebro	341
2014	285762	16	Valdejalón	294
2014	9237400	17	Central	2988
2014	92239	18	Ribera Baja del Ebro	125
2014	170579	19	Bajo Aragón-Caspe / Baix Aragó-Casp	143
2014	466061	20	Comunidad de Calatayud	465
2014	115200	21	Campo de Cariñena	112
2014	0	22	Campo de Belchite	0
2014	69301	23	Bajo Martín	117
2014	52657	24	Campo de Daroca	81
2014	130339	25	Jiloca	241
2014	67079	26	Cuencas Mineras	61
2014	126142	27	Andorra-Sierra de Arcos	170
2014	363477	28	Bajo Aragón	311
2014	358237	29	Comunidad de Teruel	223
2014	26299	30	Maestrazgo	31
2014	36314	31	Sierra de Albarracín	43
2014	60410	32	Gúdar-Javalambre	104
2014	131389	33	Matarraña / Matarranya	139
2015	278369	01	La Jacetania	203
2015	298643	02	Alto Gállego	361
2015	90896	03	Sobrarbe	239
2015	212064	04	La Ribagorza	354
2015	356657	05	Cinco Villas	408
2015	1442339	06	Hoya de Huesca / Plana de Uesca	674
2015	343281	07	Somontano de Barbastro	345
2015	366816	08	Cinca Medio	320
2015	307676	09	La Litera / La Llitera	290
2015	253059	10	Los Monegros	430
2015	334999	11	Bajo Cinca / Baix Cinca	230
2015	216200	12	Tarazona y el Moncayo	153
2015	237141	13	Campo de Borja	323
2015	64321	14	Aranda	90
2015	323100	15	Ribera Alta del Ebro	341
2015	272362	16	Valdejalón	294
2015	9434939	17	Central	2997
2015	88300	18	Ribera Baja del Ebro	125
2015	175679	19	Bajo Aragón-Caspe / Baix Aragó-Casp	143
2015	495061	20	Comunidad de Calatayud	482
2015	132860	21	Campo de Cariñena	118
2015	0	22	Campo de Belchite	0
2015	69679	23	Bajo Martín	121
2015	44677	24	Campo de Daroca	81
2015	147540	25	Jiloca	246
2015	62080	26	Cuencas Mineras	61
2015	129351	27	Andorra-Sierra de Arcos	170
2015	391440	28	Bajo Aragón	311
2015	382498	29	Comunidad de Teruel	222
2015	24274	30	Maestrazgo	32
2015	33460	31	Sierra de Albarracín	43
2015	55508	32	Gúdar-Javalambre	103
2015	141140	33	Matarraña / Matarranya	141
2016	310411	01	La Jacetania	200
2016	317432	02	Alto Gállego	374
2016	102912	03	Sobrarbe	232
2016	210868	04	La Ribagorza	354
2016	364358	05	Cinco Villas	408
2016	1563585	06	Hoya de Huesca / Plana de Uesca	685
2016	337129	07	Somontano de Barbastro	345
2016	393810	08	Cinca Medio	320
2016	268586	09	La Litera / La Llitera	309
2016	254820	10	Los Monegros	434
2016	344921	11	Bajo Cinca / Baix Cinca	242
2016	213559	12	Tarazona y el Moncayo	153
2016	253284	13	Campo de Borja	323
2016	62300	14	Aranda	90
2016	336539	15	Ribera Alta del Ebro	364
2016	292279	16	Valdejalón	293
2016	9740802	17	Central	3008
2016	95240	18	Ribera Baja del Ebro	125
2016	179481	19	Bajo Aragón-Caspe / Baix Aragó-Casp	143
2016	514242	20	Comunidad de Calatayud	495
2016	154638	21	Campo de Cariñena	118
2016	17960	22	Campo de Belchite	69
2016	78661	23	Bajo Martín	121
2016	51843	24	Campo de Daroca	106
2016	148317	25	Jiloca	248
2016	62536	26	Cuencas Mineras	62
2016	131999	27	Andorra-Sierra de Arcos	170
2016	401339	28	Bajo Aragón	328
2016	392603	29	Comunidad de Teruel	220
2016	24262	30	Maestrazgo	35
2016	33865	31	Sierra de Albarracín	43
2016	55834	32	Gúdar-Javalambre	104
2016	156600	33	Matarraña / Matarranya	153
2017	314554	01	La Jacetania	200
2017	319229	02	Alto Gállego	377
2017	115755	03	Sobrarbe	242
2017	232192	04	La Ribagorza	354
2017	368219	05	Cinco Villas	412
2017	1596081	06	Hoya de Huesca / Plana de Uesca	694
2017	347813	07	Somontano de Barbastro	345
2017	411204	08	Cinca Medio	320
2017	290845	09	La Litera / La Llitera	314
2017	264759	10	Los Monegros	481
2017	355179	11	Bajo Cinca / Baix Cinca	242
2017	230922	12	Tarazona y el Moncayo	153
2017	244419	13	Campo de Borja	323
2017	63060	14	Aranda	90
2017	349981	15	Ribera Alta del Ebro	366
2017	318261	16	Valdejalón	293
2017	10048770	17	Central	3025
2017	89840	18	Ribera Baja del Ebro	125
2017	185880	19	Bajo Aragón-Caspe / Baix Aragó-Casp	143
2017	538156	20	Comunidad de Calatayud	495
2017	156380	21	Campo de Cariñena	118
2017	30118	22	Campo de Belchite	70
2017	82851	23	Bajo Martín	121
2017	58380	24	Campo de Daroca	106
2017	152801	25	Jiloca	248
2017	68081	26	Cuencas Mineras	61
2017	134320	27	Andorra-Sierra de Arcos	170
2017	423600	28	Bajo Aragón	347
2017	402306	29	Comunidad de Teruel	220
2017	26436	30	Maestrazgo	34
2017	36958	31	Sierra de Albarracín	43
2017	60605	32	Gúdar-Javalambre	104
2017	165857	33	Matarraña / Matarranya	153
